,name,score,loc,lowest_price,category,loc2
0,고성 오늘 무인텔,4.7,"연화산 IC까지 차량 1분거리, 눌러서 위치확인-296.3km","40,000원",m,거제/통영/고성
1,고성 위드세븐(WITH 7),4.7,"경남 고성 / 바다 바로 앞 위치, 눌러서 위치확인-309.4km","60,000원",m,거제/통영/고성
2,통영 오페라,4.5,"통영 시외버스터미널 도보 5분, 눌러서 위치보기-325km","33,000원",m,거제/통영/고성
3,통영 호텔 스테이(Stay),4.2,"통영 시외버스터미널 3분거리, 클릭-325.3km","40,000원",m,거제/통영/고성
4,통영 스위트 호텔(SWEET HOTEL),4.9,시외버스터미널 도보 5분 거리(클릭)-325.3km,"50,000원",m,거제/통영/고성
5,통영 유니크 호텔 더 뷰(THE VIEW),4.7,"통영 시외버스터미널 인근 위치, 클릭-325.4km","50,000원",m,거제/통영/고성
6,통영 호텔 호라,4.7,"통영시청 차량 3분, 눌러서 위치 보기-328.2km","45,000원",m,거제/통영/고성
7,통영 O2,4.4,롯데시네마통영점 도보 3분(클릭)-328.3km,"40,000원",m,거제/통영/고성
8,통영 호텔 볼(VOLE),4.6,"통영시청 차량 약 3분, 눌러서 위치확인-328.3km","45,000원",m,거제/통영/고성
9,통영 브룩스 호텔,4.4,통영 중앙시장 도보 7분 거리!!-329.5km,"50,000원",m,거제/통영/고성
10,통영 브라운도트 통영항남점,4.5,동피랑 벽화마을 도보 3분-329.7km,"45,000원",m,거제/통영/고성
11,통영 호텔 헤미쉬,4.8,"동피랑벽화마을까지, 통영 중앙시장 도보5분 눌러서 위치확인-329.7km","45,000원",m,거제/통영/고성
12,통영 YAJA 통영 여객선터미널점,4.6,"여객선터미널 도보1분, 중앙시장 도보5분-329.8km","45,000원",m,거제/통영/고성
13,통영 뮤(MU),4.7,"동피랑, 서피랑, 통영여객터미널까지 도보 5분 거리, 눌러서 위치보기-329.8km","27,000원",m,거제/통영/고성
14,통영 호텔 조선(CHOSUN),4.5,"여객선터미널까지 2분거리, 클릭-329.8km","40,000원",m,거제/통영/고성
15,통영 호텔 더 밤(THE BAM),4.5,"동피랑 벽화마을까지 차량 2분, 클릭-329.8km","45,000원",m,거제/통영/고성
16,통영 부띠끄호텔 그레이,4.6,"여객선터미널에서 도보 1분거리, 클릭-329.8km","45,000원",m,거제/통영/고성
17,통영 아디오스,4.1,통영 여객선터미널 도보 3분(클릭)-329.8km,"45,000원",m,거제/통영/고성
18,거제도 고현 더 엠,4.6,"고현버스터미널까지 초근접 위치, 눌러서 위치확인-332.6km","30,000원",m,거제/통영/고성
19,거제도 고현 호텔 블루,4.6,"고현 시외버스터미널까지 차로 2분, 눌러서 위치보기-332.7km","40,000원",m,거제/통영/고성
20,거제도 고현 MONO,4.6,거제 고현터미널에서 도보 8분-332.7km,"35,000원",m,거제/통영/고성
21,거제도 고현 자바,4.7,"고현버스터미널 5분거리, 클릭-332.7km","35,000원",m,거제/통영/고성
22,거제도 고현 포엠,4.8,"고현버스터미널까지 차량 2분, 눌러서 위치확인-332.7km","40,000원",m,거제/통영/고성
23,거제도 고현 에이플러스,4.7,"고현동 중심에 위치, 눌러서 위치 확인-332.9km","40,000원",m,거제/통영/고성
24,거제도 고현 더 호텔,4.6,"#거제시청 도보 1분, #거제 시외버스터미널 도보 5분거리 눌러서 위치보기-333.2km","50,000원",m,거제/통영/고성
25,거제도 옥포 브라운도트 거제옥포점,4.9,거제 고현버스터미널 차량 18분-335.3km,"60,000원",m,거제/통영/고성
26,거제도 지세포 웨이브(WAVE),4.5,"구조라 해수욕장까지 차량 5분거리, 클릭-343.1km","29,000원",m,거제/통영/고성
27,거제도 장승포 호텔 더 밤(THE BAM),4.7,"장승포 유람선 터미널 차량 5분, 클릭-338.4km","40,000원",m,거제/통영/고성
28,거제도 지세포 MVG,4.5,"지세포항 차량 10분,클릭-343.7km","25,000원",m,거제/통영/고성
29,통영 도르가,4.6,"통영항까지 도보 5분, 눌러서 위치 확인-329.6km","35,000원",m,거제/통영/고성
30,통영 바다내음,4.6,내죽도수변공원에서 차량 1분거리(클릭)-325.1km,"40,000원",m,거제/통영/고성
31,통영 오마드 호텔,4.3,"통영 여객선 터미널 3분거리, 클릭-329.7km","42,000원",m,거제/통영/고성
32,거제도 고현 투데이,4.7,"고현 버스터미널까지 차량 3분, 눌러서 위치확인-331.7km","45,000원",m,거제/통영/고성
33,거제도 장승포 호텔 카라라,4.7,"장승포유람선 터미널까지 10분, 클릭-339km","40,000원",m,거제/통영/고성
34,통영 한산호텔,4.6,"통영여객선터미널 1분, 눌러서 위치보기-329.8km","45,000원",m,거제/통영/고성
35,통영 호텔 다온,4.3,"여객선터미널 근처, 중앙시장 차량 3분-329.8km","30,000원",m,거제/통영/고성
36,통영 호텔 피코,4.8,"통영여객선터미널 차량 1분거리, 클릭-329.6km","45,000원",m,거제/통영/고성
37,통영 바다풍경,4.5,"이마트까지 도보 6분거리, 눌러서 위치 확인-325.1km","45,000원",m,거제/통영/고성
38,통영 사이존,4.3,"통영종합버스터미널까지 도보 2분, 클릭-325km","40,000원",m,거제/통영/고성
39,통영 W,4.4,"이마트까지 도보 2분, 눌러서 위치확인-325.1km","30,000원",m,거제/통영/고성
40,통영 와우,4.6,"이마트까지 도보2분, 눌러서 위치확인-325km","30,000원",m,거제/통영/고성
41,통영 서피랑,4.6,"서호시장,서피랑,여객선터미널 도보 5분거리 눌러서 위치보기-329.5km","30,000원",m,거제/통영/고성
42,통영 락,4.1,"통영 바다까지 10초, 눌러서 위치보기-325.3km","35,000원",m,거제/통영/고성
43,거제도 옥포 갤러리,4.7,"거제 옥포항에서 도보 8분거리, 눌러서 위치보기-335.3km","35,000원",m,거제/통영/고성
44,통영 묵다,4.6,"통영 중앙시장인근, 눌러서 위치보기-329.6km","30,000원",m,거제/통영/고성
45,통영 크라운,4.7,"통영 동피랑 벽화마을에서 차량 2분거리, 눌러서 위치보기-329.7km","35,000원",m,거제/통영/고성
46,거제도 고현 몽블랑,4.4,"고현버스터미널 차량 4분, 눌러서 위치보기-333.1km","27,000원",m,거제/통영/고성
47,통영 브릿지,4.6,#신거제대교가 아름다운 곳 눌러서 위치보기-326.6km,"50,000원",m,거제/통영/고성
48,통영 에이스 호텔,4.3,동피랑 벽화마을에서 도보 5분거리(클릭)-329.8km,"40,000원",m,거제/통영/고성
49,거제도 아주 비즈니스호텔,4.6,"거제지역 어디든10분거리,클릭-337.5km","55,000원",m,거제/통영/고성
50,통영 VIP,4.6,"통영 버스터미널에서 도보 3분거리, 클릭-325km","40,000원",m,거제/통영/고성
