,name,score,loc,lowest_price,category,loc2
0,창녕 호텔 컨티뉴(HOTEL CONTINEW),4.9,#대합산업단지 인근 (위치보기)-253.4km,"40,000원",m,거창/함안/창녕/합천/의령
1,함안 베스트 무인텔,4.6,#함안군북산업단지 근처(호캉스/비즈니스)-280.6km,예약마감,m,거창/함안/창녕/합천/의령
2,합천 브로드웨이 호텔,4.4,#합천레포츠공원 근처3분(촬영팀추천숙소)-248.2km,예약마감,m,거창/함안/창녕/합천/의령
3,거창 천오,4.3,#거창군청 차로1분 ☞위치Click-225.2km,"35,000원",m,거창/함안/창녕/합천/의령
4,함안 HOTEL 루팡,4.6,#눌러서 위치보기-285.4km,"45,000원",m,거창/함안/창녕/합천/의령
5,함안 락 무인텔,3.8,#1실1주차 #일반객실 모두 있습니다  눌러서위치보기 -282.3km,"40,000원",m,거창/함안/창녕/합천/의령
6,함안 The Moon(더문),4.5,함안군청 도보 10분-285.5km,"40,000원",m,거창/함안/창녕/합천/의령
7,거창 황실,4.7,#거창터미널 3분거리 위치Click-225.6km,예약마감,m,거창/함안/창녕/합천/의령
8,함안 W,4.0,#함안시외버스터미널 인근(비즈니스)-285.4km,예약마감,m,거창/함안/창녕/합천/의령
9,창녕 남지 M,3.5,#남지읍 보건소 도보 약 8분-277km,"40,000원",m,거창/함안/창녕/합천/의령
10,거창 엔터,3.6,#거창군청 차로2분(시내인근)-225.2km,"35,000원",m,거창/함안/창녕/합천/의령
11,합천 Jun(준) Hotel,4.8,위치 눌러보기 -248.2km,"50,000원",m,거창/함안/창녕/합천/의령
12,합천 H.C. HOTEL,4.9,경남 합천군 율곡면 임북리 744-3-247.4km,"50,000원",m,거창/함안/창녕/합천/의령
13,거창 두바이,4.8,거창 시내 위치-225.3km,"40,000원",m,거창/함안/창녕/합천/의령
14,합천 V1V2,4.3,#철새군락지View/정양레포츠공원근처-247.8km,"40,000원",m,거창/함안/창녕/합천/의령
15,창녕 SS 무인호텔,4.4,창녕군청 인근-260.1km,"40,000원",m,거창/함안/창녕/합천/의령
16,거창 한들파크,4.0,#버스터미널 인근위치 (가성비숙소)-225.8km,"35,000원",m,거창/함안/창녕/합천/의령
17,창녕 남지 하이츠,4.8,남지버스터미널 도보 약 10분-276.9km,예약마감,m,거창/함안/창녕/합천/의령
