,name,score,loc,lowest_price,category,loc2
0,김해 삼계 와우(wow),4.5,"연지공원에서 차량 3분거리, 눌러서 위치보기-308.3km",예약마감,m,김해/장유
1,김해 삼계 M,4.6,"장신대역에서 도보 10분거리, 클릭-308.4km","29,000원",m,김해/장유
2,김해 삼계 마실,4.6,"장신대역 2번출구 도보 2분, 클릭-308.4km","35,000원",m,김해/장유
3,김해 삼계 더반 호텔,4.9,"가야대 3분 거리,경전철 6분거리클릭️-308.4km","43,000원",m,김해/장유
4,김해 삼계 넘버25 김해삼계점,4.8,"김해 경전철 2번출구로 나와 도보 9분, 눌러서 위치보기-308.4km","40,000원",m,김해/장유
5,김해 삼계 마틴,4.8,김해운동장 차로 3분-308.4km,"40,500원",m,김해/장유
6,김해 삼계 호텔 라온,4.5,김해 가야테마파크까지 2km-308.5km,"35,000원",m,김해/장유
7,김해 삼계 그라시아스,4.9,"장신대역 초인접 위치, 눌러서 위치확인-308.5km","50,000원",m,김해/장유
8,김해 삼계 YAJA 김해 삼계점,4.9,"장신대역, 김해시민체육공원 인근-308.5km","45,000원",m,김해/장유
9,김해 장유 투하트 호텔(워터파크점),4.6,"장유 롯데마트 도보 1분, 클릭-310.9km","35,000원",m,김해/장유
10,김해 장유 호텔 N(엔),4.8,"장유 롯데마트,워터파크 4분거리, 클릭-310.9km","37,000원",m,김해/장유
11,김해 장유 브라운도트,4.7,"김해 롯데 워터파크 차량10분거리,클릭-310.9km","35,000원",m,김해/장유
12,김해 장유 W,4.8,"롯데워터파크 근교, 차량 5분 거리-311km","38,000원",m,김해/장유
13,김해 장유 MU,4.7,"장유 워터파크 차량 3분, 클릭!-311.1km","37,000원",m,김해/장유
14,김해 장유 레아,4.8,"김해아울렛까지 차량 10분거리, 눌러서 위치보기-311.1km","35,000원",m,김해/장유
15,김해 장유 초코렛,4.8,"롯데워터파크, 롯데아울렛 차로 10분거리-311.2km","40,000원",m,김해/장유
16,김해 장유 SHOW,4.3,"롯데마트 장유점 바로 앞, 클릭-311.2km","30,000원",m,김해/장유
17,김해 장유 호텔 GRAY(그레이) 195,4.9,"롯데마트 장유점 도보 1분거리, 클릭-311.2km","39,900원",m,김해/장유
18,김해 장유 더 테라스,4.9,"롯데워터파크 4.8km,차량7분-311.3km","40,000원",m,김해/장유
19,김해 장유 아리아,4.8,"롯데워터파크까지 차로 5분, 클릭-311.3km","40,000원",m,김해/장유
20,김해 어방동 호텔 더메이,4.5,"인제대에서 걸어서 3분, 눌러서 위치확인-311.3km","33,000원",m,김해/장유
21,김해 어방동 어썸,4.8,"인제대학교까지 도보3분, 클릭-311.3km","59,900원",m,김해/장유
