,name,score,loc,lowest_price,category,loc2
0,창원 마산 아이스호텔,5.0,마산역 차량 5분(위치보기)-296.7km,"40,000원",m,마산/진해
1,창원 마산 호텔 레이지헤븐,4.9,마산어시장인근#GRAND OPEN(클릭)-299.9km,"45,000원",m,마산/진해
2,창원 마산 ZAM,4.5,"마산 남부시외버스터미널 10분 거리, 눌러서 위치확인-301.4km","35,000원",m,마산/진해
3,창원 마산 호텔 아몬드,4.9,#무료 조식 서비스 제공 #마산 메가박스 인근 도보 3분거리 위치한 업체-301.5km,"50,000원",m,마산/진해
4,창원 진해 호텔 M,4.6,오션뷰 눌러서 위치보기!-309.7km,"40,000원",m,마산/진해
5,창원 진해 호텔 투하트,4.6,진해 홈플러스 인근에 도보 1분거리-309.8km,"40,000원",m,마산/진해
6,창원 진해 더그레이70,4.8,진해 경화역 인근 자동차 5분거리 위치-309.8km,"40,000원",m,마산/진해
7,창원 진해 HOTEL 더원,4.8,깔끔하고 믿을수있는 숙소 더원(클릭)-311km,"40,000원",m,마산/진해
8,창원 진해 HOTEL 리안,4.9,#신축#진해호텔#눌러서위치보기-317km,"60,000원",m,마산/진해
9,창원 진해 용원 브라운도트 호텔,4.7,눌러서 위치보기클릭-321.2km,"50,000원",m,마산/진해
10,창원 마산 다이노스,4.7,"NO 코로나19, 정기적 방역 및 소독 진행 업체   #마산터미널 -296.6km","40,000원",m,마산/진해
11,창원 마산 호텔 퍼스트클래스,4.8,마산 롯데백화점 도보2분(위치보기)-299.7km,"40,000원",m,마산/진해
12,창원 마산 투유,4.5,코로나 청정안심 구역 경남대 인근-301.4km,"35,000원",m,마산/진해
13,창원 진해 TOP(탑),4.6,"진해의중심, 중원 로터리 정중앙 위치-308.7km","40,000원",m,마산/진해
14,창원 진해 하이트,4.4,진해루해변공원 근처 위치-309.7km,"40,000원",m,마산/진해
15,창원 진해 용원 호텔 런더너,4.8,부산신항/녹산공단/명지 인근-320.4km,"50,000원",m,마산/진해
16,창원 진해 용원 HOTEL THE K,4.8,#부산 신항만 인근 위치  눌러보세요!-321.8km,"50,000원",m,마산/진해
17,창원 마산 ZARA,4.6,마산 아구찜거리에서 도보 6분거리-299.9km,"40,000원",m,마산/진해
18,창원 마산 넘버25 오동점,4.4,마산어시장 인근-299.9km,"35,000원",m,마산/진해
19,창원 마산 에이블,4.8,"위치검색, 마산 오동동-299.7km","40,000원",m,마산/진해
20,창원 마산 7월,4.8,마산 관광호텔 인근 도보 2분거리 위치-299.9km,"40,000원",m,마산/진해
21,창원 마산 스카이텔,4.6,마산 남부시외버스터미널 도보 8분(클릭)-301.4km,"40,000원",m,마산/진해
22,창원 마산 COM,4.5,"경남대 인근 도보 10분거리 위치한 모텔, 눌러서 위치보기-301.5km","40,000원",m,마산/진해
23,창원 진해 용원 HOTEL VIN,4.8,"부산신항만,용원어시장 근접위치-322km","45,000원",m,마산/진해
24,창원 진해 용원 하운드 진해 용원,5.0,부산신항/녹산공단/진해용원 먹자골목 인근-320.3km,"69,000원",m,마산/진해
25,창원 진해 파스타,4.8,진해 도서관 도보 2분 거리-308.9km,"35,000원",m,마산/진해
26,창원 마산 타임,4.5,마산 어시장&장어골목 앞(위치보기)-300km,"45,000원",m,마산/진해
27,창원 진해 솜,5.0,남문경제자유구역 인근 도보 10분 거리 위치-316.9km,"40,000원",m,마산/진해
28,창원 진해 CN,4.8,웅천읍성까지 차로 2분거리-316.9km,"40,000원",m,마산/진해
29,창원 진해 프렌치코드(FrenchCode),4.7,#전객실 스파/욕조 완비 #프리미엄 객실(안마기 LG스타일러 완비)-308.8km,"35,000원",m,마산/진해
30,창원 진해 38.5c,4.6,진해역 도보 4분거리 위치-308.6km,"50,000원",m,마산/진해
31,창원 마산 합성동 도무스호텔,4.7,마산시외버스터미널 앞 (위치보기)-296.7km,예약마감,m,마산/진해
32,창원 진해 호텔 더샵,4.7,벚꽃로망스거리 도보 5분/진해역 인근-308.5km,"40,000원",m,마산/진해
33,창원 마산 초콜렛,4.6,마산 어시장 인근 위치한 도보 3분거리-300km,"36,000원",m,마산/진해
34,창원 마산 합성동 MU,4.8,마산시외버스터미널 인근 위치 눌러보세요-296.6km,"40,000원",m,마산/진해
35,창원 마산 Hotel 루카스 (Lucas),4.8,"마산어시장 인근, 마산 대표호텔 루카스-299.9km","45,000원",m,마산/진해
36,창원 진해 루이스(LOUIS) 호텔,4.4,진해루 해변공원 인근 위치  눌러보세요!-309.7km,"60,000원",m,마산/진해
37,창원 마산 통,4.7,마산남부터미널 도보10분-301.4km,"35,000원",m,마산/진해
38,창원 마산 브라운도트 마산양덕점,4.8,마산 고속버스터미널 도보 2분-298.4km,"50,000원",m,마산/진해
39,창원 마산 넘버25 마산신포점,4.9,20.12 신포점 GRAND OPEN-300.1km,"45,000원",m,마산/진해
40,창원 마산 V1,4.4,마산어시장 인근 도보 5분거리 위치-299.6km,"40,000원",m,마산/진해
41,창원 마산 한옥 무비,4.7,"마산 야구장 도보 8분, 마산어시장 도보 10분 거리 위치-299.3km","40,000원",m,마산/진해
42,창원 마산 HOTEL 파스타,4.7,창원 마산 어시장 인근 도보 1분(클릭)-299.7km,"40,000원",m,마산/진해
43,창원 진해 용원 뮤,4.1,@숙소 위치 눌러보기-320.3km,"35,000원",m,마산/진해
44,창원 마산 W,4.7,삼성생명 인근에 위치한 모텔-299.2km,"45,000원",m,마산/진해
45,창원 마산 합성동 WA,4.6,마산 시외버스터미널에서 약 5분거리-296.7km,"40,000원",m,마산/진해
46,창원 진해 킹,3.8,남흥사거리 차량 5분-311km,"38,000원",m,마산/진해
47,창원 마산 Hotel BNB,4.6,마산어시장 바닷가 위치 바다전경 객실 보유야구장에서 차량 10분거리-299.9km,"35,000원",m,마산/진해
48,창원 마산 넘버25 내서점,4.6,"중리삼거리 인근 도보 1분거리, 눌러서위치보기-292.6km",예약마감,m,마산/진해
49,창원 마산 아리아,4.4,마산 어시장 인근 도보 5분거리 위치-300km,"40,000원",m,마산/진해
50,창원 마산 호텔사과나무,4.7,마산 가포항 인근에 도보 5분거리-303.1km,"50,000원",m,마산/진해
51,창원 진해 MVG,4.7,진해역 인근 도보 1분 거리 위치-308.4km,"40,000원",m,마산/진해
52,창원 마산 젠,4.7,마산 고속버스터미널에서 도보1분-298.4km,"35,000원",m,마산/진해
53,창원 진해 올리브,4.4,진해 경화역 주변인근 자동차 5분거리-309.8km,"35,000원",m,마산/진해
54,창원 진해 용원 젠,4.8,녹산공단/부산신항/진해용원먹자골목인근-320.4km,"50,000원",m,마산/진해
55,창원 마산 합성동 까스틸로,4.3,마산 시외버스터미널 인근 도보 2분거리 위치-296.8km,"40,000원",m,마산/진해
56,창원 진해 HOTEL 엘루이,4.6,"진해경화역 인근 위치 / 전객실 PC, 넷플릭스 시청 가능-309.8km","40,000원",m,마산/진해
57,창원 마산 합성동 소울메이트,4.9,#마산 시외버스터미널 인근 도보 2분거리 위치#-296.8km,"33,000원",m,마산/진해
58,창원 마산 브라운도트 마산오동점,4.7,"마산어시장 도보6분, 마산야구장 차량4분-299.9km","50,000원",m,마산/진해
59,창원 마산 HOTEL 브룩스,4.9,#마산조각공원  눌러보세요-300.1km,"50,000원",m,마산/진해
60,창원 마산 합성동 Hotel 4U,4.7,"#창원 마산의 대표호텔, 4U입니다-296.6km","30,000원",m,마산/진해
61,창원 진해 아몬드 호텔,4.7,제황산공원 벚꽃길 인근 위치보기-309.8km,"60,000원",m,마산/진해
62,창원 진해 넘버25(광화동),4.8,진해역 도보 8분거리 위치 -308.8km,"40,000원",m,마산/진해
63,창원 진해 Q7,4.8,#눌러서 위치보기-309.7km,"40,000원",m,마산/진해
64,창원 진해 용원 프리텔,4.3,@인근 위치 눌러보세요@-320.3km,"35,000원",m,마산/진해
