,name,score,loc,lowest_price,category,loc2
0,넘버25 창원명서점(컨벤션점),4.5,신창원역 차량5분!눌러서 위치확인-299.2km,"50,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
1,창원 명서동 도시여행,4.9,세코(컨벤션센터) 인근위치확인하기-299.2km,"55,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
2,창원 봉곡동 HOTEL DAON,4.6,오픈특가이벤트 진행 봉곡동 중심 위치-299.3km,"45,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
3,창원 명서동 린경,4.5,창원컨벤션(세코) 인근▶위치확인-299.3km,"40,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
4,창원 명서동 호텔 V(브이),4.5,명공광장사거리 인근 위치 위치확인-299.3km,"50,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
5,창원 명서동 호텔 안단테(Andante),4.7,"컨벤션센터 인근위치, 버스터미널 부근-299.4km","50,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
6,창원 명서동 호텔 라온,4.9,"창원컨벤션센터,종합버스터미널 인근신축호텔-299.4km","50,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
7,창원 팔용동 프랑,4.7,#창원역 도보 3분거리 : )-296.1km,"40,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
8,창원 팔용동 수,4.7,창원역 도보 3분-296.1km,"45,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
9,창원 봉곡동 파인에비뉴호텔,4.5,봉곡동 번화가 중심 위치(위치보기)-299.1km,"45,900원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
10,창원 명서동 하루(HARU),4.7,명곡 광장 사거리 도보 3분!(위치보기)-299.3km,"40,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
11,창원 명서동 시카고,4.9,창원 종합 버스터미널 5분-299.3km,"50,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
12,창원 명서동 호텔 벅스,4.7,"전객실넷플릭스, 컨벤션센터,버스터미널인근-299.4km","40,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
13,창원 명서동 브라운도트 창원명서컨벤션점,4.8,세코에서 차로 2분-299.4km,"50,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
14,창원 명서동 U,4.8,명곡광장사거리 인근 눌러서 위치보기-299.5km,"35,000원",m,창원 명서동/봉곡동/팔용동/북면온천/창원종합버스터미널
