,name,score,loc,lowest_price,category,loc2
0,사천 루벤스호텔,4.8,사천 해상케이블카 차량 2분 거리  눌러서 위치 확인 GO -306.5km,"50,000원",m,사천/남해
1,사천 HOTEL 소풍(PICNIC),4.8,2020년 7월 GRAND OPEN-306.6km,"50,000원",m,사천/남해
2,사천(삼천포) 호텔 3004,4.9, 눌러서 위치 확인하기-308.5km,"60,000원",m,사천/남해
3,사천(삼천포) 오션,4.6,사천해상케이블카 차량 5분-309.1km,예약마감,m,사천/남해
4,남해 시네마,4.2,송정솔바람해변 바로 앞  눌러서 위치 확인 GOGO!! -329.5km,"30,000원",m,사천/남해
5,남해 아레스,4.5,남해 터미널에서 5분  눌러서 위치 확인 GO -315.5km,"50,000원",m,사천/남해
6,사천 호텔 바다,4.4,사천케이블카 차로 2분 거리 - 위치확인-306.5km,"50,000원",m,사천/남해
7,사천(삼천포) K,4.7,"삼천포항, 삼천포터미널 근처 위치, 용궁수산시장 근처  위치 클릭 -309.1km",예약마감,m,사천/남해
8,사천 IC베스트 드라이브인 무인텔,4.6,사천 IC 인근에 위치한 모텔   눌러서 위치 확인-291.6km,예약마감,m,사천/남해
9,사천 호텔 스페셜,4.9,사천터미널/사천역/사천공항 차량 4분-293.4km,"60,000원",m,사천/남해
10,사천 섬 호텔,4.8,사천 해상케이블카 3분거리-306.5km,"50,000원",m,사천/남해
11,남해 몽블랑비치,4.1,사천바다케이블카 5분거리-308.7km,"40,000원",m,사천/남해
12,남해 밀포드,4.8,남해 창선대교 인근에 위치한 모텔  눌러서 위치 확인 GO-309.5km,"40,000원",m,사천/남해
13,사천 길가온 무인텔,4.9,사천공항에서 차로 7분거리  눌러서 위치 확인하기-291.9km,"40,000원",m,사천/남해
14,사천 호텔 OK,4.6,"사천공항 인근, 사천 시외버스터미널 3분-293.3km","40,000원",m,사천/남해
15,사천 라포르,4.6,사천시외터미널에서 3분거리  눌러서 위치 확인 GO -293.3km,"40,000원",m,사천/남해
16,남해 나폴리,4.4,삼천포 바다 케이블카 탑승장 5분거리  위치 클릭! -308.7km,"40,000원",m,사천/남해
17,사천 궁 드라이브인 무인텔,4.8,"곤양IC에서 차로 3분, 사천CC에서 차로 10분  위치 클릭!! -290.7km",예약마감,m,사천/남해
18,남해 아리움,3.5,삼천포해상케이블카 차로 5분거리  눌러서 위치 확인 GO -308.8km,예약마감,m,사천/남해
19,사천(삼천포) 투인원,4.5,용궁수산시장 차로 3분거리  눌러서 위치 확인 GO -309.3km,"50,000원",m,사천/남해
20,사천 라피스,4.4,KAI(한국항공우주회사) 최고 가까운 곳  눌러서 위치 확인 GO -293.6km,예약마감,m,사천/남해
21,남해 베스트,4.5,"송정해수욕장 1분 , 상주 해수욕장 5분-329km","30,000원",m,사천/남해
22,남해 세도나,4.8,"남해 독일마을까지 약5km, 교통혼잡시 자동차로 10분거리 위치  위치 클릭 -319.3km","50,000원",m,사천/남해
23,사천 센트럴호텔,4.9,사천공항 근처  눌러서 위치 확인하기-293.2km,"65,000원",m,사천/남해
24,사천(삼천포) 코모도,4.1,동금사거리에서 도보 2분거리  눌러서 위치 확인 GO -309.2km,예약마감,m,사천/남해
25,사천(삼천포) 무니,4.1,"노산공원, 문학관 근처 위치  눌러서 위치 확인 GO -309.5km",예약마감,m,사천/남해
26,남해 캐슬,2.7,남해 창선대교 인근에 위치한 모텔  눌러서 위치 확인 GO -309.5km,"50,000원",m,사천/남해
27,남해 지중해,4.5,초전몽돌해변 도보 1분-329.1km,"30,000원",m,사천/남해
28,사천 서포 M,4.5,사천 시청 차량 12분-299.6km,"29,900원",m,사천/남해
29,사천(삼천포) 윈 무인텔,4.5,사천바다케이블카 5분거리  눌러서 위치 확인 GO -308.4km,예약마감,m,사천/남해
30,사천 올레 무인텔,3.5,사천해상케이블카 10분 거리-299.6km,"29,900원",m,사천/남해
31,사천 다이아몬드,4.8,KAI(한국우주항공)에서 가장 가까운 곳-293.6km,예약마감,m,사천/남해
32,사천 수석 M(엠),4.1,사천시외버스터미널 1.2km 차로 3분-293.6km,예약마감,m,사천/남해
33,사천 폭스,4.1,사천읍성 도보 9분/사천시장 도보 3분-293.5km,예약마감,m,사천/남해
34,사천 밸리 무인텔,4.4,사천읍 성지공단길 위치-292km,"33,000원",m,사천/남해
35,남해 J,2.7,남해 전통시장 자동차로 4분  눌러서 위치 확인 GO -314km,"60,000원",m,사천/남해
36,사천 홀인원,3.5,위치 눌러서 보기-292.3km,"55,000원",m,사천/남해
37,사천 Q7,3.5,사천(구)터미널 건너편  눌러서 위치 확인 GO -293.4km,예약마감,m,사천/남해
38,사천 BEE 드라이브인 무인텔,3.0,타니cc골프장까지 차로 2분  눌러서 위치 확인 GO -292.7km,"40,000원",m,사천/남해
39,사천 L 무인텔,3.5,사천 공항까지 차량 7분거리  눌러서 위치 확인 GO -292km,"50,000원",m,사천/남해
40,사천 곤명 퀸,5.0,위치 눌러서 보기-285.8km,예약마감,m,사천/남해
41,사천 포세이돈,4.5, 눌러서 위치확인 GO( )-293.3km,"50,000원",m,사천/남해
42,남해 맨하탄,4.3,남해군청 자동차 1분거리-314.1km,"50,000원",m,사천/남해
43,사천 SHOW,3.5,"사천터미널, 공항에서 차로 5분-295.5km","39,000원",m,사천/남해
44,남해 이음,4.5,317.4km,"35,000원",m,사천/남해
45,사천 아르떼 리조트,4.6,삼천포시외버스터미널 차량 10분 거리-305.9km,"129,000원",h,사천/남해
46,남해 스포츠파크 호텔,4.3,남해스포츠파크 인근-316.2km,"97,200원",h,사천/남해
47,부엉이 호텔,4.7,삼천포 여객선 터미널 차량 2분-309.7km,"60,000원",h,사천/남해
48,사천 온천랜드 앤 그랜드 관광호텔,4.4,사천공항 차량 약 14분 거리-296km,"91,000원",h,사천/남해
49,남해 라피스 호텔,4.5,사천바다케이블카 차량 10분 거리-308.8km,예약마감,h,사천/남해
50,아난티 남해(구 힐튼 남해),4.5,구미동해수욕장 차량 5분 거리-319.4km,예약마감,h,사천/남해
51,남해 베네치아리조트,3.5,남해 미조면-331.2km,예약마감,h,사천/남해
52,남일대리조트 엘리너스호텔,4.2,남일대 해수욕장 도보 5분-310km,예약마감,h,사천/남해
53,남해 시선풀빌라펜션,4.8,자체픽업 가능-309.2km,"120,000원",f,사천/남해
54,남해 상상속의 펜션,4.6,324.6km,"120,000원",f,사천/남해
55,남해 설레임펜션,4.5,325.8km,"70,000원",f,사천/남해
56,"사천 까샤126펜션(오션뷰펜션,남해펜션)",4.9,300.5km,"79,000원",f,사천/남해
57,"사천 해울림펜션(오션뷰,남해펜션)",4.5,300.5km,"69,000원",f,사천/남해
58,"사천 비채펜션(오션뷰펜션,남해펜션)",4.8,300.5km,"79,000원",f,사천/남해
59,남해 아워풀빌라,4.8,313km,"150,000원",f,사천/남해
60,남해 세븐하우스펜션(독일마을10분거리),4.2,318.3km,"55,000원",f,사천/남해
61,남해 블루스톤펜션,4.6,320.2km,"159,000원",f,사천/남해
62,남해 엘니도리조트펜션,4.2,323.6km,"120,000원",f,사천/남해
63,남해 스파힐펜션,4.7,324.7km,"70,000원",f,사천/남해
64,"남해 떼루아펜션(스파,오션뷰)",4.3,327.4km,"89,000원",f,사천/남해
65,남해 패밀리애펜션,3.5,328.9km,"80,000원",f,사천/남해
