,name,score,loc,lowest_price,category,loc2
0,창원 용호동 돈 호텔,4.7,"시청 1분,CECO인근,종합운동장 인근-302km","45,000원",m,창원 상남동/용호동/중앙동/창원시청
1,창원 상남동 호텔 JM,4.7,#상남동 중심가 위치!#눌러서위치보기-302.8km,"45,000원",m,창원 상남동/용호동/중앙동/창원시청
2,창원 상남동 더 뷰 호텔(The View Hotel),4.4,#상남분수대1분거리-302.8km,"45,000원",m,창원 상남동/용호동/중앙동/창원시청
3,창원 상남동 토토스,4.3,고인돌 사거리 인근 위치!눌러서 위치확인-302.8km,"35,000원",m,창원 상남동/용호동/중앙동/창원시청
4,창원 상남동 뷰티크호텔 궁(宮),4.9,GRAND OPEN상남분수광장(클릭)-302.8km,"40,000원",m,창원 상남동/용호동/중앙동/창원시청
5,창원 상남동 갤러리9,4.7,★코끼리 주차장 이용가능(전차종)★-302.9km,"40,000원",m,창원 상남동/용호동/중앙동/창원시청
6,창원 상남동 엔젤(Angel),4.7,#창원 번화가 중심 !! 상남시장 인근-302.9km,"40,000원",m,창원 상남동/용호동/중앙동/창원시청
7,창원 상남동 U,4.6,상남오거리 도보 3분★눌러서 위치확인★-302.9km,"50,000원",m,창원 상남동/용호동/중앙동/창원시청
8,창원 상남동 25번가 호텔,4.6,"1층 스타벅스, 서브웨이 상남점 위치-302.9km","55,000원",m,창원 상남동/용호동/중앙동/창원시청
9,창원 용호동 인(IN),4.8,용지호수 인근위치 -301.9km,"35,000원",m,창원 상남동/용호동/중앙동/창원시청
10,창원 용호동 맥스(MAX),4.9,창원시청 인근 위치-301.9km,"43,000원",m,창원 상남동/용호동/중앙동/창원시청
11,창원 용호동 제타(ZETA),4.7,창원시청 도보 1분거리 ★눌러서 위치확인★-301.9km,"35,000원",m,창원 상남동/용호동/중앙동/창원시청
12,창원 용호동 카페,4.6,창원광장 5분거리-302km,"30,000원",m,창원 상남동/용호동/중앙동/창원시청
13,창원 상남동 하련 디자인호텔,4.7,고인돌 사거리 인근 위치-302.9km,"38,000원",m,창원 상남동/용호동/중앙동/창원시청
14,창원 상남동 찰리스,4.7,상남 공영주차장 인근 위치 ★눌러서 위치확인★-302.9km,"50,000원",m,창원 상남동/용호동/중앙동/창원시청
15,창원 상남동 몰디브,4.8,상남시장 인근위치 눌러보세요-303km,"40,000원",m,창원 상남동/용호동/중앙동/창원시청
