,name,score,loc,lowest_price,category,loc2
0,밀양 인 무인텔,4.3,#밀양나노연구지/농협유통지 근처(출장)-279.3km,"30,000원",m,양산/밀양
1,양산 북부동 SHOW HOTEL,4.5,"양산천까지 230m, 도보 4분거리-309km","35,000원",m,양산/밀양
2,양산 북부동 더밤S,4.4,"양산 시청 제2청사 차량 3분,눌러서 위치확인-309.2km","35,000원",m,양산/밀양
3,양산 북부동 호텔 다온,4.9,"양산시청,법원 도보 3분 (위치보기)-309.3km","42,000원",m,양산/밀양
4,양산 북부동 인스타호텔,4.7,"양산역까지 차량 6분거리, 눌러서 위치확인-309.3km","34,500원",m,양산/밀양
5,양산 중부동 아이엠,4.5,"양산역 4번 출구에서 1분거리, 클릭-309.3km","50,000원",m,양산/밀양
6,양산 중부동 호텔 리자인(LESIGN),4.5,"양산역, 모다아울렛, 이마트 도보 1분, 눌러서 위치보기-309.4km","60,000원",m,양산/밀양
7,양산 물금 블리스 호텔,4.7,"물금역 도보 3분, 눌러서 위치보기-309.7km","45,000원",m,양산/밀양
8,양산 석산 No,4.6,남양산 IC 차량 1분거리!! 눌러서 위치보기-311.1km,"36,000원",m,양산/밀양
9,양산 평산 브라운도트 양산평산점,4.8,"양산 이마트 2분거리, 클릭-312.6km","40,000원",m,양산/밀양
10,양산 평산 아몬드 호텔,4.8,"이마트에서 2분거리, 눌러서 위치보기-312.6km","45,000원",m,양산/밀양
11,양산 덕계 더호텔 (the hotel),4.8,"메가마트 덕계점까지 도보 2분, 눌러서 위치확인-313.1km","39,500원",m,양산/밀양
12,밀양 르네상스,4.6,#밀양시청 도보2분 (비즈니스)-279.5km,"40,000원",m,양산/밀양
13,밀양 마틴,4.6,"밀양시청까지94m,도보2분거리-279.5km","50,000원",m,양산/밀양
14,밀양 칼라엠,4.5,밀양시청 7분-281.6km,"50,000원",m,양산/밀양
15,밀양 자바,4.7,삼문동공설운동장 차량 5분(위치보기️)-281.7km,"50,000원",m,양산/밀양
16,밀양 어뮤즈,4.6,#KTX역 5분거리(밀양 최고중심)☞위치-281.7km,"50,000원",m,양산/밀양
17,양산 통도사 신라 호텔,5.0,"통도사 2분거리, 클릭-298.7km","40,000원",m,양산/밀양
18,양산 북부동 호텔 썸,4.6,"양산 북부동 중심 위치, 눌러서 위치보기-309.1km","35,000원",m,양산/밀양
19,양산 물금 힐링 호텔,4.8,"남양산역 1분거리, 클릭-309.9km","45,000원",m,양산/밀양
20,양산 석산 W,4.7,"부산대 양산캠퍼스역까지 차량 1분 거리, 눌러서 위치보기-311.2km","40,000원",m,양산/밀양
21,양산 석산 V,4.6,"양산수질정화공원까지 차량 4분거리, 눌러서 위치보기-311.4km","37,000원",m,양산/밀양
22,양산 물금 타임,4.7,"물금역까지 도보 6분, 눌러서 위치 확인-309.8km","45,000원",m,양산/밀양
23,밀양 칸,4.5,밀양시청 도보 8분(위치보기)-279.4km,"45,000원",m,양산/밀양
24,양산 북부동 벤츠,4.4,"양산시 북안남5길 7-2, 눌러서 위치보기-309.3km","33,000원",m,양산/밀양
25,양산 덕계 샵,4.7,덕계사거리 인근  눌러서 위치보기-313.1km,"35,000원",m,양산/밀양
26,밀양 미니 무인텔,3.5,교동주민센터 도보 4분-279.3km,"40,000원",m,양산/밀양
27,밀양 Hotel 라온,4.7,#밀양시청 도보2분(호텔침구 비즈니스)-279.4km,"50,000원",m,양산/밀양
28,양산 석산 버튼,4.7,양산시청 자동차 4분 거리! 눌러서 위치보기-311.4km,"40,000원",m,양산/밀양
29,양산 석산 칸데오,4.9,"부산대양산캠퍼스까지차량 9분, 위치보기-311.2km","40,000원",m,양산/밀양
30,양산 물금 더 테라조,4.8," ☕부산대학교 양산캠퍼스  1km, 눌러서 위치보기 ☕-309.1km","45,000원",m,양산/밀양
