,name,score,loc,lowest_price,category,loc2
0,진주 K,4.6,진주 롯데시네마 도보 9분-281.5km,"34,500원",m,진주
1,진주 호텔 해비치,4.7,진주성 도보5분거리  눌러서 위치 확인하기-281.5km,"35,000원",m,진주
2,진주 시카고,4.7,진주성 근처 위치  눌러서 위치 확인 GO -281.9km,"35,000원",m,진주
3,진주 엠 호텔 (Hotel M),4.9,진주성 근처  눌러서 위치 확인하기-282km,"40,000원",m,진주
4,진주 YAM 진주상평점,4.7,진주버스터미널 차량 10분-285.5km,"40,000원",m,진주
5,진주 여우비,4.5,"진주성,촉성루까지도보 9분거리눌러서확인-281.5km","45,000원",m,진주
6,진주 나인 호텔,4.6,진주성 바로 앞 1분거리-282km,"50,000원",m,진주
7,진주 퀸즈,4.5,진주시외버스터미널 바로 앞(진주성 도보 5분)  위치 클릭 -282.1km,"35,000원",m,진주
8,진주 에이스,4.5, 눌러서 위치 확인하기-285.5km,예약마감,m,진주
9,진주 호텔 다옴,4.5,홈플러스 도보 1분거리  눌러서 위치 확인 GOGO  -283.7km,"45,000원",m,진주
10,진주 HOTEL 보보(VOVO),4.8, 눌러서 위치 확인 GOGO  -285.3km,"40,000원",m,진주
11,진주 HOTEL 케미(CHEMI),4.8,진주시청 5분 거리-285.2km,"40,000원",m,진주
12,진주 IF,4.7,진주 중앙시장 맞은편-282km,"40,000원",m,진주
13,진주 쉬즈(Shes),4.8,진주성에서 3분거리  눌러서 위치보기-281.7km,"35,000원",m,진주
14,진주 호텔 더 브이 (Hotel the V),4.7,"진주성,시외버스터미널 근처  눌러서 위치 확인 GO -282km","40,000원",m,진주
15,진주 부띠크 호텔 슈퍼로켓,4.3, 눌러서 위치확인 GO-282.3km,"34,000원",m,진주
16,진주 호텔 다이아몬드,4.5,진주성 도보 10분-282.3km,"45,000원",m,진주
17,진주 호텔 세븐,4.1,"진주성,롯데시네마 도보9분 눌러서 확인-281.5km","34,900원",m,진주
18,진주 까사,4.8,진주성에서 1분거리-281.9km,"35,000원",m,진주
19,진주 호텔 더클라우드,4.8,진주 시외버스터미널 바로 옆-282.2km,"45,000원",m,진주
20,진주 브라운도트 진주성점,4.8,진주성에서 도보 5분거리-281.4km,"50,000원",m,진주
21,진주 호텔 핫(HOT),4.8,진주성 도보 5분거리  눌러서 위치 확인하기 -281.6km,"44,900원",m,진주
22,진주 라인,4.4, 눌러서 위치 확인하기-281.4km,"29,000원",m,진주
23,진주 G&G,4.8,봉곡광장사거리 도보1분  눌러서 위치 확인 GO -281.3km,"30,000원",m,진주
24,진주 CF 무인텔,4.3, 눌러서 위치 확인하기-283.4km,"35,000원",m,진주
25,진주 충무공동 피렌체,4.5,진주혁신도시 내에 위치  눌러서 위치 확인 GO -285.3km,"50,000원",m,진주
26,진주 호텔 팝(POP),4.4,"진주 시외버스터미널 근처, 도보 1분거리  위치 클릭 -282.3km","33,000원",m,진주
27,진주 성중,4.5, 눌러서 위치 확인 GO-283.1km,"30,000원",m,진주
