,name,score,loc,lowest_price,category,loc2
0,산청 부엉이,4.8,진주유등축제 차량 15분-266.2km,예약마감,m,하동/산청/함양
1,하동 솔 무인텔,4.4,#섬진교 사거리 인근 위치 -286.1km,"50,000원",m,하동/산청/함양
2,하동 짝 무인텔,4.9,짚라인 차로 2분 / 남해 접근성 최고-297.2km,"40,000원",m,하동/산청/함양
3,하동 영빈각,4.3,화개장터까지 차로 3분 거리-271.5km,"40,000원",m,하동/산청/함양
4,하동 섬진강 호텔,3.6,남해고속도로 하동 IC로 나와서 직진 차로 3분 거리에 있습니다. -296.1km,"50,000원",m,하동/산청/함양
5,하동 엘도라도,3.7,금오산 짚라인 차량 5분-300.9km,"40,000원",m,하동/산청/함양
6,함양 호텔 라온,4.5,함양버스 터미널 도보 7분 -236.9km,"60,000원",m,하동/산청/함양
7,함양 스카이,3.5,함양시외버스터미널 도보 8분 -237.1km,예약마감,m,하동/산청/함양
8,하동 The W 무인텔,4.7,"하동군청10분,하동IC에서 3분거리-293.6km","50,000원",m,하동/산청/함양
9,하동 온천모텔사우나,4.7,화개장터까지 자동차로 8분 -267km,"45,000원",m,하동/산청/함양
10,산청 휴엔조이,4.7,산청 온천랜드 차량 1분 -252.6km,예약마감,m,하동/산청/함양
11,산청 별바라기,4.7,남사예담촌 1분 거리-268.4km,"50,000원",m,하동/산청/함양
12,하동 가비원,4.6,화개터미널 인근-270km,"35,000원",m,하동/산청/함양
13,하동 성운각,4.0,화개시외버스터미널 도보 7분-269.8km,예약마감,m,하동/산청/함양
14,하동 휴 무인텔,4.6,"사천CC까지 15분, 하동 금오산 케이블카 10분거리 !! -297.2km","40,000원",m,하동/산청/함양
15,하동 Q9,3.5,벚꽃길 도보 4분 거리-269.8km,"40,000원",m,하동/산청/함양
16,경남 산청 서울,3.5,진주에서 15분-267km,"40,000원",m,하동/산청/함양
17,함양 별궁,4.4,함양군법원 도보 7분-236.6km,"35,000원",m,하동/산청/함양
18,하동 OK 무인텔,2.3,화개장터까지 약 13분-279.1km,"45,000원",m,하동/산청/함양
19,산청 킹,4.0,산청버스터미널 도보 5분-252.6km,예약마감,m,하동/산청/함양
20,산청 한방 가족호텔,4.5,동의보감촌 713m-248.4km,"80,000원",h,하동/산청/함양
21,켄싱턴리조트 지리산 하동,4.4,쌍계사 500m 차량으로 약 2분-266.5km,"79,900원",h,하동/산청/함양
22,함양 호텔 라온,4.6,함양군청 300m-236.9km,예약마감,h,하동/산청/함양
23,하동 지리산산새소리펜션(애견동반펜션),4.7,자체픽업 가능-267.5km,"80,000원",f,하동/산청/함양
24,"하동 일자르디노펜션(스파,독채)",4.0,자체픽업 가능-297.6km,"49,000원",f,하동/산청/함양
25,하동 휘게스테이펜션,5.0,자체픽업 가능-267.4km,"79,000원",f,하동/산청/함양
26,하동 드웰펜션,4.9,자체픽업 가능-267.6km,"80,000원",f,하동/산청/함양
27,하동 알프스동화펜션,4.9,자체픽업 가능-267.7km,"79,000원",f,하동/산청/함양
28,산청 경호강변오토캠핑장,4.4,242.9km,"137,800원",f,하동/산청/함양
29,산청 신세계지리산리조트,3.6,자체픽업 가능-253.6km,"59,000원",f,하동/산청/함양
30,하동 어느날하동펜션,5.0,262.4km,"120,000원",f,하동/산청/함양
31,산청 그린밸리가든산장펜션,4.0,263.4km,"50,000원",f,하동/산청/함양
32,산청 풍경펜션,4.8,258.7km,"80,000원",f,하동/산청/함양
33,산청 바람흔적펜션,4.5,265.5km,"60,000원",f,하동/산청/함양
34,함양 백무산장황토방펜션,2.5,252.7km,"50,000원",f,하동/산청/함양
35,산청 젠모텔카라반,3.0,268.4km,"40,000원",f,하동/산청/함양
36,하동 벚꽃펜션,3.5,268km,"100,000원",f,하동/산청/함양
37,하동 모꼬지펜션,5.0,264.7km,"130,000원",f,하동/산청/함양
38,산청 둘레길펜션청솔,5.0,251.8km,"70,000원",f,하동/산청/함양
39,하동 화개밸리펜션,4.9,267.4km,"80,000원",f,하동/산청/함양
40,함양 용추솔마루펜션,4.8,222.6km,"80,000원",f,하동/산청/함양
41,하동 화개면다옴펜션,5.0,261.9km,"80,000원",f,하동/산청/함양
42,산청 강사랑펜션,5.0,자체픽업 가능-260.2km,"130,000원",f,하동/산청/함양
43,산청 뉴그린펜션,4.1,261.4km,"100,000원",f,하동/산청/함양
44,산청 쉼펜션,3.3,자체픽업 가능-253.4km,"70,000원",f,하동/산청/함양
45,하동 그린나래펜션,4.4,271.3km,"80,000원",f,하동/산청/함양
46,산청 꿈의힐링펜션,1.0,248.3km,"60,000원",f,하동/산청/함양
47,산청 지리산힐링펜션,4.0,268km,"100,000원",f,하동/산청/함양
48,하동 꿈펜션,5.0,자체픽업 가능-262.4km,"80,000원",f,하동/산청/함양
49,하동 물꽃정원펜션,4.2,285.5km,"120,000원",f,하동/산청/함양
50,하동 클라우드힐펜션,5.0,자체픽업 가능-261.4km,"80,000원",f,하동/산청/함양
51,하동 예그리나풀빌라(개별온수수영장),4.4,268.2km,"117,600원",f,하동/산청/함양
52,하동 더모던리컴펜션,4.6,267.5km,"70,000원",f,하동/산청/함양
53,하동 화개송이펜션,4.8,자체픽업 가능-267.8km,"80,000원",f,하동/산청/함양
54,함양 솔바람펜션,4.0,자체픽업 가능-248km,"80,000원",f,하동/산청/함양
55,하동 소풍방펜션,4.0,266.5km,"60,000원",f,하동/산청/함양
56,산청 해뜨는아침펜션,4.4,251.7km,"70,000원",f,하동/산청/함양
57,하동 한옥펜션찔레꽃언덕,4.8,자체픽업 가능-271.3km,"120,000원",f,하동/산청/함양
58,하동 빠하디키즈풀빌라,5.0,273.5km,"600,000원",f,하동/산청/함양
59,하동 숲속정원펜션,3.5,259.7km,"90,000원",f,하동/산청/함양
60,산청 맑은산장농원펜션,3.5,255.1km,"100,000원",f,하동/산청/함양
61,함양 백무동마루공원펜션야영장,3.5,251.1km,"80,000원",f,하동/산청/함양
62,하동 별한말펜션,5.0,275.7km,예약마감,f,하동/산청/함양
63,하동 화수분펜션,3.5,287.6km,"100,000원",f,하동/산청/함양
64,산청 펫글램핑,4.6,247km,"159,000원",f,하동/산청/함양
65,산청 지리산그린힐펜션,3.5,257.7km,"200,000원",f,하동/산청/함양
66,산청 리치펜션,3.5,253.8km,"180,000원",f,하동/산청/함양
67,하동 화이트하우스펜션,3.5,259.9km,"63,000원",f,하동/산청/함양
68,함양 칠선펜션,3.5,250.1km,"100,000원",f,하동/산청/함양
69,함양 지리산백무동파크펜션,3.5,249km,예약마감,f,하동/산청/함양
70,하동 들꽃산방펜션,3.5,260.8km,"90,000원",f,하동/산청/함양
71,산청 전원가든농원펜션,3.5,268.8km,"100,000원",f,하동/산청/함양
72,산청 가온누리펜션,5.0,261.2km,예약마감,f,하동/산청/함양
73,산청 지리산소풍가는날펜션,3.5,262.6km,"80,000원",f,하동/산청/함양
74,산청 풀잎하우스,3.5,260.3km,"80,000원",f,하동/산청/함양
75,함양 용추힐링랜드펜션,4.0,222.4km,"70,000원",f,하동/산청/함양
76,산청 지리산구름정원펜션,4.5,264.1km,"80,000원",f,하동/산청/함양
77,산청 퐁당풀빌라,5.0,253.5km,"248,000원",f,하동/산청/함양
78,하동 지리산다옴펜션,5.0,277.2km,"100,000원",f,하동/산청/함양
79,하동 참좋은궁펜션,4.7,259.9km,"80,000원",f,하동/산청/함양
80,하동 연우펜션,3.5,259.8km,"80,000원",f,하동/산청/함양
81,산청 담가풀빌라,5.0,253.5km,"228,000원",f,하동/산청/함양
82,하동 하얀집펜션,4.5,자체픽업 가능-267.9km,"70,000원",f,하동/산청/함양
83,하동 휴정펜션,5.0,260.1km,"100,000원",f,하동/산청/함양
84,산청 지리산털보농원펜션,5.0,자체픽업 가능-259.3km,"80,000원",f,하동/산청/함양
85,산청 지리산해뜨는펜션,3.5,264.4km,"100,000원",f,하동/산청/함양
86,산청 예원펜션,4.1,266.9km,"40,000원",f,하동/산청/함양
87,하동 하동캐슬펜션,4.8,자체픽업 가능-265.1km,"120,000원",f,하동/산청/함양
88,산청 지리산황토펜션,4.8,265.5km,"70,000원",f,하동/산청/함양
89,하동 봄한옥펜션,4.0,272.8km,"120,000원",f,하동/산청/함양
90,산청 블루마운틴펜션,5.0,자체픽업 가능-259km,"100,000원",f,하동/산청/함양
91,하동 지리산하동호사랑채펜션,5.0,275.8km,"60,000원",f,하동/산청/함양
92,산청 지리산오송펜션,4.8,261.9km,"50,000원",f,하동/산청/함양
93,산청 자락애 펜션,5.0,자체픽업 가능-262.9km,"80,000원",f,하동/산청/함양
94,산청 너와나 펜션,5.0,269.6km,"80,000원",f,하동/산청/함양
95,하동 금오산랜드 펜션,1.0,294.1km,"35,000원",f,하동/산청/함양
96,산청 하늘빛호수펜션,5.0,자체픽업 가능-261.2km,예약마감,f,하동/산청/함양
97,산청 풍안펜션,5.0,자체픽업 가능-262.9km,"70,000원",f,하동/산청/함양
98,산청 지리산골짝펜션,4.5,263.9km,"120,000원",f,하동/산청/함양
99,산청 라끄베르펜션,4.3,자체픽업 가능-253.2km,"80,000원",f,하동/산청/함양
100,하동 고니하우스독채펜션,5.0,286.8km,"180,000원",f,하동/산청/함양
101,산청 천리향펜션,4.8,263.6km,"100,000원",f,하동/산청/함양
102,하동 몽글몽글펜션,3.5,268.9km,"330,000원",f,하동/산청/함양
103,산청 패밀리풀빌라,3.8,263.4km,"99,000원",f,하동/산청/함양
104,산청 청호제하늘펜션,5.0,263.4km,"209,000원",f,하동/산청/함양
105,산청 지리산의하루펜션,3.5,263.3km,"209,000원",f,하동/산청/함양
106,하동 자연애가펜션,4.8,261.6km,"100,000원",f,하동/산청/함양
107,산청 돌꽃담펜션,4.5,자체픽업 가능-259.3km,"110,000원",f,하동/산청/함양
108,산청 행원펜션,4.5,260.7km,"70,000원",f,하동/산청/함양
109,하동 홍인펜션,3.5,자체픽업 가능-267.1km,"50,000원",f,하동/산청/함양
110,산청 지리산노을펜션,4.8,263.3km,"80,000원",f,하동/산청/함양
111,하동 도래도래펜션,4.7,268.6km,예약마감,f,하동/산청/함양
112,하동 Rg펜션,4.3,자체픽업 가능-265.3km,"70,000원",f,하동/산청/함양
113,하동 산수애펜션,5.0,271.3km,"70,000원",f,하동/산청/함양
114,함양 새들바람황토펜션,3.5,226.2km,"80,000원",f,하동/산청/함양
115,하동 자연으로펜션,3.5,262.3km,예약마감,f,하동/산청/함양
116,함양 지리산리조트펜션,3.5,245.8km,"50,000원",f,하동/산청/함양
117,하동 올리브펜션,4.9,자체픽업 가능-268.9km,"100,000원",f,하동/산청/함양
118,하동 이모션펜션,4.5,자체픽업 가능-268.1km,"140,000원",f,하동/산청/함양
119,하동 지리산팔베개펜션,4.8,자체픽업 가능-269.5km,"50,000원",f,하동/산청/함양
120,하동 바람이불어오는곳 게스트하우스,4.5,쌍계사 주차장 -266.1km,"70,000원",g,하동/산청/함양
