,name,score,loc,lowest_price,category
0,인천(강화도) 블루,4.4,37.6km,"25,000원",m
1,강화도(석모도) 바다가보이는사이판,4.1,53.2km,"30,000원",m
2,강화(석모도) 보문장,3.7,57km,"30,000원",m
3,인천(강화도) N모텔,4.7,36.9km,"35,000원",m
4,인천(강화) MOTEL 917,4.5,연안 여객터미널 인근-52.3km,"40,000원",m
5,인천(강화도) 탑모텔,4.7,48.7km,"35,000원",m
6,강화(석모도) 제이,3.4,52.9km,"35,000원",m
7,인천(선재도) 하루,4.8,51.1km,예약마감,m
8,인천(선재도) 마리나,4.7,50.9km,"40,000원",m
9,인천(강화도) W호텔,4.4,강화초지대교 삼거리 인근-36.8km,"35,000원",m
10,인천(선재도) 버킹검,4.7,50.7km,"40,000원",m
11,인천(선재도) 라메르,4.4,50.7km,"35,000원",m
12,인천(선재도) 아일랜드,4.3,50.7km,"40,000원",m
13,인천(석모도) 석모도호텔,4.4,54.5km,"50,000원",m
14,인천(선재도) 레스테,4.5,50.6km,"40,000원",m
15,인천 강화(석모도) 노을내리는 아름다운 집,3.5,58km,예약마감,m
16,인천(강화도) 로마,4.0,36.6km,"40,000원",m
17,인천(강화도) 대우장,3.5,45.3km,예약마감,m
18,인천(강화도) 샤인,4.6,36.7km,"40,000원",m
19,인천(강화도) 바다산책,4.7,38.4km,"30,000원",m
20,인천(강화도) 자유공간,5.0,44.2km,"30,000원",m
21,인천(강화) 힐링S,4.4,옥토끼 우주센터 인근-41.9km,"35,000원",m
22,인천(선재도) 드마르,4.3,50.7km,"50,000원",m
23,인천(강화도) 프라하,4.4,37.4km,"25,000원",m
24,인천(강화도) 힐하우스,3.0,52.5km,"35,000원",m
25,인천(선재도) 마이하트 무인텔,4.7,50.5km,"50,000원",m
26,인천(영흥도) 피렌체,3.5,53.8km,예약마감,m
27,인천(강화) 엠스(MS),4.8,40.9km,"35,000원",m
28,인천(강화도) 썬댄스,3.5,36.4km,"40,000원",m
29,인천(강화도) 캘리포니아,5.0,48km,"35,000원",m
30,인천(강화도) 에쿠스,1.5,49.3km,"40,000원",m
31,인천(강화도) 해와달,5.0,연안여객터미널 부근-52.5km,"40,000원",m
32,인천(강화) 카리브,3.5,분오리저수지 인근-43.1km,예약마감,m
33,인천(강화도) 스위스랜드,4.7,41.9km,"40,000원",m
34,강화도 프레시아 호텔,3.5,전등사 약 749m-40.7km,"70,000원",h
35,호텔 에버리치,4.2,강화군 강화읍-45.7km,예약마감,h
36,강화엘리야리조트,4.7,선수포구 차량 3분-49.9km,"210,000원",h
37,인썸 관광호텔,3.5,영흥도 버스터미널 약 13분 거리-54.3km,예약마감,h
38,강화도 좋아요스파펜션,4.9,41.2km,"75,000원",f
