,name,score,loc,lowest_price,category
0,인천(작전동) RG,4.8,18.5km,"40,000원",m
1,인천(경인교대) ILLUA 일루아 호텔,4.6,19.4km,"37,000원",m
2,인천(경인교대) NINE(9),4.7,19.5km,"55,000원",m
3,인천(경인교대) 마리호텔,4.8,19.5km,"50,000원",m
4,인천(작전동) 써클,4.6,18.6km,"40,000원",m
5,인천(작전동) 벨라,4.7,18.6km,"40,000원",m
6,인천(작전동) 꿈의궁전,4.8,18.6km,"40,000원",m
7,인천(작전동) BUTI&,4.7,까치공원 인근 위치-18.6km,"40,000원",m
8,인천(작전동) 소풍호텔,4.7,까치공원 인근 위치-18.5km,"40,000원",m
9,인천(작전동) 짝,4.7,18.6km,"35,000원",m
10,인천(작전동) 반도,4.7,작전역 2번출구방향-18.6km,"40,000원",m
11,인천(경인교대) 하얏트,4.8,계산전통시장 인근-19.5km,"30,000원",m
12,인천(경인교대) 짝,4.5,19.4km,"35,000원",m
13,인천(작전동) 아마레,4.7,18.6km,"50,000원",m
14,인천(작전동) VOW,4.6,18.5km,"60,000원",m
15,인천(작전동) 갤럭시,4.6,18.5km,"50,000원",m
16,인천(경인교대) 네오텔,4.5,19.5km,"30,000원",m
17,인천(계산동) 휴,4.6,계산역 3분거리-19.4km,"40,000원",m
18,인천 작전동 소울하다,3.5,18.4km,예약마감,m
19,인천(경인교대) 이코노미,4.1,계산전통시장 인근-19.5km,"40,000원",m
20,인천(작전동) 샾,4.6,18.3km,"35,000원",m
21,인천(경인교대) 멜로디,4.8,19.7km,"27,000원",m
22,인천(경인교대) 테마25,4.6,19.5km,"25,000원",m
23,카리스 호텔,4.7,작전역 4번출구 350m-19.8km,"68,200원",h
24,인천 캐피탈 호텔,3.5,계산역 1.33km-20.3km,예약마감,h
25,인천(작전동) 꿈의궁전,4.8,까치공원 도보 약 5분-18.6km,"40,000원",h
26,인천 갤럭시 호텔,4.0,계산역 차량약 5분-18.5km,예약마감,h
27,호텔 부티앤,4.9,계산역 자동차 10분-18.6km,"55,000원",h
28,인천 이코노미 호텔,5.0,"경인교대입구역 1,2번 출구-19.5km","40,000원",g
