,name,score,loc,lowest_price,category
0,인천(구월동) 호텔 더 디자이너스,4.7,"인천1호선 예술회관역 인천시청역 도보 10분 차 5분, 2호선 석천사거리역 도보 10분.-24.1km","50,000원",m
1,인천(구월동) 알로하 호텔,4.8,예술회관역 2번출구 / 도보로 200M-24.1km,"50,000원",m
2,인천(구월동) 구월호텔,4.5,"남동 IC 3분문학경기장,남동경기장 3분-24.5km","50,000원",m
3,인천(구월동) 아라,4.6,"남동 IC 1분거리(인천공항 이용편리) 남동경기장 (체조, 럭비) 3분거리 문학경기장 3분-24.5km","50,000원",m
4,인천(구월동) 느낌호텔,4.6,남동IC 1분(공항이용편리)터미널3분거리-24.6km,"50,000원",m
5,인천(구월동) M플레이스,4.7,인천종합터미널 인근-24.7km,"55,000원",m
6,인천(구월동) 라트리 호텔,4.8,인천 터미널역 2번 출구-24.7km,"50,000원",m
7,인천(구월동) 아시아드호텔,4.7,남동 IC 1분거리(인천공항 이용편리) -24.5km,"50,000원",m
8,인천(구월동) 카카오,4.7,인천 CGV 인근-24.4km,"50,000원",m
9,인천(구월동) HOTEL JIN,4.8,24.2km,"50,000원",m
10,인천(구월동) 그랜드,4.9,길병원 사거리 근처-24.1km,"45,000원",m
11,인천(구월동) TWOSOME(2S),4.4,예술회관역 1번출구 도보 5-24.3km,"40,000원",m
12,인천(구월동) K(케이),4.5,길병원 암센터 도보1분-24.2km,예약마감,m
13,인천(구월동) HOTEL BAY 204,4.9,24.9km,"59,500원",m
14,센트럴 프라자 호텔,4.4,예술회관역 1번출구 300m-24.4km,예약마감,h
15,구월호텔 (9月무인호텔),4.3,인천터미널역 1.26km-24.6km,"56,800원",h
16,인천 아시아드 호텔,4.4,인천터미널역 875m-24.6km,"60,000원",h
17,호텔 라트리 인천,3.5,인천터미널역 2번출구 도보5분-24.7km,예약마감,h
18,인천구월 호텔베이204,4.9,예술회관역 도보 7분-24.9km,"70,000원",h
19,호텔 더 디자이너스 인천,4.6,예술회관역 2번출구 도보 9분-24.1km,"55,000원",h
