,name,score,loc,lowest_price,category
0,인천(소래포구) 스테이25,4.6,소래포구역 2번출구 도보10-25.5km,"38,000원",m
1,인천(소래포구) 카카오,4.4,소래포구역 2번출구 도보5분-25.5km,"40,000원",m
2,인천(호구포) 그랜드팰리스 호텔,4.4,25.8km,"23,000원",m
3,인천(소래포구) 하비비,4.7,소래포구역2번출구 도보5분-25.5km,"50,000원",m
4,인천(소래포구) 루루,4.6,25.5km,"40,800원",m
5,인천(소래포구) SJ,4.6,소래포구역2번출구 도보5분-25.5km,"55,000원",m
6,인천(소래포구) 호텔月,4.5,소래포구역 2번출구 도보5분-25.4km,"45,000원",m
7,인천(소래포구) 폴로 호텔,4.8,25.5km,"70,000원",m
8,인천(호구포) 호텔 리치아노,4.6,수인 호구포구역 20m 이내-27.1km,"30,000원",m
9,인천(소래포구) LUV,4.8,소래포구역 2번출구 도보5분-25.6km,"55,000원",m
10,인천(소래포구) M,4.7,25.5km,"38,000원",m
11,인천(소래포구) 호텔 cacao,4.7,소래포구역 2번출구 도보5분-25.4km,"55,000원",m
12,인천(소래포구) 동아 DA HOTEL,4.4,소래포구역 2번출구-25.5km,"25,000원",m
13,인천(소래포구) 브라운도트,3.5,25.5km,예약마감,m
14,인천(소래포구) 스카이,3.9,25.5km,예약마감,m
15,소래포구 SJ디자인,3.7,소래포구역 2번출구 약 450m-25.5km,"60,000원",h
16,인천 파크마린호텔,4.5,소래포구역 도보 3분-25.5km,"68,000원",h
17,소래CACAO관광 호텔,4.6,소래포구역 2번출구 도보 7분-25.5km,"60,000원",h
18,라마다 인천,4.5,소래포구역 2번출구 도보 5분-25.5km,"68,000원",h
19,소래포구 폴로 호텔,4.7,소래포구역 2번출구 도보 4분-25.5km,"70,000원",h
20,그랜드팰리스 호텔 인천,4.3,호구포역 2번출구 60m-27.1km,"23,000원",h
21,소래포구 호텔 루브,4.7,소래포구역 2번출구 도보 5분-25.5km,"55,000원",h
22,라마다 인천호텔,3.5,소래포구역 2번출구 도보 5분-25.5km,예약마감,h
