,name,score,loc,lowest_price,category
0,인천(간석동) SL호텔,4.8,간석오거리역 도보 5분-23km,"30,000원",m
1,인천(간석동) 파이,4.6,간석오거리역 도보 10분-23.1km,"35,000원",m
2,인천(간석동) 넘버25 인천간석점,4.6,간석역 도보 5분거리-23.1km,"40,000원",m
3,인천(간석동) 모노호텔,4.5,간석오거리역 3번출구-23.2km,"30,000원",m
4,인천(동암) 호텔 오후,3.5,23.5km,"30,000원",m
5,동암 고추잠자리 호텔,4.5,동암역 2번출구 도보5분-23.5km,"30,000원",m
6,인천(동암) 피카소,4.6,지하철1호선 동암역 2번출구-23.5km,"25,000원",m
7,인천(동암) 느낌 호텔,4.7,23.4km,"30,000원",m
8,인천(간석동) 로제,4.4,간석오거리역 도보 2분-23.2km,"35,000원",m
9,인천(동암) 호텔민트,4.8,23.5km,"30,000원",m
10,인천(동암) 홈,4.7,1호선 동암역 2번 출구-23.5km,"23,000원",m
11,인천(간석동) 노블레스,4.8,22.8km,"35,000원",m
12,인천(간석동) 알리스위트,4.7,간석오거리역 4번출구 방향-23.2km,"40,000원",m
13,인천(동암) 호텔베네,4.5,1호선 동암역 도보 2분-23.4km,"30,000원",m
14,인천(간석동) 골든호텔,4.7,인천선 간석오거리역-23.2km,"60,000원",m
15,인천 간석동 DOS(도스),4.7,23.2km,"30,000원",m
16,인천(동암) 두루와,4.7,23.5km,"40,000원",m
17,인천(간석동) V3,4.6,23.2km,"40,000원",m
18,인천(간석동) 버스,4.6,23.1km,"35,000원",m
19,인천(동암) 타임,4.6,23.6km,"30,000원",m
20,인천(동암) 르네상스,4.6,동암역 북부광장 도보3분-23.5km,"23,000원",m
21,인천(간석동) 필,4.0,23.4km,"30,000원",m
22,인천(동암) 린,4.5,23.4km,"30,000원",m
23,인천(동암) 수,4.6,23.5km,"30,000원",m
24,인천(동암) 필,4.6,1호선 동암역 2번 출구-23.5km,"23,000원",m
25,인천(동암) 더 스타일,4.7,인천 동암역 2번 출구 2분-23.4km,"25,000원",m
26,인천(간석동) 퀸즈,4.6,23.2km,"25,000원",m
27,인천(동암) 쉴,4.6,동암역 2번출구 도보5분-23.5km,"23,000원",m
28,인천(간석동) 자바(ZAVA),4.7,23km,"30,000원",m
29,인천(간석동) 주얼리,3.5,23.4km,"30,000원",m
30,인천(간석동) 코끼리,4.5,23.1km,"30,000원",m
31,인천(동암) 골드호텔,4.9,동암역 2번출구 도보2분-23.4km,"35,000원",m
32,인천(동암) 리치,4.4,23.5km,"22,000원",m
33,인천(간석동) 맘모스,3.8,23.1km,"30,000원",m
34,인천(간석동) Q,3.7,23.1km,"28,000원",m
35,베스트웨스턴 인천 로얄호텔,4.4,간석오거리역 3번출구 270m-23.1km,"62,000원",h
36,알리스위트 호텔 간석동,4.7,간석오거리역 4번출구 도보 5분-23.2km,"50,000원",h
37,골든 호텔 인천,4.7,간석오거리역 5번출구 89m-23.2km,"65,000원",h
