,name,score,loc,lowest_price,category
0,인천(부평) 러브스업 2호점,4.6,"해물탕거리위치, 롯데시네마도보3분거리-20.3km","27,000원",m
1,인천(부평) HOTEL YD27,4.2,부평5동 주민센터 도보2분-20.3km,"26,000원",m
2,인천(부평) YAM 부평역점,4.5,부평 해물탕거리위치 롯데시네마 도보 3분-20.3km,"27,000원",m
3,인천(부평) 메종,4.6,부평역 도보 12분-20.3km,"30,000원",m
4,인천(부평) 두루와 호텔(2호점),4.4,부평역 도보 약 12분-20.4km,"35,000원",m
5,인천(부평) ORA(오라),4.7,부평역 도보 약 9분-20.5km,"30,000원",m
6,인천(부평) 돈키호텔,4.3,인천지하철 부평역 7번출구-20.5km,"30,000원",m
7,인천(부평) 러블리,4.6,인천지하철 부평역 8번 출구-20.5km,"30,000원",m
8,인천(부평) 쁠랑,4.4,20.5km,"35,000원",m
9,인천(부평) 피아노,4.5,인천지하철 부평역 7번 출구-20.5km,"32,000원",m
10,인천(부평) 호텔 마루,4.8,20.5km,"35,000원",m
11,인천(부평) 러브스업,4.4,부평역 도보 약 8분-20.6km,"27,000원",m
12,인천(부평) YAJA 부평역점,4.4,부평역 도보 5분거리-20.6km,"27,000원",m
13,인천(부평) 버니1,4.7,인천지하철 부평역 7번출구-20.6km,예약마감,m
14,인천(부평) 호텔주노,4.8,부평 문화의 거리 인근-20.6km,"35,000원",m
15,인천(부평) ILOVEYOU(알럽유),4.7,20.6km,"35,000원",m
16,인천(부평) Boutique노리터 호텔,4.8,20.6km,"35,000원",m
17,인천(부평) 넘버25 인천부평점,4.8,부평 테마의거리 위치-20.6km,"35,000원",m
18,인천(부평) HOTEL W,4.4,21km,"25,000원",m
19,인천(부평) S1,4.3,북인천우체국 뒷편 위치-21km,"27,000원",m
20,인천(부평) 문라이트,4.5,부평역 16번출구 도보 5분-21.1km,"25,000원",m
21,인천(부평) COGORA(코고라),4.3,부평역 도보 5분-20.6km,"30,000원",m
22,인천(부평) 이오스,4.1,부평역 도보 약 10분-20.5km,"23,000원",m
23,인천(부평) 웰빙,4.6,부평역 7번출구 도보10분-20.5km,"27,000원",m
24,인천(부평) 씨마(CIMA),4.4,21km,"30,000원",m
25,인천(부평) 두루와 1호점(별관),4.7,부평역 도보 약 8분-20.6km,"35,000원",m
26,인천(부평) IMT,4.4,부평역 12번출구 도보5분-20.5km,"28,000원",m
27,인천(부평) 블랙홀,4.6,부평 해물탕거리 위치-20.4km,"25,000원",m
28,인천(부평) 두루와 1호점(본관),4.5,부평역 도보 약 8분-20.6km,"35,000원",m
29,인천(부평) 제니스,4.7,부평역 도보 10분-20.5km,"50,000원",m
30,인천(부평) 라임,4.8,20.6km,"37,000원",m
31,인천(부평) YAM 부평문화의거리점,4.5,맥도날드 부평중앙점에서 도보로 3분이내-20.7km,"30,000원",m
32,인천(부평) 굿타임,4.9,부평역 7번출구 도보10분-20.5km,"25,000원",m
33,인천(부평) 버스,4.5,21km,"30,000원",m
34,인천(부평) 레니엘,4.8,부평 문화의거리 내 위치-20.5km,"30,000원",m
35,인천(부평) 상상(SS),4.4,부평역 6번출구 도보10분-21km,"20,000원",m
36,인천(부평) 카카오,4.0,1호선 부평역 인근-20.5km,"30,000원",m
37,인천(부평) RG,4.6,부평구청역 7번출구 도보15-21.2km,"40,000원",m
38,인천(부평) 샵,4.6,부평역 북인천우체국 뒤편-21km,"20,000원",m
39,인천 부평(청천동) 샘,4.7,청수사거리 100m 이내 위치-21.5km,"35,000원",m
40,인천(부평)TOPAZ(토파즈),4.5,20.3km,"30,000원",m
41,인천 부평(청천동) 리치,4.4,21.4km,"30,000원",m
42,인천 (부평) 버니2,4.5,20.5km,"28,000원",m
43,인천(부평) XYM2,4.8,20.5km,"25,000원",m
44,인천(부평) 갈산역 하이파크,4.6,20.1km,"35,000원",m
45,인천(부평) 세븐,4.3,20.3km,"30,000원",m
46,인천(부평)젠틀맨,4.5,부평구청역 5번출구 도보 5분-20.4km,"30,000원",m
47,인천(부평) 갤러리아 호텔,4.7,20.5km,"30,000원",m
48,인천(부평) BOX motel,4.5,20.7km,"22,000원",m
49,인천(부평) 애플그린,4.5,21km,"30,000원",m
50,인천(부평) CF,4.9,인천지하철 부평역 5번출구-21.2km,"30,000원",m
51,인천(부평) 마이플레이스&XYM,4.2,부평역 6번출구 도보5분-20.7km,"30,000원",m
52,인천(부평) 넷텔,4.7,21.2km,예약마감,m
53,인천(부평) 썸 무인텔,2.8,부평 문화의거리 내 위치-20.6km,"35,000원",m
54,인천 부평(청천동) 필,4.7,청수사거리 100m 이내 위치-21.5km,"35,000원",m
55,인천(부평) 자바,4.8,20.5km,"30,000원",m
56,인천(부평) 칼튼,4.4,21km,"35,000원",m
57,인천 부평(청천동) 삼정,4.5,21.7km,"30,000원",m
58,인천(부평) 쉐이리궁,4.6,청과부평시장 인근-20.3km,"25,000원",m
59,인천(부평) 아이유,3.5,20.5km,예약마감,m
60,인천(부평) 동경,4.4,부평역 롯데시네마 도보5분-20.3km,"25,000원",m
61,인천(부평) 시크릿,4.7,20.3km,"26,000원",m
62,인천(부평) 아쿠아,4.6,20.5km,"25,000원",m
63,인천(부평) 이코노미호텔 인천,5.0,19.7km,예약마감,m
64,인천(부평) 스카이,5.0,20.4km,"35,000원",m
65,인천 boutique 노리터호텔,4.3,부평역 12번출구 도보 5분-20.6km,"35,000원",h
66,이코노미호텔 인천부평,4.4,갈산역 도보 5분-19.7km,예약마감,h
67,굿타임호텔,3.5,부평역 도보 5분-20.5km,예약마감,h
68,부평 제니스 호텔,4.6,부평역 12번출구 도보 5분-20.5km,"50,000원",h
69,인천 아웃백 게스트하우스,3.5,20.6km,"40,000원",g
