,name,score,loc,lowest_price,category
0,인천(검단) 크리스탈 호텔,4.5,27.8km,"50,000원",m
1,인천(석남동) 델루나호텔,4.5,24.6km,"40,000원",m
2,인천(석남동) STAY HOTEL,4.7,24.7km,"40,000원",m
3,인천(청라) 호텔 원티드,4.7,27km,"68,000원",m
4,인천(검단) YAM 인천 검단점,3.9,검단 롯데시네마 인근-25.5km,"32,000원",m
5,인천(검단) 러브버드,4.5,25.4km,"40,000원",m
6,인천(검단) 공감,4.6,인천 2호선 검단사거리역 2번출구 도보 100M-25.5km,"40,000원",m
7,인천(검단) 자스민,4.3,25.4km,"40,000원",m
8,인천(석남동) 더 라임,4.5,석남고가교입구 사거리 인근-24.7km,"35,000원",m
9,인천(석남동) KOJAJA,4.6,24.8km,"30,000원",m
10,인천(석남동) 어썸,4.6,24.6km,"30,000원",m
11,인천(석남동) 돈키호텔,4.5,24.6km,"35,000원",m
12,인천(석남동) The 쉼,4.8,석남고가 사거리 도보 5분-24.7km,"35,000원",m
13,인천(검단) 올인,4.7,25.5km,"40,000원",m
14,인천(석남동) 리츠,4.8,석남고가 사거리 도보 5분-24.9km,"30,000원",m
15,인천(석남동) ON&OFF,4.7,24.6km,"35,000원",m
16,인천(검단) 클리오,4.6,25.5km,"35,000원",m
17,인천(서구) SS,3.7,23.8km,"35,000원",m
18,인천(석남동) 호텔 루미,4.8,현대제일주유소 인근-24.9km,"40,000원",m
19,인천(석남동) ACE,4.7,24.6km,"30,000원",m
20,인천(검단) 레드썬,4.7,25.5km,"35,000원",m
21,인천(서구) 카카오,4.7,인천 서구청 인근 위치-23.7km,"60,000원",m
22,인천(석남동) TWOSOME(2S),4.5,석남고가교입구 사거리에서 3분-24.5km,예약마감,m
23,인천(서구) 연,4.8,23.8km,"40,000원",m
24,인천(서구) BNB,4.7,23.8km,"40,000원",m
25,인천(석남동) 뷰(VIEW),4.5,차량이용시 석남동 519-9번지-24.9km,"35,000원",m
26,인천(검단) 노블레스,4.5,25.4km,"40,000원",m
27,인천(석남동) 오션,4.5,24.5km,"30,000원",m
28,인천(서구) 테크노,4.5,23.9km,"45,000원",m
29,인천(석남동) 요기,4.6,24.5km,"27,000원",m
30,인천(석남동) 스위치,4.6,24.5km,"28,000원",m
31,인천(서구) SG호텔,4.4,23.8km,"40,000원",m
32,인천(석남동) 갤러리,2.2,24.5km,"25,000원",m
33,인천(서구) 가우디,4.5,23.8km,"35,000원",m
34,인천(검단) 펜타스타,4.8,27.7km,"55,000원",m
35,인천(석남동) 알프스,3.6,24.8km,"35,000원",m
36,인천 호텔 원티드,4.7,청라 커낼웨이 차량 약 10분-26.9km,"68,000원",h
37,호텔 소프라 인천청라,4.6,서구청역 4번출구 도보 3분-23.8km,"50,000원",h
38,인천 크리스탈 호텔,4.4,검단 오류역 도보 약 6분-28km,"50,000원",h
39,인천 펜타스타 호텔,4.4,검단오류역 2번출구 도보 7분-27.7km,"55,000원",h
40,인천 더 라임 호텔,3.5,석남역 2번출구 500m-24.7km,예약마감,h
