,name,score,loc,lowest_price,category
0,인천(연수) HOTEL 498,4.7,연수역 4번출구 2분거리-28.4km,"45,000원",m
1,인천(송도) YAM 인천송도점,4.8,30km,"36,000원",m
2,인천(송도) 모닝캄,4.8,30.1km,"50,000원",m
3,인천(송도) 프라하,4.8,송도로터리 도보 10분거리-30.2km,"36,000원",m
4,인천(송도) 큐브,4.0,30.2km,"60,000원",m
5,인천(송도) YAJA 인천 송도점,4.7,송도 로터리 도보 5분 거리-30.3km,"40,000원",m
6,인천(송도) 스테이호텔,4.7,30.3km,"50,000원",m
7,인천(송도) 오투(O2),4.4,송도꽃게거리 인근 위치-30.3km,"35,000원",m
8,인천(송도) 아마레,4.6,30.3km,"50,000원",m
9,인천(송도) 알리스위트,4.7,송도로터리 인근-30.3km,"50,000원",m
10,인천(송도) 바다가 보이는 집,4.5,31km,"25,000원",m
11,인천(송도) 넘버25 송도점,4.8,아암도해안공원 도보15분거리-30.2km,"40,000원",m
12,인천(송도) 테마,4.5,30.2km,"30,000원",m
13,인천(송도) M,4.3,송도유원지에서 도보 5분거리-30.3km,"30,000원",m
14,인천(송도) 프렌즈,4.8,송도로터리 인근-30.1km,"30,000원",m
15,인천(연수) ES,4.7,28.4km,"40,000원",m
16,인천(송도) 이채,4.6,인천상륙작전기념탑 공원 인근-30km,"30,000원",m
17,인천(송도) 소풍,4.7,송도로터리 인근-30.2km,"35,000원",m
18,인천(연수) 아제라호텔,4.8,28.4km,"40,000원",m
19,인천(연수) 토마토(무인HOTEL),4.5,연수역 1번 출구 인근-28.4km,"40,000원",m
20,인천(연수구) 초콜릿,4.6,28.4km,"40,000원",m
21,인천(송도) 리치,4.5,송도역 1번출구-30.7km,"25,000원",m
22,인천(연수) 코코,4.8,연수역 5분거리-28.5km,"40,000원",m
23,인천(송도) 보보스,4.3,31km,"20,000원",m
24,인천(송도) 호텔리오,4.4,30.1km,"35,000원",m
25,인천(송도) 가빈,4.8,30.1km,"30,000원",m
26,인천(송도) 올인,4.5,송도로터리 인근-30.1km,"40,000원",m
27,인천(동춘동) 테크노,4.9,동춘역 4번출구 도보15분-29.4km,"40,000원",m
28,인천(송도) ING,4.5,인천해양과학고등학교 인근-30.9km,"30,000원",m
29,인천(송도) 삼미,3.5,30.3km,"30,000원",m
30,인천(송도) HOTEL 2030,4.4,인천도시관광 주변 인근 위치-30.3km,예약마감,m
31,인천(송도) 필드,4.0,30.3km,"21,000원",m
32,인천(송도) 케이(K),4.2,30.1km,"30,000원",m
33,인천(송도) 상상S2,1.0,송도유원지에서 도보 5분거리-30.3km,예약마감,m
34,인천(송도) 블루,4.5,송도유원지에서 도보 5분거리-30.3km,"35,000원",m
35,라마다 송도,4.2,동춘역 4번출구 차로 10분-30.2km,"50,000원",h
36,알리스위트 호텔 송도,4.5,인천 송도로터리에서 도보 5분-30.3km,"50,000원",h
37,호텔 스카이파크 인천 송도,4.5,송도센트럴파크 도보 약 15분-33.2km,"77,000원",h
38,홀리데이 인 인천송도,4.7,센트럴파크역 2번 출구 바로 앞-33.2km,"79,000원",h
39,송도 센트럴파크 호텔,4.7,센트럴파크역 4번출구 도보 4분-32.9km,"77,000원",h
40,쉐라톤 그랜드 인천,4.7,인천대입구역 4번출구 730m-32.4km,"119,790원",h
41,경원재 앰배서더 인천,5.0,송도 센트럴파크 내 위치 센트럴파크역 도보 3분-32.9km,예약마감,h
42,오라카이 송도파크 호텔,4.6,인천대입구역 4번출구 240m-32.9km,"77,700원",h
43,인천 스테이 호텔,4.4,송도유원지 도보 3분-30.3km,"55,000원",h
44,오크우드 프리미어 인천,4.9,인천대입구역 5번출구 600m-32.5km,"205,700원",h
45,송도 호텔 아마레,4.4,차량 약 15분거리-30.3km,"50,000원",h
46,Boutique Hotel 498,4.5,연수역 4번 출구 도보 3분-28.4km,"50,000원",h
47,인천 코코 호텔,3.5,연수역 약2분거리-28.5km,예약마감,h
48,인천 더노벰버스테이 커넬워크,4.9,32.2km,"71,500원",f
49,인천 더노벰버스테이 오네스타,4.7,32.2km,"73,000원",f
