,name,score,loc,lowest_price,category
0,인천(숭의동) 썸,4.5,28.5km,"30,000원",m
1,인천(용현동) CF,4.8,인하대병원 사거리 도보3분-29.5km,"35,000원",m
2,인천(용현동) 넘버25 인천용현점,4.9,29.6km,"40,000원",m
3,인천(용현동) 호텔 나무,4.8,29.6km,"40,000원",m
4,인천(용현동) S,4.7,인하대병원 사거리 인근-29.6km,"40,000원",m
5,인천(용현동) 정원호텔,4.9,29.9km,"45,000원",m
6,인천(용현동) 프라하,4.8,차량 5분거리 인하대병원-29.6km,"36,000원",m
7,인천(용현동) 호텔 빈,4.8,인하대병원 바로 앞 건너편-29.4km,"35,000원",m
8,인천(숭의동) 붐,4.7,숭의 로터리 인근 위치-28.3km,"35,000원",m
9,인천(송림동) 호텔아이,4.4,28.1km,"30,000원",m
10,인천(송림동) IMT,4.7,도원역2번출구 도보5분 -28.1km,"35,000원",m
11,인천(송림동) 팔레스,4.8,28.1km,"30,000원",m
12,인천(용현동) 3S,4.8,29.7km,"33,000원",m
13,인천(도화) 호텔여행,4.6,도화1동 주민센터 보도 5분-26.5km,"35,000원",m
14,인천(도화) 노블,4.7,26.9km,"32,000원",m
15,인천(용현동) 에이스,4.8,인하대병원 사거리 도보 3분-29.5km,"35,000원",m
16,인천(용현동) 써클,4.7,29.6km,"60,000원",m
17,인천(용현동) G,4.5,풍림 하나로쇼핑센터 인근위치-29.6km,"32,000원",m
18,인천(송림동) 레인보우,4.3,28.1km,"30,000원",m
19,인천(용현동)힐링(보훈병원앞),4.4,28.2km,"30,000원",m
20,인천(용현동) 엘루이,4.4,인하대병원 인근-29.6km,"40,000원",m
21,인천(숭의동) 피카소,5.0,28.4km,"35,000원",m
22,인천(용현동) 크라운,4.3,인천 IC 방향-29.8km,예약마감,m
23,인천(용현동) 터미널,2.0,숭의역 도보 6분인하대학교 도보 20분도원역 도보 25분-29.1km,"30,000원",m
24,인천(용현동) 아미가,3.5,29.8km,"45,000원",m
25,인천 써클호텔,4.6,숭의역 도보 10분-29.6km,"70,000원",h
