,name,score,loc,lowest_price,category
0,인천(주안) 호텔오라,4.8,25.2km,"32,000원",m
1,인천(주안) 페이지46,4.9,25.2km,"38,000원",m
2,인천(주안) 썸,4.7,석바위사거리 인근-25.2km,"33,000원",m
3,인천(주안) 피아노,4.3,석암아파트 인근-25.2km,"27,000원",m
4,인천(주안) 더자자,4.5,주안역 1번출구 방향-25.4km,"35,000원",m
5,인천(주안) 홀인원,4.7,주안역 도보 15분-25.4km,"35,000원",m
6,인천(주안) 프로포즈,4.9,주안역 1번출구 도보10분-25.5km,"35,000원",m
7,인천(주안) 블리츠,4.6,주안역 도보 10분-25.5km,"37,000원",m
8,인천(주안) 별이빛나는밤에,4.7,1호선 주안역 도보 10분-25.5km,"36,000원",m
9,인천(주안) 두루와,4.6,주안역 도보 5분-25.6km,"38,000원",m
10,인천(주안) 소마호텔,4.7,인천 2호선 시민공원역 도보 3분이내-25.6km,"40,000원",m
11,인천(주안) HERTZ(헤르츠),4.2,25.4km,"28,000원",m
12,인천(주안) Luxury짝,4.6,주안역 1번출구 방향-25.3km,"25,000원",m
13,인천(주안) 호텔나무,4.8,25.2km,"40,000원",m
14,인천(주안) HOTEL NICE,4.5,25.4km,"34,000원",m
15,인천(주안) 씨앤,4.5,주안역 도보 15분-25.1km,"38,000원",m
16,인천(주안) 호텔주노,4.8,25.3km,"30,000원",m
17,인천(주안) St.179,4.8,시민공원역 도보3분 이내-25.6km,"35,000원",m
18,인천(주안) 위드유,4.7,25.5km,"35,000원",m
19,인천(주안) 호텔가자,4.6,예시민회관사거리 도보 5분-25.5km,"27,000원",m
20,인천(주안) 호텔세븐(SEVEN 7),4.8,25.2km,"30,000원",m
21,인천(주안) MARI,4.6,25.7km,"35,000원",m
22,인천(주안) 프로방스,4.7,주안역 도보 8분-25.5km,"30,000원",m
23,인천(주안) 러블리,4.7,1호선 주안역 도보 10분-25.3km,"25,000원",m
24,인천(주안) 식스(SIX),4.7,25.5km,"38,000원",m
25,인천(주안) 루나,4.6,주안역 13번출구 도보8분-26km,"30,000원",m
26,인천(주안) 베드스테이션,4.8,"주안역 5분거리, 시민공원역 10분거리-25.5km","30,000원",m
27,인천(주안) 씨네마,4.7,CGV 남주안 인근-25.8km,"33,000원",m
28,인천(주안) 호텔마루,4.7,25.3km,"30,000원",m
29,인천(주안) 브라운도트호텔,3.5,25.5km,예약마감,m
30,인천(주안) 파티오,4.6,주안역 1번출구 도보10분-25.5km,"30,000원",m
31,인천(주안) 더블유(W),4.7,25.1km,"25,000원",m
32,인천(주안) 호텔마음,4.9,1호선 주안역 도보 10분-25.3km,"35,000원",m
33,인천(주안) 디데이,4.7,25.4km,"35,000원",m
34,인천(주안) 리베라,4.8,25.2km,"27,000원",m
35,인천(주안) YOU&I(유앤아이),4.8,25.5km,"60,000원",m
36,인천(주안) H호텔,4.5,주안역 1번출구 방향-25.4km,"20,000원",m
37,인천(주안) ETE(에떼),4.7,주안역 2번출구 도보 5분-25.8km,"30,000원",m
38,인천(주안) 나인호텔(Nine hotel),4.4,25.8km,"35,000원",m
39,인천(주안) 토마토호텔,4.6,주안역 11번 출구 도보1분-25.7km,"25,000원",m
40,인천(주안) 테마(CGV점),3.7,주안역 1번 출구-25.7km,"25,000원",m
41,인천(주안) 샵,4.7,주안역 1번출구 도보10분-25.5km,"35,000원",m
42,인천(주안) E,4.7,주안역 1번출구 도보10분-25.6km,"33,000원",m
43,인천(주안) 아미-무인호텔,4.8,25.4km,"30,000원",m
44,인천(주안) 주얼리,4.1,25.3km,"19,000원",m
45,인천(주안) 굿타임,4.5,25.2km,"20,000원",m
46,인천(주안) 호텔위드,4.7,옛시민회관사거리 도보 5분-25.7km,"30,000원",m
47,인천(주안) 스타,3.8,주안역 1번출구 도보10분-25.5km,"20,000원",m
48,인천(주안) 폭스,5.0,주안역 2번출구 50M-25.6km,"32,000원",m
49,인천(주안) 엘루이,2.7,주안현대아파트 인근-25.4km,"30,000원",m
50,인천(주안) 황해장,5.0,28.1km,"25,000원",m
51,인천(주안) 로아,5.0,25.7km,"35,000원",m
52,인천(주안) 썬플라워,3.8,1호선 주안역 인근 위치-25.5km,"24,000원",m
53,인천(주안) 로지,4.6,1호선 주안역 인근 위치-25.5km,"23,000원",m
54,인천(주안) 브랜드,4.1,주안역 2번출구 도보 3분-25.7km,"22,000원",m
55,인천(주안) 베듀(허브),4.0,주안역 9번출구 도보 10분-25.8km,"25,000원",m
56,인천(주안) J,5.0,25.4km,"35,000원",m
57,인천(주안) 그린,4.6,백악관 나이트 도보1분-25.3km,"30,000원",m
58,더 바스텔,4.7,주안역 1번출구 도보 약 10분-25.2km,예약마감,h
59,인천 소마 호텔,4.3,시민공원역 1번출구 도보 3분-25.6km,"45,000원",h
60,에스티 179 (St.179),4.0,시민공원(문화창작지대)역 도보 5분-25.6km,"40,000원",h
