,name,score,loc,lowest_price,category
0,인천(숭의역) 봄날,4.7,숭의역 4번출구 5분거리-29km,"35,000원",m
1,인천(동인천) S7,4.6,29.2km,"29,800원",m
2,인천(동인천) YAJA 동인천역점,4.5,동인천역에서 도보로 5분거리-29.2km,"35,000원",m
3,인천(신포) 넘버25 인천신포점,4.7,29.5km,"40,000원",m
4,인천(신포) MY24,4.8,29.8km,"45,000원",m
5,인천(신포) 초이스,4.5,29.8km,"35,000원",m
6,인천(신포) 세븐(SE7EN),4.5,29.8km,"40,000원",m
7,인천(신포) 힐링모텔,4.3,30km,"30,000원",m
8,인천(연안부두) THE K - HOTEL,4.9,32.6km,"40,000원",m
9,인천(연안부두) 바이킹,3.3,32.5km,"30,000원",m
10,인천(신포) 위드,4.6,29.8km,"35,000원",m
11,인천(월미도) W호텔,4.7,월미도 내 위치-31.7km,"45,000원",m
12,인천(월미도) 블루마린,4.8,31.9km,"50,000원",m
13,인천(월미도) 해월관광호텔,4.7,32km,"60,000원",m
14,인천(월미도) 풀문 호텔,4.5,31.8km,"45,000원",m
15,인천(월미도) 호텔월미여관,4.9,31.8km,"50,000원",m
16,인천(월미도) 다이아몬드 호텔,4.1,31.8km,예약마감,m
17,인천(연안부두) 일루와,4.8,32.4km,"40,000원",m
18,인천(월미도) 스텔라마리스호텔,4.8,31.7km,"40,000원",m
19,인천(연안부두) IT s (이츠호텔),4.7,32.4km,"43,000원",m
20,인천(월미도) 그랜드 스위트 호텔,4.5,31.9km,"45,000원",m
21,인천(월미도) 갤럭시 호텔,4.5,31.8km,"35,000원",m
22,인천(연안부두) 딘(DEAN),4.8,인천항 국제여객터미널 인근-32.3km,"40,000원",m
23,인천(연안부두) 블랙로즈,4.2,32.3km,"30,000원",m
24,인천(월미도) G호텔,4.6,월미도중앙-31.9km,예약마감,m
25,인천(월미도) 네이버,4.9,월미도 마이랜드 인근-31.8km,"40,000원",m
26,인천(차이나타운) 호텔아띠,3.5,1호선 인천역 인근-30km,"35,000원",m
27,인천(차이나타운) 로마,4.7,29.8km,"40,000원",m
28,인천(월미도) 하버뷰,4.5,인천 월미도 인근-31.6km,"35,000원",m
29,인천(월미도) 삼해장,4.0,월미도 놀이공원 가는 길-31.7km,"30,000원",m
30,인천(연안부두) 시드니,4.2,인천항연안 여객터미널 인근-32.3km,예약마감,m
31,인천(연안부두) 포유,4.2,인천항연안 여객터미널 인근-32.3km,"30,000원",m
32,인천(동인천) ING,4.2,29.4km,"30,000원",m
33,인천(연안부두) Y&E 호텔,3.5,32.5km,"40,000원",m
34,인천(신흥) 프린스,3.5,29km,예약마감,m
35,인천(월미도) 시크릿,3.6,31.7km,"45,000원",m
36,인천(차이나타운) 로쥬,5.0,30km,"35,000원",m
37,인천(연안부두) 애플,3.5,인천항 국제여객터미널 근처-32km,"40,000원",m
38,시크릿 관광호텔,4.0,월미테마파크 600m-31.7km,"50,000원",h
39,호텔 갤럭시 월미도,4.1,월미도 월미문화의거리 내-31.8km,예약마감,h
40,풀문 관광호텔,4.4,월미도 월미공원-31.8km,"45,000원",h
41,호텔 월미도,4.5,문화의 거리 약 10m-32.1km,"77,000원",h
42,인천 일루와호텔,4.7,월미도 차량 약 30분-32.4km,"43,000원",h
43,월미도 W 관광호텔,4.6,월미도 테마파크 도보 5분-31.7km,"50,000원",h
44,베니키아 월미도 더 블리스,4.6,월미도 월미공원-32km,"50,000원",h
45,월미도 프리미어스 호텔,3.9,인천시 월미도 유원지-32km,"55,000원",h
46,월미도 하버뷰 호텔,4.4,월미도 월미도 관광안내소 150m-31.6km,"35,840원",h
47,베니키아 바다의 별,4.5,월미도 인천역 약 3km-31.9km,"30,000원",h
48,월미도 그랜드 스위트 호텔,4.5,월미테마파크 도보 1분 거리-31.9km,"60,000원",h
49,연안부두 딘 관광호텔,4.6,연안부두 약1분거리-32.3km,"40,000원",h
50,연안부두 이츠호텔,4.4,연안부두 차량 약 2분거리-32.4km,"40,000원",h
51,인천 스텔라 마리스호텔,4.8,인천항 도보 약 16분-31.7km,"55,000원",h
52,월미도 해월관광호텔,4.9,월미도 월미공원-32km,"60,000원",h
53,월미도 다이아몬드 호텔,4.2,월미도 월미테마파크 도보7분-31.7km,예약마감,h
54,G관광호텔 월미도,4.7,월미테마파크 370m-31.9km,예약마감,h
55,아이 네이버 관광호텔,4.4,인천시 월미도-31.8km,예약마감,h
56,베스트웨스턴 하버파크 호텔,4.6,인천역 차이나타운 인근-30.2km,"70,000원",h
