,name,score,loc,lowest_price,category
0,서귀포(성산) 블루마운틴,4.4,성산일출봉 도보3분-456.5km,"47,500원",m
1,서귀포(성산) 호텔 MCC,4.4,458.9km,"38,000원",m
2,서귀포 퍼블리코,4.0,481.5km,"50,000원",m
3,"제주 헤이, 서귀포",4.5,481.8km,"55,000원",m
4,서귀포 펠리시아호텔,4.6,482km,"39,000원",m
5,서귀포 중문 제이힐&시티 호텔,4.5,천제연폭포 700m-482.4km,"35,910원",m
6,서귀포(중문) 호텔 더 그랑(HOTEL THE GRANG),4.8,481.7km,"60,000원",m
7,서귀포 DK호텔,4.4,481.8km,"42,000원",m
8,"서귀포 호텔 휴식, 서귀포",4.7,481.4km,예약마감,m
9,서귀포(중문) 아루미 호텔,4.7,481.6km,"65,000원",m
10,서귀포 썬라이즈호텔 중문점,4.5,482.7km,"65,000원",m
11,서귀포 썬라이즈호텔 섭지코지점,4.2,459.5km,"60,000원",m
12,서귀포 썬라이즈호텔 성산점,3.7,456.6km,"70,000원",m
13,서귀포 돌과바람 호텔&리조트,5.0,478.7km,"29,000원",m
14,서귀포 라벤다호텔,4.1,천지연폭포 인근-481.7km,"45,000원",m
15,서귀포(성산) 헤라,3.3,성산일출봉 입구에서도보10분-456.4km,"40,000원",m
16,서귀포 피노호텔,4.6,482.4km,"59,000원",m
17,서귀포 렉스호텔,4.8,"서귀포시내중심 매일올레시장입구위치, 동문로터리 인근위치-481.5km","40,000원",m
18,서귀포 모슬포 호텔,4.2,487.8km,"44,000원",m
19,서귀포 호텔 52,4.6,487.6km,"50,000원",m
20,서귀포 록산모텔,4.2,481.6km,"25,000원",m
21,서귀포 신세계호텔,4.6,482km,예약마감,m
22,서귀포 라림부띠끄 호텔,5.0,484.5km,"94,740원",m
23,서귀포 바다해,4.6,서귀포항 인근-482.3km,"45,000원",m
24,서귀포 칠십리HOTEL,4.7,481.7km,예약마감,m
25,서귀포(성산) 아쿠아비치,4.2,"광치기해변, 성산일출봉 인근-458.2km","40,000원",m
26,스놉 부띠끄스테이,4.6,484.8km,"80,000원",m
27,서귀포 THE LUCETE HOTEL,4.6,482.4km,"25,000원",m
28,서귀포 신신호텔 천지연점,4.8,481.5km,예약마감,m
29,서귀포 운송시크릿텔,4.3,483.6km,예약마감,m
30,서귀포 진,4.7,481.6km,"40,000원",m
31,서귀포 호텔이디,4.1,남원해수풀장 도보 1분-477.4km,"43,000원",m
32,서귀포 호텔 랑주,4.5,481.4km,"35,500원",m
33,서귀포 오렌지호텔,4.6,481.8km,"38,000원",m
34,서귀포 호텔 연,4.6,482.1km,"40,000원",m
35,서귀포 중문 예그린하우스,4.8,중문향토오일시장 인근-482.4km,"44,000원",m
36,서귀포 올레휴,4.9,481.6km,"32,000원",m
37,서귀포 호텔 윈스토리,4.8,481.7km,"54,000원",m
38,서귀포 런호텔,4.7,이중섭미술관 근접-481.7km,"50,000원",m
39,서귀포(성산) 룩스호텔,4.5,458.1km,"39,900원",m
40,서귀포(성산) 스테이 인 성산호텔,4.0,459.3km,"50,000원",m
41,서귀포 세리리조트,4.7,482.1km,"59,000원",m
42,서귀포 파인힐,4.3,482.4km,"100,000원",m
43,서귀포 베네치아,4.8,481.8km,예약마감,m
44,서귀포 밀라노,4.7,482.1km,예약마감,m
45,서귀포 굿인,4.5,481.8km,"35,000원",m
46,서귀포 글래즈하임,4.9,서귀포시 제주올레길7코스-483.4km,예약마감,m
47,서귀포 비치파크,4.5,471.9km,예약마감,m
48,서귀포 이디 펜션,3.5,482.4km,예약마감,m
49,서귀포 낙원 비치하우스,3.5,466.5km,예약마감,m
50,서귀포(성산) 골든튤립,3.5,458.2km,예약마감,m
51,서귀포(성산) 비치호텔,4.5,성산일출 해양도립공원 인근-456.3km,"39,800원",m
52,서귀포(중문) 베니키아호텔,4.0,482.3km,예약마감,m
53,서귀포 신신호텔 서귀포점,5.0,481.9km,예약마감,m
54,서귀포 파미유 리조트,3.5,483.5km,예약마감,m
55,서귀포(중문) 중문 비치 호텔,3.5,481.8km,예약마감,m
56,서귀포 서현호텔,4.1,481.5km,"40,000원",m
57,서귀포 솔라시도,5.0,서귀포 월드컵 경기장 인근-483.5km,"139,000원",m
58,서귀포 호텔 케니,4.4,481.4km,예약마감,m
59,서귀포 기풍호텔,3.1,남원해수풀장 도보 1분-477.4km,예약마감,m
60,서귀포 BK 호텔,4.6,서귀포항입구 교차로 근처-482.4km,"45,000원",m
61,제주 송원모텔,3.5,481.4km,"40,000원",m
62,서귀포 한두모텔,3.8,481.8km,"30,000원",m
63,서귀포(성산) 프린스,4.4,458.1km,"30,000원",m
64,서귀포(성산) 엔파제주호텔,3.5,460.3km,예약마감,m
65,서귀포(성산) 파라다이스힐,3.5,457.5km,예약마감,m
66,서귀포 소금막 리조트,4.6,481km,예약마감,m
67,서귀포 인하우스,3.5,482.3km,예약마감,m
68,서귀포 그랑부르 호텔&펜션,3.5,485.9km,예약마감,m
69,서귀포 해든빌레,5.0,476.2km,예약마감,m
70,서귀포 더나은스테이,5.0,480km,예약마감,m
71,서귀포 귤하우스,3.5,476.7km,예약마감,m
72,서귀포(성산) 보물섬 호텔&펜션,3.5,456.2km,예약마감,m
73,서귀포 한라궁호텔,3.5,481.5km,예약마감,m
74,서귀포 밸류 호텔 JS,4.5,481.6km,"58,900원",m
75,서귀포 뷰티풀리조트,3.5,483km,예약마감,m
76,서귀포 아크로뷰 호텔,3.5,487.9km,예약마감,m
77,서귀포 모던플레이스,4.3,480.8km,예약마감,m
