,name,score,loc,lowest_price,category
0,제주(탑동) HOTEL W,4.6,제주 공항 차량 10분 이내-452.2km,"45,000원",m
1,제주 체크인,4.4,탑동사거리 인근-452.2km,"42,000원",m
2,제주 스테이 호텔,4.2,제주 관덕정 위치-452.5km,"35,000원",m
3,제주 오렌지트리 호텔&카페,3.9,452.7km,"39,900원",m
4,제주 R&T호텔,4.3,452.8km,"37,800원",m
5,제주(용담) 화이트하우스,4.1,453km,"50,000원",m
6,제주 참피온 호텔,4.2,제주남초등학교 도보 5분-453.1km,"30,000원",m
7,제주 호텔 G,4.6,453.1km,"29,000원",m
8,제주 The M Hotel,4.6,"제주공항 10분이내, 동문상설시장 근접-453.6km","50,000원",m
9,제주 사하라호텔,4.4,제주 CGV 맞은편에 위치-454km,"40,000원",m
10,제주 에메랄드 에이스 호텔,3.9,454.2km,"30,000원",m
11,제주 에스호텔 (S Hotel),5.0,455km,"45,000원",m
12,제주 미주호텔,4.1,CU 편의점 맞은편-455.1km,"32,000원",m
13,제주 오션패밀리호텔,4.7,공항 10분 거리 위치-455.2km,"39,600원",m
14,제주 퓨어스테이,4.5,제주공항 5분거리-455.2km,"39,600원",m
15,제주 ATnoon,4.5,삼다공원 도보 약 4분-455.4km,"39,900원",m
16,제주 이채 호텔,4.4,455.5km,"39,000원",m
17,제주 아이존,4.3,455.5km,"50,000원",m
18,제주 MJ,4.7,제주한라병원 도보 5분이내-455.5km,"33,000원",m
19,제주 메이저호텔2,4.6,제주공항 인근-455.8km,"50,000원",m
20,제주(신제주) HOTEL W,4.7,455.8km,"55,000원",m
21,제주 샵 모텔,4.5,스타벅스 인근-455.8km,"40,000원",m
22,제주 제이원 호텔,4.7,신제주 제원아파트에서 서쪽으로 50M-455.8km,"45,000원",m
23,제주 F1,4.4,제주 공항 10분거리(신제주 시내)-455.9km,"29,900원",m
24,제주 컬리넌 호텔,4.2,연동사거리 도보 5분 이내-455.9km,"49,500원",m
25,제주 세종호텔,4.2,455.9km,"35,000원",m
26,제주 썬랜드 호텔,4.8,456.1km,"35,000원",m
27,제주 메이저호텔1,4.6,제주공항인근-456.2km,"50,000원",m
28,제주 신제주 노블레스 호텔,4.2,신제주 그랜드호텔 사거리부근-456.2km,"55,000원",m
29,제주 애플호텔,4.0,제주 동부경찰서 맞은편-453.6km,예약마감,m
30,제주 르네상스 호텔,4.6,"제주공항,시외버스터미널 근처-453.7km","50,000원",m
31,제주 교래 무인텔,4.6,교래리사무소 인근-461.1km,"50,000원",m
32,제주 라인호텔,4.8,453.7km,"50,000원",m
33,제주 힐링하우스,4.4,454km,"35,000원",m
34,제주 T무인텔,4.8,제주공항에서 20분 거리-455.7km,"50,000원",m
35,제주 해피데이,4.6,455.8km,"40,000원",m
36,제주 사쿠라호텔,3.8,456.1km,"45,000원",m
37,제주 뉴제주호텔,4.8,456km,"35,000원",m
38,제주 영성모텔,3.4,452.6km,"30,000원",m
39,제주 보보스,4.1,탑동 해변공원장 5분-452.3km,예약마감,m
40,제주 북경모텔,4.8,사라봉오거리 도보 5분-452.1km,"35,000원",m
41,제주 호텔 통,4.0,455.9km,"40,000원",m
42,제주 호텔 비앤비,3.9,삼무공원 인근-455.3km,"35,000원",m
43,제주 호텔 비,3.7,GS25 편의점 맞은편-455.5km,"35,000원",m
44,제주 오크라호텔,4.7,455.5km,"25,000원",m
45,제주 녹원,4.8,454km,"33,000원",m
46,제주 탐라지오 레지던스 호텔,3.5,456km,예약마감,m
47,제주 메이플호텔,3.5,노형오거리 인근-455.9km,"55,000원",m
48,제주 몽듀호텔,4.9,452.9km,"80,000원",m
49,제주 오라스테이,4.6,제주국제공항 인근-452.5km,"30,000원",m
50,제주 신제주 뉴아일랜드 관광호텔,3.8,456km,"25,000원",m
51,제주 동해호텔,4.6,454.5km,"35,000원",m
52,제주 라임,4.8,454km,예약마감,m
53,제주 펄 호텔,4.4,연동근린공원 인근-456.1km,"40,000원",m
54,제주 시티홀호텔,4.3,453.9km,"55,000원",m
55,제주 휴,4.6,삼도1동 CGV 인근-454km,"33,000원",m
56,제주 올림피아 호텔,3.9,454.1km,"30,000원",m
