,name,score,loc,lowest_price,category
0,제주 더 스테이 센추리 호텔,4.5,456.7km,"39,000원",m
1,제주(애월) 마레보 비치호텔 알리앙스,4.1,461.8km,예약마감,m
2,제주 SHOW 무인텔,4.7,아르본 리조트 인근-462.4km,"50,000원",m
3,제주 일루아 무인텔,4.7,제주도 유수암길에 위치한 쾌적한 환경에 무인텔입니다.-462.9km,"50,000원",m
4,제주 씨스테이 스파,4.6,고내포구 인근 위치-459.3km,"99,000원",m
5,제주 고스트하우스,4.0,458.2km,"50,000원",m
6,제주 아이,4.7,475.9km,"80,000원",m
7,제주 나비스 호텔,4.5,456.7km,"40,000원",m
8,제주 Fantastic Oceanview 시드니호텔,4.4,애월해안로 위치-457km,"40,000원",m
9,제주 이그니스 무인텔,4.4,제주아르본유스호스텔 인근 위치-462.4km,"45,000원",m
10,제주 휴 무인텔,4.9,평화로 중문방향 제주관광대 부근-462.1km,예약마감,m
11,제주 M무인텔,4.8,해피타조농원 인근-460.5km,"50,000원",m
12,제주 더자라 무인텔,4.6,459.5km,예약마감,m
13,제주 모이라 무인텔,4.6,460.2km,"40,000원",m
14,제주 베누스 무인텔,4.7,"애월 유수암리, 렛츠런파크 인근-463.8km","60,000원",m
15,제주 우림호텔,4.0,456.9km,"37,000원",m
16,제주 아마빌레,4.5,하귀입구 삼거리 인근 위치-456.9km,"54,000원",m
17,제주 마제스티,4.8,협재해수욕장 도보 10분-467.8km,예약마감,m
18,제주 씨앤힐 스파,3.5,458.6km,예약마감,m
19,제주 블루스프링 부띠끄호텔,4.4,협재해수욕장 바로 앞 30초거리-468.7km,"75,000원",m
20,제주 퀸 무인텔,4.8,"제주 외고 밑, 평화로 인근-462.1km","40,000원",m
21,제주 르메인 호텔,5.0,468.2km,예약마감,m
22,제주 스카이호텔,4.6,463.9km,예약마감,m
23,제주 스카이 리조트,3.5,463.8km,예약마감,m
24,제주 한담해넘이 호텔,3.5,460.5km,예약마감,m
25,제주 한림 라파로마,3.5,협재사거리 500m 이내-468.6km,"45,000원",m
26,제주(애월) 더자,3.5,소길리사무소 인근위치-460km,예약마감,m
27,제주 헤리티지,3.5,광령4교차로 인근-461km,예약마감,m
28,제주 한림 이쁜새이쁘게노래하고,4.6,468.6km,"45,000원",m
29,탑스텐 빌라드애월,4.5,제주국제공항 15.70km-458km,"88,000원",h
30,제주 샐리스 호텔,4.5,제주국제공항 16.36km-459.6km,"77,000원",h
31,마레보비치 호텔,4.1,제주 곽지해수욕장 안에 위치-461.8km,"120,000원",h
32,헤브론힐 리조트,2.8,제주시 애월읍-462.9km,"23,000원",h
33,에코그린 리조트&호텔&풀빌라,4.4,협재해수욕장 차량 약 8분거리-463.3km,"74,750원",h
34,블루하와이리조트,4.3,협재해수욕장 5분 거리-470.2km,"55,000원",h
35,블루하와이호텔,4.4,협재해수욕장 5분 거리-470.3km,"55,000원",h
36,제주 스타하우스 호텔,4.5,제주 공룡랜드 맞은편-461.3km,"26,000원",h
37,애월바다호텔 제주,4.2,애월해안로 신엄입구 정류장 약 50m-458km,"45,000원",h
38,베니키아 더 제주 리조트,4.1,제주시 한림읍 협재로-470.1km,"40,000원",h
39,제주 힐링리조트,4.7,한림읍 금악리-473.3km,"58,900원",h
40,제주 담스파빌,4.8,"협재해변, 금능해변 차량 1분 거리-469.7km","99,000원",h
41,베니키아 호텔 제주,4.1,제주국제공항 차량 20분-458km,"45,000원",h
42,애월 스테이 인 제주,4.5,제주 구엄마을-457.3km,"59,000원",h
43,다인오세아노호텔,4.6,애월 해안도로 위치-458.7km,"163,850원",h
44,탐라스테이 제주,4.4,제주국제공항 11.61km-456.7km,"71,500원",h
45,제주 하모니리조트,4.7,제주시 한림-470km,"79,600원",h
46,제주 부띠끄 풀빌라 나미브,4.6,판포포구 차량 4분-472.1km,예약마감,h
47,제주 빌레리조트,4.3,제주국제공항 차량 약 20분-458.8km,"56,000원",h
48,다인리조트 애월,4.3,애월 해안도로 위치-458.8km,"67,800원",h
49,물뜰에쉼팡,4.4,제주시 한림읍-463km,예약마감,h
50,제주 유니 호텔,4.7,애월해안도로 차량 2분-457.7km,"103,000원",h
51,코쿤관광호텔 애월 제주,4.3,제주 제주 애월읍 중엄3길 50 하귀애월해안도로 차량 1분-457.8km,예약마감,h
52,르메인 호텔 제주,4.7,협재 해수욕장 도보 3분-468.2km,예약마감,h
53,제주 유티에스 빌리지,3.2,제주국제공항 차량 25분 거리-462.4km,"52,200원",h
54,제주리조트,4.6,제주국제공항 차량 20분 거리-457km,"67,200원",h
55,켄싱턴리조트 제주 한림,3.8,제주시 한림해안로-463.6km,예약마감,h
56,올레리조트,3.5,제주국제공항 차량 약 25분-458.3km,예약마감,h
57,호텔 아길라,4.4,협재해수욕장 차량 5분-467.8km,예약마감,h
58,씨클리프 호텔 제주,3.0,제주국제공항 차량 20분-458km,"50,000원",h
59,EQ STAY,4.5,금능해수욕장 도보 5분-469.6km,예약마감,h
60,제주 금강산콘도,2.0,협재해수욕장 인근-470km,"60,000원",h
61,제주 토비스콘도 오션동,4.1,애월항 1.10km-460.1km,"56,000원",h
62,제주 나비스호텔,4.8,제주시 애월읍 구엄포구 부근-456.7km,"39,000원",h
63,하이제주호텔(홍익제주호텔),4.2,협재 해수욕장 차량 5분거리-468.6km,"95,000원",h
64,제주 Fantastic Oceanview 시드니호텔,4.3,애월읍 애월해안로-457km,예약마감,h
65,제주 우림호텔,4.2,제주국제공항 11.61km-456.9km,예약마감,h
66,제주 리벤시아 풀빌라 앤 호텔,4.6,협재해수욕장 2.98km-470.7km,"110,000원",h
67,제주 뉴오션 리조트,3.8,애월 해안도로 도보 4분-459.1km,"45,000원",h
68,흰수염고래 리조트,4.8,제주국제공항 13.74km-458.1km,예약마감,h
69,제주 아르본리조트,3.4,제주국제공항 11.85km-462.5km,"30,000원",h
70,제주 토비스콘도 패밀리동,3.7,애월항 1.10km-460.1km,"56,000원",h
71,제주 라온 호텔&리조트,4.4,협재해수욕장 2.56km-470.5km,"55,000원",h
72,수앤수 호텔&리조트,4.3,제주국제공항 16.16km-458.4km,"77,000원",h
73,더 스테이 센추리 호텔,4.4,제주국제공항 9.68km-456.7km,"49,000원",h
74,일성 제주비치 콘도&리조트,3.5,제주시 한림로-469.7km,"83,000원",h
75,제주 씨스테이 호텔 앤 스파,4.5,애월항 2.03km-459.3km,"99,000원",h
76,제주 리치 호텔,4.5,애월 제주 공항에서 약 14km-458.7km,"80,000원",h
77,메가리조트,3.9,제주시 판포포구 바로 앞-472.3km,"60,000원",h
78,제주 마레보 리조트,4.6,제주시 애월읍-458.7km,"117,000원",h
79,카이리조트 제주,4.5,제주시 한림읍-468.8km,"75,000원",h
80,제주 잇츠힐펜션,4.8,456.7km,"170,000원",f
81,제주 애월 씨앤스타펜션(신축펜션),4.9,459.9km,"99,000원",f
82,제주 윈드밀108풀빌라,4.9,473.5km,"250,000원",f
83,제주 소풍이야기펜션,4.6,456.5km,"60,000원",f
84,제주 바닷가앞펜션(30평),4.8,458.3km,"75,000원",f
85,제주 쌩텀펜션,3.5,462.1km,"60,000원",f
86,제주 금단영펜션,4.8,472.7km,"79,000원",f
87,제주 프라이빗064펜션,3.5,468.8km,예약마감,f
88,제주 애월라라펜션,3.5,461.3km,예약마감,f
89,제주 디스빌라691스파펜션,4.9,472.8km,"130,000원",f
90,제주 월령코지펜션,4.5,470.4km,"55,000원",f
91,제주 UTS빌리지리조트,4.5,462.4km,"52,200원",f
92,제주 금능올래펜션(독채펜션),5.0,469.4km,"180,000원",f
93,제주 후니미니펜션,5.0,476.3km,"70,000원",f
94,제주 자레와펜션,5.0,462.3km,"80,000원",f
95,제주 푸르다오션펜션,4.8,470.5km,"79,000원",f
96,제주 팽나무1949펜션,3.5,476.3km,"250,000원",f
97,제주 채송화펜션,5.0,472.3km,"80,000원",f
98,제주 린도펜션,4.5,456.2km,"81,000원",f
99,제주 애월의아침펜션,3.5,456.2km,"165,000원",f
100,제주 조이힐하우스펜션,3.5,462km,예약마감,f
101,제주 애월로즈마리펜션,4.1,458.1km,"37,600원",f
102,제주 글로리아펜션,4.7,459.4km,"60,000원",f
103,제주 제주리조텔,3.7,470.1km,"39,900원",f
104,제주 귀덕온담펜션,5.0,463km,"80,000원",f
105,제주 아몬드하우스펜션,5.0,467.9km,예약마감,f
106,제주 베리굿펜션,3.5,467.3km,"120,000원",f
107,제주 바인스테이펜션,3.5,463km,"119,000원",f
108,"제주 펀빌펜션(오션뷰,곽지해수욕장)",4.9,461.7km,"109,000원",f
109,제주 레아펜션,4.9,468.4km,"170,000원",f
110,제주 군성해안빌리지펜션,4.7,458.5km,"50,000원",f
111,제주 새론별장펜션,3.5,472.7km,예약마감,f
112,제주 애월이문간하우스펜션(19년신축),5.0,459.7km,"189,000원",f
113,제주 농부와돌집펜션,5.0,478.5km,"114,900원",f
114,제주 쉼127키즈펜션협재점,5.0,467.8km,예약마감,f
115,제주 바다와낭만펜션,4.0,456.9km,"60,000원",f
116,제주 코지펜션,4.9,457.1km,"70,000원",f
117,제주 해넘이달독채펜션,3.5,470.7km,예약마감,f
118,제주 아마빌레펜션,4.6,456.9km,"54,000원",f
119,제주 오렌지슈가 펜션,3.0,461km,"45,000원",f
120,제주 휴인애월펜션,5.0,462.1km,"65,000원",f
121,제주 하얀별펜션,4.7,457.9km,"50,000원",f
122,제주 해피하우스MBG펜션,3.0,477.8km,"70,000원",f
123,제주 으뜸원펜션,4.3,469.3km,"67,000원",f
124,제주 그섬에펜션,4.8,460.5km,"100,000원",f
125,제주 제주품에독채펜션,4.7,470.6km,"170,000원",f
126,제주 달스테이펜션,5.0,459.8km,"140,000원",f
127,제주 협재바람아래펜션,4.5,472.4km,예약마감,f
128,제주 바다펜션,4.5,470.6km,"30,000원",f
129,제주 혼디펜션,4.8,458.3km,"80,000원",f
130,제주 좋은씨앗제주펜션,5.0,458.7km,"110,000원",f
131,제주 타임바이어플레이스펜션,3.5,456.9km,예약마감,f
132,제주 뉴팜스빌리지펜션,3.5,462.7km,"159,000원",f
133,제주 돌담이네펜션,3.5,473.1km,예약마감,f
134,제주 협재블리스펜션,4.9,469.2km,"60,000원",f
135,제주 코삿펜션,4.8,457.2km,"150,000원",f
136,제주 마농독채펜션,3.5,462.2km,"120,000원",f
137,제주 바당어부펜션,4.6,자체픽업 가능-469.8km,"69,000원",f
138,제주 소나무한그루펜션,4.4,470.9km,"90,000원",f
139,제주 제주하늬바람펜션,4.6,461.1km,"45,000원",f
140,제주 바당노을펜션,4.5,470.6km,"50,000원",f
141,제주 반디하우스펜션,5.0,476.9km,"70,000원",f
142,제주 제주란펜션,4.8,458.3km,"79,000원",f
143,제주 프랜펜션,4.9,467.4km,"380,000원",f
144,제주 마따니아펜션,4.7,468.5km,"109,000원",f
145,제주 자락펜션,5.0,478.5km,"120,000원",f
146,제주 금산펜션,3.5,463km,"159,500원",f
147,제주 오색귤체험펜션,3.5,477.5km,"50,000원",f
148,제주 바다위에펜션,4.9,456.1km,"63,300원",f
149,제주 나디아펜션,4.7,460.6km,"36,000원",f
150,제주 시땅펜션,4.8,459.1km,"85,000원",f
151,제주 포에마펜션,5.0,468.5km,"87,000원",f
152,제주 씨더비양펜션,3.5,467.9km,"60,000원",f
153,제주 아침하늘민박,2.5,462.6km,"54,000원",f
154,제주 쿠시쿠시하우스펜션,5.0,457.8km,예약마감,f
155,제주 미카사펜션,4.6,457.1km,예약마감,f
156,제주 솔베이지펜션,3.5,460.8km,"167,000원",f
157,제주 클레르드륀펜션,4.8,459.5km,"90,000원",f
158,제주 풍경소리펜션,4.9,465.5km,"60,000원",f
159,제주 파라펜션,3.5,457.1km,예약마감,f
160,제주 끌림토리펜션,3.5,459.7km,예약마감,f
161,제주 제미바릇펜션,3.5,473.6km,"100,000원",f
162,제주 씨앤힐스파펜션,3.5,458.6km,"47,000원",f
163,제주 대성휴양빌리지펜션,3.5,463.9km,"140,000원",f
164,제주 별헤는밤글램핑펜션,3.5,461.4km,"63,200원",f
165,제주 대웅리조트펜션,3.5,457.3km,"64,900원",f
166,제주 예예통나무펜션,3.5,465.3km,예약마감,f
167,제주 애월리조트펜션,5.0,462km,"50,000원",f
168,제주 밀레니엄호텔펜션,4.0,458.3km,"31,700원",f
169,제주 블랑드애월펜션,5.0,459.8km,"250,000원",f
170,제주 안트레펜션,3.5,467.3km,"45,000원",f
171,제주 판포리135펜션,1.0,472.3km,"100,000원",f
172,제주 팜스파풀빌라,5.0,461km,"500,000원",f
173,제주 홈치키즈풀빌라,3.5,475.5km,"300,000원",f
174,제주 이영이영2020판포풀빌라,3.5,472.4km,예약마감,f
175,제주 레드클레이펜션,5.0,461.1km,"49,000원",f
176,제주 웃음과향기가있는집독채펜션(3동),3.5,477.2km,"209,000원",f
177,제주 킹스통나무펜션,4.9,465.4km,"40,000원",f
178,제주 애월퐁낭에염펜션,3.5,464.7km,"150,000원",f
179,제주 보름하우스펜션,5.0,468km,"42,000원",f
180,제주 애월UFO펜션,5.0,456.9km,"50,000원",f
181,제주 뚜기네민박,3.5,456.6km,"70,000원",f
182,제주 라라하우스펜션,3.5,471.2km,예약마감,f
183,제주 스테리나잇펜션,5.0,460.2km,"89,000원",f
184,제주 제주애물들다펜션,3.5,475.9km,"300,000원",f
185,제주 제주애반하다펜션,3.5,475.9km,예약마감,f
186,제주 하루애제주STAY펜션,5.0,475.9km,"310,000원",f
187,제주 소희네하우스펜션(독채펜션),3.5,469.9km,"250,000원",f
188,제주 잠자는바이크독채펜션,5.0,475.8km,"195,500원",f
189,제주 구엄543펜션(바다앞독채),3.5,457.1km,"180,000원",f
190,제주 혜윰펜션,5.0,479.6km,예약마감,f
191,제주 인제주펜션,3.5,468km,"100,000원",f
192,제주 마녀가탄빗자루펜션,4.7,458.9km,"60,000원",f
193,제주 로그맨하우스펜션,4.7,464.3km,"39,000원",f
194,제주 완이(e)-클라쓰펜션,5.0,461.6km,"79,000원",f
195,제주 엘로망펜션,3.5,456.8km,"45,000원",f
196,제주 애월제주별빛펜션,3.5,463.6km,"80,000원",f
197,제주 애월제주사랑펜션,3.5,461.2km,"53,000원",f
198,제주 바다하우스펜션,3.5,459.5km,"50,000원",f
199,제주 꿈펜션,4.7,464.8km,"55,000원",f
200,제주 웨스트독채펜션,4.5,476km,예약마감,f
201,제주 애월바다펜션,4.8,458.9km,"55,000원",f
202,제주 몽마르뜨블루팜펜션,3.5,458.9km,"55,000원",f
203,제주 몽블랑펜션,5.0,458.9km,"55,000원",f
204,제주 엔젤하우스펜션(애견동반),4.8,458.6km,"105,000원",f
205,제주 애월네스트펜션,4.8,463.3km,"59,000원",f
