,name,score,loc,lowest_price,category,loc2
0,군산 H,4.6,"이성당, 철길마을, 근대역사박물관 5분  눌러서 위치 확인 GO-175.7km","40,000원",m,군산
1,군산 링스,4.4,"이성당, 근대역사박물관 인근  눌러서 위치 확인 GO -175.7km","45,000원",m,군산
2,군산 HOTEL CoCo,4.8,시청까지 2분 거리-177.2km,"50,000원",m,군산
3,군산 JNK Classic Hotel(2호점) - Gray,4.8,국가산업단지 차량15분 터미널 차량 5분-177.4km,"50,000원",m,군산
4,군산 지오 호텔(ZIO HOTEL),4.9,군산시청 도보8분/버스터미널 차량5분-177.5km,"50,000원",m,군산
5,군산 JNK Classic Hotel(1호점)-Black,4.8,국가산업단지 차량15분 터미널 차량 5분-177.5km,"50,000원",m,군산
6,군산 호텔 아이콘(ICON),4.4,군산 시청 차량 2분-177.5km,"50,000원",m,군산
7,군산 파라다이스,4.2,군산시청 도보 1분거리  눌러서 위치 확인 GO -177.5km,"35,000원",m,군산
8,군산 호텔 린(HOTEL LIN),4.8,군산 국가산업단지 인근-177.7km,"45,000원",m,군산
9,군산 J,4.7,군산 국가산업단지 인근-177.8km,"35,000원",m,군산
10,군산 짝,4.5,나운동 하이마트 건너편위치!!-178.6km,"30,000원",m,군산
11,군산 호텔 에이엠(HOTEL AM),4.8,군산대학교 차량 5분거리 클릭해서 위치 확인GOGO-178.6km,"50,000원",m,군산
12,군산 HOTEL 첼로,3.3,나운동 위치  눌러서 위치 확인 GO-178.7km,"35,000원",m,군산
13,군산 HOTEL 1945,4.3,군산대학교 인근-178.7km,"45,000원",m,군산
14,군산 호텔 May,4.5,"나운동,국가산업단지 15분거리 눌러서 위치 확인하기-178.8km","35,000원",m,군산
15,군산 JNK Classic Hotel(5호점) - Red+,4.9,국가산업단지 차량10분 터미널 차량10분-178.8km,"50,000원",m,군산
16,군산 스카이,4.6,군산대학교 차로 5분  클릭-178.8km,"30,000원",m,군산
17,군산 JNK Classic Hotel(4호점) - Red,4.9,국가산업단지 차량10분 터미널 차량10분-178.8km,"50,000원",m,군산
18,군산 JNK Classic Tourist Hotel(3호점) - Gold,4.8,국가산업단지 차량10분 터미널 차량10분-178.9km,"55,000원",m,군산
19,군산 풍 드라이브인 무인텔,4.7,선유도 차 15분/새만금 국가산업단지 앞-182.2km,"45,000원",m,군산
20,군산 두바이 무인텔,4.6,경장동 위치  눌러서 위치 확인 GO -177.3km,"45,000원",m,군산
21,군산 호텔 아크로,4.5, 눌러서 위치 확인하기-177.7km,"45,000원",m,군산
22,군산 CHA KAN 호텔,4.7,소룡동 주민센터 인근-177.7km,"40,000원",m,군산
23,군산 JNK Classic Hotel(6호점)-Rose Gold,4.9,국가산업단지 차량10분 터미널 차량10분-178.7km,"50,000원",m,군산
24,군산 HOTEL BOX,4.6,군산 국가산업단지 인근-177.8km,"45,000원",m,군산
25,군산 호텔 엘타워(El Tower),4.8,"군산대 2분, 국가산업단지 차량 10분-178.9km","60,000원",m,군산
26,군산 힐링 무인텔,4.1,군산 시청 인근  눌러서 위치 확인하기-177.4km,"45,000원",m,군산
27,군산 크로바,4.4,군산 나운동 위치  눌러서 위치 확인 GO -178.8km,"30,000원",m,군산
28,군산 킹,4.0,"이성당, 철길마을 5분 내외-175.8km","30,000원",m,군산
29,군산 뉴폭스,4.6,소룡동  눌러서 위치 확인하기-177.7km,"35,000원",m,군산
30,군산 OK 무인텔,4.6,경장삼거리 근처-177.4km,"35,000원",m,군산
31,군산 블루,4.6,군산 버스터미널 인근  눌러서 위치 확인!! -177.5km,"35,000원",m,군산
32,군산 RG,4.7, 눌러서 위치 확인하기-177.8km,"40,000원",m,군산
33,군산 썸,4.5, 눌러서 위치 확인하기-177.3km,"30,000원",m,군산
34,군산 IMT,4.0, 눌러서 위치 확인하기-178.9km,"36,000원",m,군산
35,군산 WIN,4.2,군산 경장동 위치  눌러서 위치 확인 GO -177.2km,"30,000원",m,군산
36,군산 엘리스,4.7,군산자유무역지역-182.4km,"47,000원",m,군산
37,군산 레몬트리,4.7, 눌러서 위치 확인하기-176.9km,"40,000원",m,군산
38,군산 W2,4.4,군산버스터미널 차로 15분  눌러서 위치 확인 GO -178.9km,"34,000원",m,군산
39,군산 CAR 무인호텔,4.7, 눌러서 위치 확인하기-175.7km,"50,000원",m,군산
40,군산 자자 무인텔,4.5, 눌러서 위치 확인하기-177.3km,"40,000원",m,군산
41,군산 하루,4.3, 눌러서 위치 확인하기-182.2km,"45,000원",m,군산
42,군산 L 호텔,4.4, 눌러서 위치 확인하기-178.8km,"35,000원",m,군산
43,군산 섬 호텔,4.5,군산 비응도동 위치  눌러서 위치 확인 GO -183.8km,"45,000원",m,군산
44,군산 프로방스,4.5,"비응항, 군산항 10분거리-182.1km",예약마감,m,군산
45,군산 호텔 위더스(HOTEL WITHUS),4.6,비응항 2분 거리-183.9km,"50,000원",m,군산
46,군산 인트로,4.5,경장동 위치/버스터미널 차량 6분-177.3km,"30,000원",m,군산
47,군산 마리 호텔(MARI HOTEL),4.8,국가산업단지 차량 10분-178.8km,"55,000원",m,군산
48,군산 물빛고을,4.5,군산시청 인근 위치 -177.4km,"35,000원",m,군산
49,군산 테마,4.0,나운사거리 도보 3분  눌러서 위치 확인하기-178.8km,"35,000원",m,군산
50,군산 엘도라도,3.5,눌러서 위치 확인-175.1km,"40,000원",m,군산
51,군산 싸이버,4.6,군산 시청 인근  눌러서 위치 확인하기-177.3km,"35,000원",m,군산
52,군산 호텔 스테이,4.4,나운동 하이마트 인근  눌러서 위치 확인 GO -178.7km,"40,000원",m,군산
53,군산 아리울호텔,4.4,비응항 옆 위치-181.4km,"45,000원",m,군산
54,군산 그린파크,3.5,은파 호수공원 벚꽃길 3분 거리-178.9km,"40,000원",m,군산
55,군산 라시에스타,3.5, 눌러서 위치 확인하기-172.9km,예약마감,m,군산
56,군산 B&B 호텔,3.5,군산시외버스터미널까지 차로 3분거리  위치 클릭-176.5km,예약마감,m,군산
57,군산 칸,4.1,군산대학교 5분 거리-178.6km,"32,000원",m,군산
58,군산 라비치호텔,4.0,유람선터미널 도보 5분-183.8km,"50,000원",m,군산
59,군산 투투,1.0,군산 경장동 위치-177.3km,"25,000원",m,군산
60,군산 뉴문화,4.0,근로복지공단군산지사 도보1분-175.6km,"40,000원",m,군산
61,군산 CA 호텔,5.0,176.1km,"55,000원",m,군산
