,name,score,loc,lowest_price,category,loc2
0,남원 캐슬 드라이브인 무인호텔,4.8,춘향테마파크(3분)  눌러서 위치 확인 GO -242.9km,"45,000원",m,남원/임실/순창/무주/진안/장수
1,남원 퀸즈 드라이브인,4.5,춘향테마파크 내 위치  눌러서 위치 확인 GO-242.4km,"50,000원",m,남원/임실/순창/무주/진안/장수
2,남원 호텔 메이드,4.6,눌러서 위치보기 클릭!-242.4km,"50,000원",m,남원/임실/순창/무주/진안/장수
3,남원 킹 드라이브인 무인호텔,4.8,"춘향테마파크(3분), 광한루(4분)  위치 클릭 -243.3km","50,000원",m,남원/임실/순창/무주/진안/장수
4,남원 호텔 춘향,4.4,남원공용버스터미널 차로 3-242.4km,"50,000원",m,남원/임실/순창/무주/진안/장수
5,남원 초콜릿,4.7,고속터미널(1분)  눌러서 위치 확인 GO -240.6km,"40,000원",m,남원/임실/순창/무주/진안/장수
6,남원 헤라,4.6,남원고속터미널에서 도보 1분  눌러서 위치확인 GO( )-240.6km,"40,000원",m,남원/임실/순창/무주/진안/장수
7,남원 람세스,4.4,남원버스터미널 도보 4분-240.5km,"40,000원",m,남원/임실/순창/무주/진안/장수
8,남원 리버,4.3,춘향테마파크 인근 위치  눌러서 위치 확인하기-242.4km,"45,000원",m,남원/임실/순창/무주/진안/장수
9,남원 홍콩,4.4, 눌러서 위치 확인하기-240.5km,"40,000원",m,남원/임실/순창/무주/진안/장수
10,남원 아모르,3.8,남원고속버스터미널 도보 1분-240.6km,"40,000원",m,남원/임실/순창/무주/진안/장수
11,남원 발리,4.7, 눌러서 위치 확인하기-241.3km,"40,000원",m,남원/임실/순창/무주/진안/장수
12,남원 다빈치,4.5, 눌러서 위치 확인하기-241.4km,"50,000원",m,남원/임실/순창/무주/진안/장수
13,임실 미 무인호텔,4.8,"임실치즈마을, 사선대, 임실역 5분거리-214.9km","50,000원",m,남원/임실/순창/무주/진안/장수
14,무주 리베라,4.6, 눌러서 위치 확인하기-193.6km,"40,000원",m,남원/임실/순창/무주/진안/장수
15,장수 온천호텔,3.5,장수군 번암면 위치-230.4km,"55,000원",m,남원/임실/순창/무주/진안/장수
16,무주 기린,4.0,군청 도보 거리  눌러서 위치 확인하기-183.8km,"45,000원",m,남원/임실/순창/무주/진안/장수
17,순창 맨하탄,3.7,전북 순창읍 위치  눌러서 위치 확인 GO-244.1km,"40,000원",m,남원/임실/순창/무주/진안/장수
18,남원 위너스,4.8,버스터미널까지 도보 거리!  눌러서 위치 확인하기-242.1km,예약마감,m,남원/임실/순창/무주/진안/장수
19,무주 무주무인텔,4.5,무주 버스터미널 인근  눌러서 위치 GO -191.2km,"50,000원",m,남원/임실/순창/무주/진안/장수
20,남원 산리지 호텔,4.5, 눌러서 위치 확인하기-242.3km,"45,000원",m,남원/임실/순창/무주/진안/장수
21,남원 그린피아,4.7,춘향테마파크 5분거리-242.6km,"35,000원",m,남원/임실/순창/무주/진안/장수
22,무주 귀빈산장,4.0,무주 구천동 관광특구숙박단지 근처-198.8km,"50,000원",m,남원/임실/순창/무주/진안/장수
23,임실 리버사이드,3.5,임실군 운암교 인근  눌러서 위치 확인하기-217.1km,"40,000원",m,남원/임실/순창/무주/진안/장수
24,남원 남원 호텔,4.5,구룡계곡 5분 이내-245km,"50,000원",m,남원/임실/순창/무주/진안/장수
25,임실 허니문,3.5,위치 눌러서 보기-217km,"40,000원",m,남원/임실/순창/무주/진안/장수
26,남원 산마루,3.5,위치 눌러서 보기-245.5km,"40,000원",m,남원/임실/순창/무주/진안/장수
27,남원 춘향가,4.6,위치 눌러서 보기-242.8km,"70,000원",m,남원/임실/순창/무주/진안/장수
28,무주 무주리조텔,3.5,무주 스키장 10분 내외-197.9km,예약마감,m,남원/임실/순창/무주/진안/장수
29,남원 삼익,4.7, 눌러서 위치확인 GO( )-242.3km,예약마감,m,남원/임실/순창/무주/진안/장수
30,남원 하얏트,5.0, 눌러서 위치확인 GO( )-240.5km,예약마감,m,남원/임실/순창/무주/진안/장수
31,남원 허브,4.5, 눌러서 위치확인 GO( )-241.3km,예약마감,m,남원/임실/순창/무주/진안/장수
32,임실 오수 에드가,3.5,임실 오수 터미널 도보 3분-226.9km,예약마감,m,남원/임실/순창/무주/진안/장수
33,임실 리베라,3.8,임실군 운암교 인근 -217.1km,예약마감,m,남원/임실/순창/무주/진안/장수
34,남원 홀인원 무인텔,5.0,구룡계곡 8분 거리-243.5km,"40,000원",m,남원/임실/순창/무주/진안/장수
35,임실 하이디,4.7,사선대까지 차로 6분-209.4km,"38,000원",m,남원/임실/순창/무주/진안/장수
36,무주 그린,3.5,전북 무주군 읍내리 위치-183.9km,"40,000원",m,남원/임실/순창/무주/진안/장수
37,순창 그린나래,4.0,위치 눌러서 보기-231.5km,"40,000원",m,남원/임실/순창/무주/진안/장수
38,임실 숲 무인호텔,3.5,임실 관촌면 용산리 위치-214.9km,예약마감,m,남원/임실/순창/무주/진안/장수
39,순창 골드,4.0,순창 군청 5분 거리-243.9km,"40,000원",m,남원/임실/순창/무주/진안/장수
40,남원 산리지 호텔,3.5,춘향테마파크 490m-242.3km,"45,000원",h,남원/임실/순창/무주/진안/장수
41,남원 오헤브데이 호텔,4.6,남원 지리산허브밸리-242.2km,"75,000원",h,남원/임실/순창/무주/진안/장수
42,켄싱턴리조트 지리산 남원,4.2,광한루원 도보 5분 지리산 노고단 38km-242.7km,"99,900원",h,남원/임실/순창/무주/진안/장수
43,무주 나봄리조트,4.5,무주 덕유산 스키장 차량 약 10분-198.8km,"56,160원",h,남원/임실/순창/무주/진안/장수
44,한옥스테이 남원예촌by켄싱턴,4.7,광한루원 광한루원 바로 앞-242.4km,예약마감,h,남원/임실/순창/무주/진안/장수
45,스위트 호텔 남원,4.8,남원시 용담리-242.5km,"137,000원",h,남원/임실/순창/무주/진안/장수
46,밀모 캠핑리조트 빨강치마,4.4,덕유산리조트 15.36km-192km,"51,200원",h,남원/임실/순창/무주/진안/장수
47,일성 무주 콘도&리조트,4.0,무주 설천면-189.6km,"94,000원",h,남원/임실/순창/무주/진안/장수
48,일성 지리산 콘도&리조트,2.7,남원시 지리산-244.8km,"98,000원",h,남원/임실/순창/무주/진안/장수
49,남원 리버 호텔,3.8,춘향테마파크 약 316m-242.4km,"48,000원",h,남원/임실/순창/무주/진안/장수
50,무주 잉카펜션(애견동반객실보유),4.7,193.7km,"89,000원",f,남원/임실/순창/무주/진안/장수
51,무주 호두나무펜션,4.0,자체픽업 가능-197.4km,"80,000원",f,남원/임실/순창/무주/진안/장수
52,무주 여행가방펜션,4.8,자체픽업 가능-193.9km,"100,000원",f,남원/임실/순창/무주/진안/장수
53,무주 덕유산이야기펜션,4.2,202.1km,"70,000원",f,남원/임실/순창/무주/진안/장수
54,무주 무지개펜션,3.5,197.2km,"50,000원",f,남원/임실/순창/무주/진안/장수
55,무주 하늘풍경펜션,3.5,197.6km,"40,000원",f,남원/임실/순창/무주/진안/장수
56,무주 다다펜션,4.7,197.1km,"80,000원",f,남원/임실/순창/무주/진안/장수
57,무주 맨션531펜션,4.6,202.4km,"110,000원",f,남원/임실/순창/무주/진안/장수
58,무주 크레용펜션,4.9,자체픽업 가능-196.8km,"80,000원",f,남원/임실/순창/무주/진안/장수
59,무주 해바라기펜션,5.0,198.9km,"60,000원",f,남원/임실/순창/무주/진안/장수
60,무주 숲펜션,4.3,182.8km,"100,000원",f,남원/임실/순창/무주/진안/장수
61,진안 데미샘계곡펜션,4.7,217.1km,"70,000원",f,남원/임실/순창/무주/진안/장수
62,순창 강천산펜션,2.0,242km,"300,000원",f,남원/임실/순창/무주/진안/장수
63,무주 벧엘펜션,5.0,197.4km,"70,000원",f,남원/임실/순창/무주/진안/장수
64,무주 반디펜션,4.0,195km,"120,000원",f,남원/임실/순창/무주/진안/장수
65,무주 라온펜션,5.0,197.7km,"100,000원",f,남원/임실/순창/무주/진안/장수
66,무주 풍차와시냇물펜션,5.0,188.8km,"80,000원",f,남원/임실/순창/무주/진안/장수
67,무주 네버랜드펜션&카라반&캠핑,4.4,202.6km,"30,000원",f,남원/임실/순창/무주/진안/장수
68,무주 이소콘도펜션,3.9,자체픽업 가능-197.4km,"50,000원",f,남원/임실/순창/무주/진안/장수
69,무주 풀하우스펜션,5.0,196.8km,"60,000원",f,남원/임실/순창/무주/진안/장수
70,무주 전망대펜션,4.7,189.8km,"68,000원",f,남원/임실/순창/무주/진안/장수
71,진안 천상데미펜션,4.7,218.4km,"60,000원",f,남원/임실/순창/무주/진안/장수
72,무주 노블펜션,3.5,197.1km,"50,000원",f,남원/임실/순창/무주/진안/장수
73,무주 장미펜션,4.2,197.2km,"30,000원",f,남원/임실/순창/무주/진안/장수
74,남원 지리산우리네펜션,4.4,자체픽업 가능-246.5km,"50,000원",f,남원/임실/순창/무주/진안/장수
75,무주 아이리스펜션,4.7,자체픽업 가능-197.7km,"50,000원",f,남원/임실/순창/무주/진안/장수
76,무주 파라다이스펜션,4.5,자체픽업 가능-197.8km,"50,000원",f,남원/임실/순창/무주/진안/장수
77,무주 양지뜰펜션,4.7,197.7km,"50,000원",f,남원/임실/순창/무주/진안/장수
78,진안 큰바위펜션,4.7,자체픽업 가능-215km,"70,000원",f,남원/임실/순창/무주/진안/장수
79,장수 오리골펜션,5.0,자체픽업 가능-204.9km,"120,000원",f,남원/임실/순창/무주/진안/장수
80,무주 신세계펜션,3.5,197.2km,"50,000원",f,남원/임실/순창/무주/진안/장수
81,진안 지상낙원펜션,3.5,자체픽업 가능-196.8km,"50,000원",f,남원/임실/순창/무주/진안/장수
82,무주 가자현준네집펜션,3.5,185.3km,"100,000원",f,남원/임실/순창/무주/진안/장수
83,무주 빛고을낙원산장펜션,3.5,198.9km,"40,000원",f,남원/임실/순창/무주/진안/장수
84,무주 그안펜션,5.0,자체픽업 가능-197.5km,"80,000원",f,남원/임실/순창/무주/진안/장수
85,진안 마이산패밀리펜션,5.0,자체픽업 가능-202.9km,"70,000원",f,남원/임실/순창/무주/진안/장수
86,진안 전통흙집광수생각펜션,5.0,193.7km,"80,000원",f,남원/임실/순창/무주/진안/장수
87,남원 순행펜션,3.5,244.8km,"40,000원",f,남원/임실/순창/무주/진안/장수
88,진안 데미샘빌리지펜션,3.5,216.6km,"50,000원",f,남원/임실/순창/무주/진안/장수
