,name,score,loc,lowest_price,category,loc2
0,익산 쇼팰리스 무인텔,4.8,익산버스터미널 차량 2분-180.9km,"40,000원",m,익산
1,익산 더웨이호텔 (THE WAY HOTEL),4.6,익산버스터미널 차량 3분-180.9km,"40,000원",m,익산
2,익산 베리,3.5, 눌러서 위치 확인하기-179.5km,예약마감,m,익산
3,익산 JNK Classic Hotel (2호점),3.5,눌러서 위치보기-180.7km,예약마감,m,익산
4,익산 JNK Classic Hotel (3호점),3.5,눌러서 위치보기-180.8km,예약마감,m,익산
5,익산 호텔 쉴,4.7,터미널 도보 7분 공영주차장 30초-180.9km,예약마감,m,익산
6,익산 예그리나,4.8,등기소사거리 도보3분-180.9km,"50,000원",m,익산
7,익산 JNK Classic Hotel (1호점),4.8,"터미널 도보 2분,익산역 차로 3분-180.8km","50,000원",m,익산
8,익산 HOTEL 174,4.9,익산버스터미널 도보 6분-180.9km,"50,000원",m,익산
9,익산 올리브,4.3,익산고속버스터미널 인근  눌러서 위치 확인 GO -180.8km,"27,000원",m,익산
10,익산 INN,4.4,익산터미널 도보 2분-180.8km,"25,000원",m,익산
11,익산 마리,4.7,눌러서 위치 확인하기-179.5km,"50,000원",m,익산
12,익산 JB 호텔,4.7,"평화동민센터인근, 익산역 부근-180.8km",예약마감,m,익산
13,익산 호텔 링스(HOTEL RINGS),4.7,눌러서 위치확인-180.7km,"35,000원",m,익산
14,익산 올레 무인텔,4.2,버스터미널 4분 거리-180.9km,"35,000원",m,익산
15,익산 자자 호텔,4.5,버스터미널 4분 거리-181km,"35,000원",m,익산
16,익산 쏠 무인텔,4.6,익산버스터미널 인근-180.9km,"30,000원",m,익산
17,익산 초코,4.4,인화동 주민센터 인근눌러서위치확인하기-181km,"30,000원",m,익산
18,익산 메르시,4.6,눌러서 위치 확인-180.7km,"40,000원",m,익산
19,익산 A 무인텔,4.5,익산고속버스터미널 인근-180.7km,"30,000원",m,익산
20,익산 호텔 투데이,4.6,익산역 차로 2분  눌러서 위치 확인하기-179.5km,예약마감,m,익산
21,익산 환타지아,4.5,고속 버스터미널 도보 5분 이내-180.8km,"25,000원",m,익산
22,익산 N파크텔,4.2,익산역 인근  눌러서 위치 확인하기-179.5km,"30,000원",m,익산
23,익산 신라,4.7,익산시 평화동 터미널 부근  위치 클릭-180.7km,"35,000원",m,익산
24,익산 뚜벅텔 모현점,4.1,익산역 도보 10분 거리-179.5km,"35,000원",m,익산
25,익산 갤러리,4.3,익산고속버스터미널 인근-180.9km,예약마감,m,익산
26,익산 신성,4.3,익산 고속 버스 터미널 부근  눌러서 위치 확인 GO-180.8km,"23,000원",m,익산
27,익산 해금 무인텔,3.8,익산고속버스터미널부근  눌러서 위치 확인 GO -180.9km,"23,500원",m,익산
28,익산 비타민,4.4,눌러서 위치 확인하기-181km,"30,000원",m,익산
29,익산 제이텔,4.6,인화사거리 100m 이내  눌러서 위치 확인하기-180.8km,"30,000원",m,익산
30,익산 랜드파크,4.8,송학사거리 인근익산역 부근-179.5km,"30,000원",m,익산
31,익산 호텔익산,4.5,익산역 서광장 인근  눌러서 위치 확인 GO -179.6km,"40,000원",m,익산
32,익산 소풍,4.6,인화동 1가 위치  눌러서 위치 확인 GO -180.8km,"22,000원",m,익산
