,name,score,loc,lowest_price,category,loc2
0,완주 카카오 드라이브인 무인텔,4.5,완주 우체국 인근  눌러서위치확인 GO-183.1km,"40,000원",m,전주 완산구/완주
1,완주 호텔 아리아(HOTEL ARIA),4.9, 눌러서 위치 확인하기-183.5km,"45,000원",m,전주 완산구/완주
2,전주 고사동 YAJA 전주한옥마을점,4.5,"전주 시청입구 사거리 인근,전주영화의거리 도보 2분-193.8km","40,500원",m,전주 완산구/완주
3,전주 다가동 MH HOTEL 객리단길점,4.7,객리단길 내 / 한옥마을 도보 5분-194.2km,"33,000원",m,전주 완산구/완주
4,전주 중화산동 엘도라도,4.3,"막걸리타운 5분거리, 한옥마을 6분거리-194.2km","30,000원",m,전주 완산구/완주
5,완주 힐링,4.9,전주한옥마을에서 차량으로 13분-202.8km,"45,000원",m,전주 완산구/완주
6,완주 파이브 드라이브 무인호텔,4.7,눌러서 위치 확인하기-203.5km,"50,000원",m,전주 완산구/완주
7,완주 Wine,4.9,전주 한옥마을 15분-203.5km,"50,000원",m,전주 완산구/완주
8,완주 보헤미안 드라이브인 무인호텔,4.7, 눌러서 위치 확인하기-203.6km,"50,000원",m,전주 완산구/완주
9,완주 칸,4.6,전주혁신도시 인근눌러서 위치 확인하기-193.3km,"45,000원",m,전주 완산구/완주
10,전주 중앙동 라온 호텔,4.6,전주한옥마을 도보 약 5분-194.5km,"45,000원",m,전주 완산구/완주
11,전주 중화산동 투썸스테이,4.7,야놀자 회원 선정 좋은 숙박 TOP 100 전주 한옥마을(7분) 막걸리골(7분) -194.2km,"45,000원",m,전주 완산구/완주
12,전주 중화산동 루이,4.5,전주 한옥마을 차량 10분거리-194.5km,"40,000원",m,전주 완산구/완주
13,완주 텐프로 드라이브인 무인텔,4.7,삼례버스터미널 차로 2분-183.7km,"40,000원",m,전주 완산구/완주
14,전주 중화산동 LA,4.4,중화산동2가에 위치한 모텔입니다.-194.5km,"30,000원",m,전주 완산구/완주
15,전주 중화산동 투썸호텔,4.8,전주 중화산동 인근-194.4km,"45,000원",m,전주 완산구/완주
16,전주 신시가지 오스카,4.5,전주 신시가지내 위치  눌러서 위치 확인하기-194km,"45,000원",m,전주 완산구/완주
17,전주 중화산동 카마호텔,4.8,전주병원 1분 / 막걸리거리 8분-194.6km,"60,000원",m,전주 완산구/완주
18,완주 그랜드 호텔,4.7,삼례공용버스터미널 인근-183.5km,"40,000원",m,전주 완산구/완주
19,완주 한옥호텔 삼례미술관,4.7,혜택가득 야놀자 추천숙소!-183.4km,"40,000원",m,전주 완산구/완주
20,전주 중화산동 호텔 스타(hotel star),4.5,#2020년 01월 오픈/한옥마을 6분-194.5km,"45,000원",m,전주 완산구/완주
21,전주 서신동 호텔 아지트,4.7,신축 오픈! 한옥마을/전주역/터미널10분-192km,"50,000원",m,전주 완산구/완주
22,전주 중화산동 러빙유,4.4,서신동 막걸리골목 근처-194.5km,"30,000원",m,전주 완산구/완주
23,전주 중화산동 프린스,4.3,한두평공원 2분거리-194.6km,"25,000원",m,전주 완산구/완주
24,완주 거기 무인텔 1,3.8, 눌러서 위치 확인하기-193.4km,"40,000원",m,전주 완산구/완주
25,완주 거기 무인텔 2,4.4,전북 완주군 이서면 위치  위치 클릭 !-193.7km,"40,000원",m,전주 완산구/완주
26,전주 신시가지 호텔 팝,4.4,도청 앞 신시가지 중심가 명품 호텔!-194km,"50,000원",m,전주 완산구/완주
27,완주 J 무인텔,4.6,전주 혁신도시 차량 10분 거리 위치-193.3km,"40,000원",m,전주 완산구/완주
28,전주 신시가지 씨투,4.3,신시가지 내 위치-194km,"40,000원",m,전주 완산구/완주
29,전주 중앙동 한옥호텔 궁,4.7,한옥마을 5분 거리 눌러서 위치 확인하기-194.6km,"43,000원",m,전주 완산구/완주
30,전주 중화산동 로데오,4.4,완산구청 선너머네거리 부근-194.6km,"25,000원",m,전주 완산구/완주
31,완주 에이스,4.0, 눌러서 위치 확인하기-183.4km,"35,000원",m,전주 완산구/완주
32,완주 명품 무인텔,4.9,소양IC 자동차로 5분  눌러서 위치 확인 GO -193km,"50,000원",m,전주 완산구/완주
33,전주 경원동 더 시티호텔,4.8,충경로 사거리 인근-194.1km,"59,000원",m,전주 완산구/완주
34,완주 썬,4.9,완주봉동터미널 차량 2분거리  위치 클릭 -182.1km,"30,000원",m,전주 완산구/완주
35,전주 중화산동 수호천사,4.7,#전주 완산구 중화산동 위치  눌러서 위치 확인 GO-194.5km,"30,000원",m,전주 완산구/완주
36,전주 중화산동 호텔 허브,4.3,#전주 완산구 중화산동 위치  위치 클릭-194.2km,"30,000원",m,전주 완산구/완주
37,완주 이둔호텔,4.8,혁신도시 내 위치  눌러서 위치 확인 GOGO!-191.4km,"66,000원",m,전주 완산구/완주
38,완주 마루 호텔,4.6,혁신도시 내 위치 자세히 보기  클릭  -191.4km,"60,000원",m,전주 완산구/완주
