,name,score,loc,lowest_price,category,loc2
0,부안 라움 드라이브인 호텔,4.9,슬지제빵소 차량 1분/곰소항 차량 2분-220.5km,"50,000원",m,정읍/부안/김제/고창
1,부안 마운틴,4.5,부안시외버스터미널 인근 위치  눌러서 위치 확인 GO -204.4km,"30,000원",m,정읍/부안/김제/고창
2,정읍 M7 드라이브인 무인텔,4.2,정읍역 도보 8분 거리-220.2km,예약마감,m,정읍/부안/김제/고창
3,정읍 메세지,4.5,눌러서 위치 확인-220.3km,"49,000원",m,정읍/부안/김제/고창
4,고창 아리랑 호텔,4.3,고창터미널 차량 4분-236.7km,"50,000원",m,정읍/부안/김제/고창
5,부안 호텔 벨리노(HOTEL BELLINO),4.6,눌러서 위치확인-204.4km,"50,000원",m,정읍/부안/김제/고창
6,김제 위즈 드라이브인,4.7,김제시청 도보 10분 거리  눌러서 위치 확인하기-195.7km,"45,000원",m,정읍/부안/김제/고창
7,부안 모항레저타운,5.0,모항해수욕장 도보 7분-222.8km,"50,000원",m,정읍/부안/김제/고창
8,고창 소나무 무인텔,4.7,고창읍성까지 약 4.6km 거리!  눌러서 위치 확인하기-232.3km,"45,000원",m,정읍/부안/김제/고창
9,정읍 캐슬 무인호텔,4.5,눌러서 위치 확인하기-223.4km,"50,000원",m,정읍/부안/김제/고창
10,정읍 명품무인호텔,4.7,"내장산테마파크, 시청, 터미널, 정읍역-223.3km","50,000원",m,정읍/부안/김제/고창
11,정읍 애플,4.7,정읍역 도보 3분-220.6km,"40,000원",m,정읍/부안/김제/고창
12,정읍 엘리제궁,5.0,정읍시청 차량 3분-221.7km,"35,000원",m,정읍/부안/김제/고창
13,정읍 J 무인텔,4.6,내장산테마파크 차량 5분거리 위치  눌러서 위치 확인 GO-223.6km,"30,000원",m,정읍/부안/김제/고창
14,부안 격포 썸 무인텔,4.6,진서시외버스터미널 인근-220.9km,"50,000원",m,정읍/부안/김제/고창
15,정읍 H 호텔,4.6,"정읍역, 시외버스터미널(10분), 내장산 및 정읍 9경(13분)  위치 클릭 -221.7km","40,000원",m,정읍/부안/김제/고창
16,부안 변산 스페셜,3.6,눌러서 위치 확인-220.9km,예약마감,m,정읍/부안/김제/고창
17,부안 채석강 비치빌,4.6,채석강(1분)  눌러서 위치 확인 GOGO -218.6km,"50,000원",m,정읍/부안/김제/고창
18,부안 격포 채석리조텔오크빌,4.1,"채석강(2분), 해넘이공원(2분), 부안영상테마파크(5분)  위치 클릭-218.9km","40,000원",m,정읍/부안/김제/고창
19,정읍 칸 무인텔,4.6,눌러서 위치확인-223.2km,"40,000원",m,정읍/부안/김제/고창
20,김제 PGA 무인텔,4.6,"스파힐스CC(1분), 버스터미널(12분), 김제역(13분), 시청(11분)  위치 클릭 -192.3km","50,000원",m,정읍/부안/김제/고창
21,김제 큐 드라이브 무인텔,4.5,"시청(5분),  시민운동장(7분)-195.8km","40,000원",m,정읍/부안/김제/고창
22,부안 격포 JAZZ 무인텔&펜션,2.7, 눌러서 위치 확인하기-217.5km,"50,000원",m,정읍/부안/김제/고창
23,정읍 썸 무인텔,4.7,"내장산테마파크,고속버스터미널위치클릭-223.5km","45,000원",m,정읍/부안/김제/고창
24,김제 탐스 드라이브인 무인텔,4.9,"김제 시청(3분), 김제역(10분)  눌러서 위치 확인 GO -194.7km",예약마감,m,정읍/부안/김제/고창
25,김제 안,3.7,"김제 전통시장(1분), 김제터미널(5분), 김제시청(3분)  위치 클릭 -195.4km","35,000원",m,정읍/부안/김제/고창
26,정읍 헤라,4.1,"정읍역, 시외버스터미널(3분), 내장산 및 정읍 9경(13분)   위치 클릭 -221.7km","40,000원",m,정읍/부안/김제/고창
27,부안 피아노,4.4,부안터미널 인근  눌러서 위치 확인 GO-204.2km,예약마감,m,정읍/부안/김제/고창
28,고창 아모르 무인텔,4.7,전북 고창군 고창읍 위치-237.1km,"50,000원",m,정읍/부안/김제/고창
29,부안 황금 드라이브인 무인텔,4.6,"변산반도, 내소사 인접-205.8km","40,000원",m,정읍/부안/김제/고창
30,김제 드라이브인 M 호텔,4.6,이서휴게소 6분 거리  눌러서 위치 확인하기-198.3km,"50,000원",m,정읍/부안/김제/고창
31,고창 호텔 모양성,4.6,고창읍내 위치 보기  클릭 -236.7km,"50,000원",m,정읍/부안/김제/고창
32,정읍 아쿠아,4.2,눌러서 위치 확인-220.2km,"35,000원",m,정읍/부안/김제/고창
33,김제 수,4.5,"터미널(4분), 김제역(4분), 김제시청(8분)  눌러서 위치 확인 GO-194.3km","35,000원",m,정읍/부안/김제/고창
34,정읍 W,4.2,"정읍역, 시외버스터미널(3분), 내장산 및 정읍 9경(13분)   눌러서 위치 확인 GO-220.7km","35,000원",m,정읍/부안/김제/고창
35,정읍 코리아,4.5,정읍버스터미널 도보 1분-220.6km,예약마감,m,정읍/부안/김제/고창
36,김제 한솔,4.6,"시청(5분), 터미널(9분), 김제역(10분), 변산해수욕장(20분), 한옥마을(20분) -195.8km","30,000원",m,정읍/부안/김제/고창
37,김제 찜,4.5,눌러서 위치 확인하기-194.4km,"35,000원",m,정읍/부안/김제/고창
38,김제 스카이,4.2,김제버스터미널 차량 3분-194.4km,"35,000원",m,정읍/부안/김제/고창
39,고창 히든,4.0,전북 고창군 고창읍 위치-237.2km,"45,000원",m,정읍/부안/김제/고창
40,고창 탑,4.4,군청 2분 거리-236.7km,예약마감,m,정읍/부안/김제/고창
41,부안 M 무인텔,4.6,곰소윗길에 위치-220.3km,"40,000원",m,정읍/부안/김제/고창
42,김제 썬,2.2,눌러서 위치확인-195.9km,"30,000원",m,정읍/부안/김제/고창
43,김제 휠라 파크,5.0,농협 하나로마트 인근-198.3km,"30,000원",m,정읍/부안/김제/고창
44,부안 베니키아 채석강 스타힐스 호텔,4.5,위치 눌러서 보기-218.6km,"106,000원",m,정읍/부안/김제/고창
45,부안 명성,3.5,부안시외버스터미널 차량 1분-204.2km,"45,000원",m,정읍/부안/김제/고창
46,고창 대산,1.0,위치 눌러서 보기-248km,"40,000원",m,정읍/부안/김제/고창
47,정읍 시월애,4.6,"원평 공용 버스터미널(2분), 태인 CC(10분), 금산사(15분), 내장산(38분)-205.9km","40,000원",m,정읍/부안/김제/고창
48,고창 로얄,3.5,위치 눌러서 보기-247.9km,"40,000원",m,정읍/부안/김제/고창
49,정읍 소풍,4.8,"터미널(5분), 정읍역(2분)-220.6km","40,000원",m,정읍/부안/김제/고창
50,정읍 짝꿍 드라이브인 무인텔,4.3,눌러서 위치확인-219.4km,예약마감,m,정읍/부안/김제/고창
51,부안 격포 나비 펜션&무인텔,3.5,눌러서 위치확인-217.7km,예약마감,m,정읍/부안/김제/고창
