,name,score,loc,lowest_price,category,loc2
0,광양 라곰 디자인호텔,4.8,광양시청 2분 거리-298.8km,"70,000원",m,광양
1,광양 호텔 늘,3.5,눌러서 위치확인-293.1km,예약마감,m,광양
2,광양 플러스,4.4,광양읍 5일 전통시장 입구(2주차장)-293.1km,"30,000원",m,광양
3,광양 피카소,4.8,LF 아울렛 3분거리에 위치!  눌러서 위치 확인 GO-293.1km,"40,000원",m,광양
4,광양 라온 호텔,5.0,광양 시청 도보 5분-298.3km,"50,000원",m,광양
5,광양 호텔 디바인(HOTEL DIVINE),4.8,광양항 차량 6분-300km,"60,000원",m,광양
6,광양 일번지 무인호텔,4.8,광양항국제여객터미널 인근-300km,"50,000원",m,광양
7,광양 CCK,4.8,LF몰 도보 3분 거리   위치 확인-293.1km,"40,000원",m,광양
8,광양 하루,4.5,LF스퀘어까지 차로 2분 거리! 눌러서 위치 확인 GO-293.2km,"40,000원",m,광양
9,광양 호텔 어반,4.2,LF 아울렛 도보 5분  눌러서 위치 확인 GO-293.3km,"40,000원",m,광양
10,광양 세븐브릭스,4.8,LF 스퀘어 3분 거리  눌러서 위치확인!-293.7km,"50,000원",m,광양
11,광양 별 무인텔,4.6,순천 드라마세트장까지 8분  눌러서 위치 확인 GO-293.1km,"38,000원",m,광양
12,광양 J 무인텔,4.6,LF아울렛까지 2분-293.1km,"30,000원",m,광양
13,광양 마틴,4.5,광양제철소까지 차로 7분  눌러서 위치 확인 GO-296.6km,예약마감,m,광양
14,광양 놀 호텔,4.5,광양시청까지 차로 3분  눌러서 위치 확인 GO-298.8km,"60,000원",m,광양
15,광양 호텔 굿데이,4.8,광양시청까지 도보 7분  눌러서 위치 확인 GO-298.7km,"60,000원",m,광양
16,광양 호텔 자바,4.7,"광양 시청 도보 5분, 맥도날드 도보 3분  눌러서 위치 확인하기-298.5km",예약마감,m,광양
17,광양 리츠 호텔,4.8,중마버스터미널 도보 7분  눌러서 위치 확인하기-298.7km,"55,000원",m,광양
18,광양 알프스,4.4,전남 광양시 중동 위치 눌러서 위치 확인 GO-298.9km,"35,000원",m,광양
19,광양 K,4.0,광양 시청 옆 눌러서 위치 확인 GO-298.5km,예약마감,m,광양
20,광양 코지,4.3,광양 시청까지 차로 3분 이내-298.8km,"35,000원",m,광양
21,광양 S,4.1,중마버스터미널 도보 6분-298.8km,예약마감,m,광양
22,광양 초이스,4.7,광양 제철소 차로 13분-297.3km,"40,000원",m,광양
23,광양 애니텔,4.3,광양 LF 아울렛 도보 10분-293.1km,"35,000원",m,광양
24,광양 귀빈장,3.5,광영시장-296.7km,"30,000원",m,광양
25,광양 호텔 하버브릿지,4.4,이순신대교 먹거리타운 자동차 3분-300km,"50,000원",m,광양
26,광양 벤츠,3.5,광양 LF 아울렛 도보 10분-293.2km,"35,000원",m,광양
27,광양 썸,4.7,광양시청까지 차로 2분-298.8km,예약마감,m,광양
28,광양 바나나 무인호텔,4.2,눌러서 위치 확인 GO!!-293km,"50,000원",m,광양
29,광양 서라벌,5.0,눌러서 위치확인-297.8km,"50,000원",m,광양
30,광양 쉼 무인텔,3.5,덕례리 위치 자세히 보기 클릭! 눌러서 위치 확인 GO-293km,예약마감,m,광양
31,광양 해비치,4.5,광양제철소/광양항 인근-300.1km,"60,000원",m,광양
32,호텔 락희 광양,4.7,광양시청 약 2.31km-300.2km,"83,000원",h,광양
33,광양 해비치호텔,4.7,광양시 포스코 광양제철소 차량 5분-300.1km,"60,000원",h,광양
34,느랭이골 자연리조트,4.7,하동역 6.06km-286.1km,예약마감,h,광양
35,광양 뉴숲속펜션,5.0,285.9km,"100,000원",f,광양
36,광양 뷰펜션산장,5.0,279.4km,"69,000원",f,광양
37,광양 물놀이펜션,3.7,285.8km,"80,000원",f,광양
38,광양 반월산장펜션,4.3,281.1km,"80,000원",f,광양
39,광양 풀수피아펜션,5.0,278.9km,"90,000원",f,광양
40,광양 숲속농원펜션,4.9,285.9km,"80,000원",f,광양
41,광양 섬진강금터펜션,4.5,272.9km,"80,000원",f,광양
42,광양 산달뱅이펜션,5.0,자체픽업 가능-281.3km,"80,000원",f,광양
43,광양 뉴힐링캠프펜션,5.0,280.2km,"80,000원",f,광양
44,광양 사계절이야기펜션,5.0,281.8km,"70,000원",f,광양
45,광양 폴라리스펜션,5.0,280km,예약마감,f,광양
46,광양 미소펜션,5.0,284km,"120,000원",f,광양
47,광양 놀러와펜션,5.0,280.3km,"100,000원",f,광양
48,광양 로뎀펜션,4.6,285.7km,"80,000원",f,광양
49,광양 더자연 펜션,4.5,281.8km,"80,000원",f,광양
50,광양 어치에서좋은집펜션,3.5,281.8km,"100,000원",f,광양
51,광양 하조나라펜션,5.0,281.1km,"100,000원",f,광양
52,광양 필관광하우스펜션,5.0,281.7km,"80,000원",f,광양
