,name,score,loc,lowest_price,category,loc2
0,나주 호텔 코어,4.1,빛가람호수공원 도보 3분-282.2km,"60,000원",m,나주/함평/영광/장성
1,나주 호텔 뷰,4.7,빛가람호수공원 차량 6분-282.6km,"60,000원",m,나주/함평/영광/장성
2,나주 숲 무인호텔,4.8,나주혁신도시 차로 5분 내외 눌러서 위치 확인 GO-282.6km,"50,000원",m,나주/함평/영광/장성
3,나주 브리즈 무인호텔,4.7,나주역 인근 위치 눌러서 위치 확인 GO-283km,"50,000원",m,나주/함평/영광/장성
4,나주 듀플렉스 레지던스 호텔,4.0,빛가람혁신도시 인근-282.3km,"60,000원",m,나주/함평/영광/장성
5,영광 CC 무인텔,4.7, 눌러서 위치확인GO( )-248.4km,"50,000원",m,나주/함평/영광/장성
6,영광 알로하 무인텔,4.6,해안가 바로 앞 위치-253km,"50,000원",m,나주/함평/영광/장성
7,나주 라온팰리스 호텔,4.8,나주혁신도시 인근-282.3km,"65,000원",m,나주/함평/영광/장성
8,나주 마루오호텔,4.9,나주 혁신도시 빛가람 호수공원 위치  눌러서 위치 확인 GO-282.3km,예약마감,m,나주/함평/영광/장성
9,나주 웰컴 비즈니스,4.7,나주시청 앞 위치-283.3km,"47,000원",m,나주/함평/영광/장성
10,나주 윈 무인텔,4.6,나주역 도보 2분-283km,"40,000원",m,나주/함평/영광/장성
11,나주 웨스턴 호텔,4.9,빛가람 호수공원 도보 3분-282.2km,"55,000원",m,나주/함평/영광/장성
12,나주 궁 무인텔,4.5,나주역 도보 1분거리!!  눌러서 위치 확인하기-283.1km,"40,000원",m,나주/함평/영광/장성
13,나주 하이텔,4.2, KT&G 나주지점 맞은편에 위치  눌러서 위치 확인 GO-283km,예약마감,m,나주/함평/영광/장성
14,나주 쇼,3.5, 눌러서 위치 확인하기-283.2km,"50,000원",m,나주/함평/영광/장성
15,나주 M,4.7,영산포 터미널 도보4분이내  눌러서 위치 확인 GO-285.2km,"40,000원",m,나주/함평/영광/장성
16,나주 벌꿀 호텔,4.5,전남 나주시 삼영동 위치  눌러서 위치 확인 GO-284.2km,예약마감,m,나주/함평/영광/장성
17,함평 힐탑,4.5,함평군 해보면 금덕리 금곡교차로 위치  눌러서 위치 확인 GO-265.4km,"35,000원",m,나주/함평/영광/장성
18,나주 LAKE 45 호텔,4.7,나주 혁신도시 빛가람 호수공원 위치  눌러서 위치 확인 GO-282.3km,"60,000원",m,나주/함평/영광/장성
19,나주 그랜드 호텔,4.4,나주 혁신도시 빛가람 호수공원 위치  눌러서 위치 확인 GO-282.3km,"50,000원",m,나주/함평/영광/장성
20,영광 더원 호텔,4.3, 눌러서 위치 확인하기-248.4km,예약마감,m,나주/함평/영광/장성
21,영광 팅커벨 무인호텔,4.8, 눌러서 위치 확인하기-248.3km,"60,000원",m,나주/함평/영광/장성
22,나주 트럼프 무인텔,4.6,나주시청까지 도보로 이동 가능합니다. 눌러서 위치 확인하기-283.3km,예약마감,m,나주/함평/영광/장성
23,나주 S,4.0,동신대 차로 2분이내  눌러서 위치 확인하기-278.9km,"40,000원",m,나주/함평/영광/장성
24,장성 호텔 뉴나포리,3.4,"함동수상레저타운도보1분,상무대차로5분거리-257.7km","30,000원",m,나주/함평/영광/장성
25,나주 호텔 드림,4.9,나주시청까지 차로 10분 거리 눌러서 위치 확인 GO-282.3km,"60,000원",m,나주/함평/영광/장성
26,나주 힐 모텔,3.8,나주 시청 앞 눌러서 위치 확인 GO!-283.2km,"35,000원",m,나주/함평/영광/장성
27,장성 휴,4.4,장성역 1분 거리눌러서 위치 확인하기-250.6km,"35,000원",m,나주/함평/영광/장성
28,영광 청수모텔,4.3,영광 백수해안도로까지 차로 8분거리 눌러서 위치 확인 GO-248.6km,"35,000원",m,나주/함평/영광/장성
29,함평 국제,3.0,무안과 함평 사이-284.9km,예약마감,m,나주/함평/영광/장성
30,나주 명성리버텔,4.5,나주시청까지 차로 5분 거리 눌러서 위치 확인 GO-285.2km,예약마감,m,나주/함평/영광/장성
31,나주 등대,4.8,"나주역 차량 3분거리, 삼영동 위치 눌러서 위치 확인 GO-284.5km","40,000원",m,나주/함평/영광/장성
32,나주 Q,4.3,나주시외버스터미널 인근 눌러서 위치 확인하기-278.9km,"35,000원",m,나주/함평/영광/장성
33,장성 백양관광호텔,3.5,순이농원 도보 6분-238.5km,"85,000원",m,나주/함평/영광/장성
34,장성 J,4.3,gs 편의점 바로 앞-250.6km,"45,000원",m,나주/함평/영광/장성
35,장성 수석행복,5.0,장성역 4분 거리-248.8km,"30,000원",m,나주/함평/영광/장성
36,나주 홀리어스,4.5,농식품공무원교육원 차량 2분-282.2km,"60,000원",m,나주/함평/영광/장성
37,백양관광호텔,3.6,백양사 차량 약 6분거리-238.5km,"75,000원",h,나주/함평/영광/장성
38,나주 듀플렉스 레지던스 호텔,4.7,빛가람 호수공원 도보 5분-282.3km,"65,000원",h,나주/함평/영광/장성
39,나주 씨티호텔,3.5,나주시 빛가람로-283km,예약마감,h,나주/함평/영광/장성
40,나주 빛가람호텔,3.8,나주역 약 600m-283km,"70,000원",h,나주/함평/영광/장성
41,H2O Stay 나주,5.0,284.5km,"49,000원",f,나주/함평/영광/장성
42,나주 서문안펜션,3.5,281.2km,"120,000원",f,나주/함평/영광/장성
