,name,score,loc,lowest_price,category,loc2
0,담양 갤러리 무인텔,4.3,"죽녹원, 메타세콰이어 10분 이내-248.7km","40,000원",m,담양/곡성/화순/구례
1,담양 해피타임 드라이브인,4.5,"죽녹원, 메타세콰이어 10분 이내 눌러서 위치 확인 GO!!-248.7km","40,000원",m,담양/곡성/화순/구례
2,화순 더원 비지니스 호텔,4.9,광주대학교 10분거리!-280.6km,"60,000원",m,담양/곡성/화순/구례
3,화순 온천호텔 타타미(HOTEL TATAMI),4.5,도곡온천단지 내 위치  눌러서 위치 확인하기-280.3km,"30,000원",m,담양/곡성/화순/구례
4,구례 마리 호텔,4.6,지리산 온천랜드 도보 5분-253.3km,"50,000원",m,담양/곡성/화순/구례
5,화순 럭셔리 무인텔,4.7,화순 전남대학교병원 20분거리  눌러서 위치보기-280.4km,"30,000원",m,담양/곡성/화순/구례
6,담양 노라 무인텔,4.7, 눌러서 위치 확인하기-242.7km,"50,000원",m,담양/곡성/화순/구례
7,담양 창평 그린,4.3,창평 IC에서 나오셔서 좌회전하여 50m 오시면 보이십니다  눌러서 위치 확인 GO-258.7km,"40,000원",m,담양/곡성/화순/구례
8,담양 굿비즈니스 호텔,4.5, 눌러서 위치 확인하기-264.6km,"40,000원",m,담양/곡성/화순/구례
9,구례 그랜드호텔,5.0, 눌러서 위치 확인하기-253.1km,"50,000원",m,담양/곡성/화순/구례
10,화순 킹콩 스위텔,4.3,화순 중봉산 입구 도보 3분거리 눌러서 위치 확인 GO-280.2km,"30,000원",m,담양/곡성/화순/구례
11,담양 언노운호텔(HOTEL UNKNOWN),4.7,"담양 죽녹원 약 1KM, 도보 15분 차량 5분거리 눌러서 위치 확인 GO-248.6km","49,000원",m,담양/곡성/화순/구례
12,곡성 은하수 드라이브인,4.5,전남 곡성군 오산면 위치 눌러서 위치 확인하기-256.3km,"35,000원",m,담양/곡성/화순/구례
13,담양 힐링,4.5,눌러서 위치확인하기 GOGO!-249.8km,"40,000원",m,담양/곡성/화순/구례
14,담양 소아르 호텔,4.7,"메타세콰이어 바로 옆, 죽녹원 5분 거리-248.5km","108,000원",m,담양/곡성/화순/구례
15,화순 설레임 드라이브인 무인텔,4.6,화순도곡온천관광단지 차량 2분-280.2km,"40,000원",m,담양/곡성/화순/구례
16,곡성 에이스 무인텔,5.0,섬진강변 바로 앞 위치-265km,"50,000원",m,담양/곡성/화순/구례
17,담양 성림,4.0,담양공용터미널 도보 3분  눌러서 위치 확인 GO-249km,"40,000원",m,담양/곡성/화순/구례
18,화순 밀,4.4,화순도곡온천관광단지 차량 약 2분 -280.8km,예약마감,m,담양/곡성/화순/구례
