,name,score,loc,lowest_price,category,loc2
0,목포 호텔 청담,4.8,목포버스터미널 도보 10분-308.8km,"50,000원",m,목포/무안/영암/신안
1,목포 나인 무인호텔,4.7,목포버스터미널 도보 14분-308.9km,"35,000원",m,목포/무안/영암/신안
2,목포 호텔 리움,4.7,평화광장 도보 7분-309.7km,"40,000원",m,목포/무안/영암/신안
3,목포 뉴에버그린 호텔,4.8,눌러서 위치 확인하기-309.7km,"40,000원",m,목포/무안/영암/신안
4,목포 호텔 메이(MEI),4.8,평화광장까지 도보 8분-309.7km,"40,000원",m,목포/무안/영암/신안
5,목포 호텔 보보스,4.6,목포 평화광장 인근 눌러서 위치 확인하기!-309.7km,"40,000원",m,목포/무안/영암/신안
6,목포 호텔 W,4.6,평화광장 도보 7분-309.7km,"40,000원",m,목포/무안/영암/신안
7,목포 더하루 (평화광장),4.7,평화광장 바로 앞-310km,"40,000원",m,목포/무안/영암/신안
8,목포 VIP 호텔,4.7,눌러서 위치 확인-310.1km,"40,000원",m,목포/무안/영암/신안
9,목포 호텔 몬다비,4.5,눌러서 위치 확인-311.7km,"60,000원",m,목포/무안/영암/신안
10,목포 MU,4.4,전남 목포 옥암동 위치  눌러서 위치 확인하기-309km,"35,000원",m,목포/무안/영암/신안
11,목포 호텔 하루,4.6,눌러서 위치 확인-309.4km,"35,000원",m,목포/무안/영암/신안
12,목포 시티 호텔,4.7,평화광장 차량 3분-309.5km,"40,000원",m,목포/무안/영암/신안
13,목포 명품 무인호텔,4.8,목포 롯데시네마 인근 위치-309.6km,"50,000원",m,목포/무안/영암/신안
14,목포 S,4.5,눌러서 위치 확인하기-309.7km,"35,000원",m,목포/무안/영암/신안
15,목포 일번지 무인호텔,4.7,평화광장 도보 9분-309.8km,"40,000원",m,목포/무안/영암/신안
16,목포 호텔 가봄,4.9,평화광장 인근-309.6km,"60,000원",m,목포/무안/영암/신안
17,목포 YAM 목포하당점,4.4,옥암근린공원 도보 5분-309km,"35,000원",m,목포/무안/영암/신안
18,목포 시월애,4.6,눌러서 위치 확인 GO-309.7km,"40,000원",m,목포/무안/영암/신안
19,목포 썸 무인호텔,4.6,눌러서 위치확인-315.7km,"50,000원",m,목포/무안/영암/신안
20,목포 해비치,4.5,평화광장 3분 거리 눌러서 위치 확인 GO!-309.5km,"30,000원",m,목포/무안/영암/신안
21,목포 호텔 루쏘,4.7,평화광장 차량 5분-309.1km,"35,000원",m,목포/무안/영암/신안
22,목포 호텔 카이저,4.9,평화광장 도보5분 위치눌러서 위치 확인-309.5km,"45,000원",m,목포/무안/영암/신안
23,목포 호텔 스테이,4.7,평화광장 도보 1분-309.7km,"45,000원",m,목포/무안/영암/신안
24,목포 호텔 라임(Hotel Lime),4.8,평화광장 차량 6분-309.3km,"45,000원",m,목포/무안/영암/신안
25,목포 윈저로얄,4.3,평화광장에 인접한 위치! 눌러서 위치 확인 GO-310.1km,"30,000원",m,목포/무안/영암/신안
26,영암 풀 무인호텔,4.5,평화광장 차량 13분-310.8km,"50,000원",m,목포/무안/영암/신안
27,목포 리젠트,4.1,목포항 도보 7분 거리-310.3km,"50,000원",m,목포/무안/영암/신안
28,목포 무인호텔,4.7,버스터미널까지 5분 거리-308.9km,"50,000원",m,목포/무안/영암/신안
29,목포 궁 무인호텔,4.3,목포케이블카 차량 8분-315.6km,"50,000원",m,목포/무안/영암/신안
30,목포 금탑,3.6,롯데마트에서 도보5분  눌러서 위치 확인 GO-309.7km,"30,000원",m,목포/무안/영암/신안
31,목포 세븐7,4.6,눌러서 위치 확인-308.8km,"30,000원",m,목포/무안/영암/신안
32,목포 엠보스,4.6,눌러서 위치 확인하기-309.3km,"30,000원",m,목포/무안/영암/신안
33,목포 샤,4.4,평화광장 갓바위공원 근처 숙소-310.1km,"30,000원",m,목포/무안/영암/신안
34,목포 몰디브,4.3,목포 평화광장 2km 이내-309.1km,"35,000원",m,목포/무안/영암/신안
35,목포 빅토리아,4.1,눌러서 위치 확인-309.5km,"31,500원",m,목포/무안/영암/신안
36,목포 호텔 유달,4.5,눌러서 위치 확인하기-309.4km,"35,000원",m,목포/무안/영암/신안
37,목포 스카이,4.5,장미의거리 눌러서 위치 확인!-309.2km,"30,000원",m,목포/무안/영암/신안
38,목포 웰,4.7,눌러서 위치 확인-308.9km,"40,000원",m,목포/무안/영암/신안
39,목포 호텔 디오션,4.9,목포케이블카 차량 10분-315.6km,"50,000원",m,목포/무안/영암/신안
40,무안 남악 무인호텔,3.5,눌러서 위치 확인하기 -308.4km,예약마감,m,목포/무안/영암/신안
41,무안 남악 오늘호텔,4.7,전라남도청 근처에 위치한 업체  눌러서 위치 확인 GO-307.7km,예약마감,m,목포/무안/영암/신안
42,무안 호텔 더케이,4.7,눌러서 위치 확인-287.9km,"55,000원",m,목포/무안/영암/신안
43,무안 남악 킹 무인텔,4.6,눌러서 위치 확인하기-307.2km,"50,000원",m,목포/무안/영암/신안
44,무안 뉴 드라이브인 호텔,4.8,"무안군, 목포대학교, 무안CC, 무안크린밸리, 무안스포츠센터, 무안군청 인근 눌러서 위치-296.1km","45,000원",m,목포/무안/영암/신안
45,목포 호텔 에코,4.7,눌러서 위치 확인하기-308.8km,"35,000원",m,목포/무안/영암/신안
46,무안 짝 무인텔,4.7,무안버스터미널 도보 10분거리!! 눌러서 위치 확인-288.5km,"45,000원",m,목포/무안/영암/신안
47,목포 째즈호텔,4.8,눌러서 위치 확인하기-309.5km,"40,000원",m,목포/무안/영암/신안
