,name,score,loc,lowest_price,category,loc2
0,순천 호텔 루이,4.7,"조례동 먹자골목 위치, 홈플러스 바로앞-293.1km","50,000원",m,순천
1,순천 아이비,4.4,순천 홈플러스 조례사거리 근접-293.3km,"45,000원",m,순천
2,순천 YAJA 순천조례점,4.7,순천 드라마세트장 차량 6분-293.7km,"40,000원",m,순천
3,순천 리무진,4.7,순천역까지 4분 거리!-293.7km,"40,000원",m,순천
4,순천 샤인호텔,4.6,순천만 국제 정원 박람회 7분거리 !! 눌러서 위치 확인하기-293.7km,"60,000원",m,순천
5,순천 자 무인텔,4.3,순천시청까지 차량 3분거리 눌러서 위치 확인 GO-293.8km,"35,000원",m,순천
6,순천 칸,4.6,드라마세트장 차로 5분-293.9km,"30,000원",m,순천
7,순천 호텔 69,4.6,연향 중심상가 내 위치-293.9km,"50,000원",m,순천
8,순천 호텔 써드,4.6,순천만국가정원 차량 9분-293.9km,"30,000원",m,순천
9,순천 카프리,4.3,순천 조례사거리 도보 3분 위치 확인 GO-293.9km,"30,000원",m,순천
10,순천 YAM 순천 연향점,4.7,"연향동 중심가, 패션거리 도보2분-293.9km","39,000원",m,순천
11,순천 나무늘보 호텔,4.5,"연향동 중심상가 위치, 여행,출장 최적지-293.9km","40,000원",m,순천
12,순천 HOTEL 여기어때 조례사거리점,4.7,연향중심상가 위치 순천만국가정원 차량8분-293.9km,"40,000원",m,순천
13,순천 호텔 TT,4.7,"연향동 중심가 위치, 순천만 정원 박람회 차량 8분  눌러서 위치 확인하기-293.9km","40,000원",m,순천
14,순천 앙띠브,4.6,연향동 중심상가 위치(위치 확인)-293.9km,"35,000원",m,순천
15,순천 호텔 프라자,4.8,순천 연향상가 중심 패션거리 내 위치-294km,"44,000원",m,순천
16,순천 테라칸,4.7,연향동 중심상가 위치 / 순천만 정원 박람회 10분거리_위치 확인GO!-294km,"35,000원",m,순천
17,순천 사파이어 호텔,4.9,연향동 시내 위치-294km,"40,000원",m,순천
18,순천 S 무인호텔,4.8,"순천역 도보 4분, 버스터미널 차로 3분  눌러서 위치 확인 GO-294.1km","40,000원",m,순천
19,순천 젠틀맨 무인텔,4.7,순천역도보5분거리 눌러서 위치 확인하기-294.1km,"40,000원",m,순천
20,순천 호텔 디바인(HOTEL DIVINE),4.6,순천역 바로앞!! 도보 1분거리-294.2km,"65,000원",m,순천
21,순천 노블 무인호텔,4.8,"순천역도보3분거리,순천청춘창고도보2분거리-294.3km","45,000원",m,순천
22,순천 호텔 본(HOTEL BON),4.7,순천역 도보 5분거리-294.3km,"40,000원",m,순천
23,순천 호텔 THE B,4.6,순천역 & 버스터미널 차로 3분거리 & 국가정원박람회 5분거리  눌러서 위치 확인 GO-294.5km,"35,000원",m,순천
24,순천 루벤스,4.7,"국가정원 차 4분, 순천역 차 5분-295.8km","40,000원",m,순천
25,순천 다빈치 호텔,4.9,팔마체육관까지 도보 3분  눌러서 위치 확인하기!-295.9km,"60,000원",m,순천
26,순천 데일리 무인호텔,4.7,순천만정원까지 차로 2분거리 눌러서 위치 확인하기-295.9km,"45,000원",m,순천
27,순천 소풍,4.8,신대지구 5분 거리 눌러서 위치 확인 GOGO! -300.3km,"45,000원",m,순천
28,순천 호텔 V7,4.7,조례호수공원까지 도보 10분클릭해서 위치 바로 위치확인!!-293.1km,"40,000원",m,순천
29,순천 호텔 가든베이 (HOTEL GARDEN BAY),4.6,순천역에서 가장 가까운 숙소!! 눌러서 위치확인GO( )-294.6km,"40,000원",m,순천
30,순천 호텔 리오,4.9,순천만국가정원 정문까지 도보 3분  눌러서 위치확인 GO( )-296km,"60,000원",m,순천
31,순천 필,4.4,순천만국가정원까지 차로 10분 거리 눌러서 위치 확인 GOGO-293.9km,"30,000원",m,순천
32,순천 로미오,4.5,순천만 국가정원 여행 최적의 위치 클릭해서 위치확인GOGO!-295.1km,"35,000원",m,순천
33,순천 스카이,4.6,순천역 차로 5분 눌러서 위치 확인하기-293.1km,"35,000원",m,순천
34,순천 애니호텔,4.7,순천만국가정원 정문까지 도보 5분-295.9km,"50,000원",m,순천
35,순천 E,4.5,순천 연향 상가 중심 눌러서 위치확인GO( )-294km,"28,000원",m,순천
36,순천 줄리엣,4.7,순천역 차량 2분거리!!  클릭해서 위치확인 gogo!-295.1km,"35,000원",m,순천
37,순천 벨라지오,4.3,순천역 차로 2분!-295km,"35,000원",m,순천
38,순천 리멤버,4.6,전남 순천 조례동 위치-293.9km,"30,000원",m,순천
39,순천 노블레스,4.7,드라마세트장 차로 5분 눌러서 위치 확인 GO!!-293.8km,"40,000원",m,순천
40,순천 샵,4.4,조곡동 청춘창고 바로 앞-294.2km,"30,000원",m,순천
41,순천 G7 무인텔,4.5,순천 신대지구 중심가 위치  클릭하여 위치확인 GOGO!-296.5km,"45,000원",m,순천
42,순천 에쿠스 호텔,4.2,"조례동 먹자골목 위치, 홈플러스 바로앞-293.1km","40,000원",m,순천
43,순천 파스텔,4.4,클릭해서 위치 확인GOGO-293.9km,"30,000원",m,순천
44,순천 9to9,4.5,순천역까지 차로 3분-295km,"30,000원",m,순천
45,순천 발리,4.8,전남 순천 조곡동 위치-294.3km,"35,000원",m,순천
46,순천 사모아,4.8,전남 순천 장천동 위치  눌러서 위치 확인하기-293.8km,"40,000원",m,순천
47,순천 아비숑,4.6,#순천터미널까지 3분 / 순천시청1분거리-293.8km,"30,000원",m,순천
48,순천 정원 무인텔,4.2,"순천역, 버스터미널까지 차량으로 약 4분-294.5km","40,000원",m,순천
49,순천 WE,4.9,순천만 국가정원까지 차량 9분-296.2km,예약마감,m,순천
50,순천 썬,2.8,전라남도 순천시 장천동에 위치 눌러서 위치 확인 GO-293.9km,"35,000원",m,순천
51,순천 비타민,3.4,전남순천 풍덕동위치 눌러서 위치확인하기-294.1km,"17,000원",m,순천
52,순천 하얏트,4.4,순천 종합 버스터미널 차량 10분거리 눌러서 위치 확인 GO-290.9km,"40,000원",m,순천
53,순천 탑,3.9,낙안읍성 민속촌 차로 10분 눌러서 위치 확인하기-303.7km,"30,000원",m,순천
54,순천 브라운,3.5,순천시 풍덕동 인근 눌러서 위치 확인하기!!-294.1km,예약마감,m,순천
55,순천 OK,3.8,순천 조례동 홈플러스 도보3분거리(클릭)-293.1km,"40,000원",m,순천
56,순천 오페라,4.3, 눌러서 위치 확인하기-293km,"35,000원",m,순천
57,순천 어게인,3.5,전남 순천 조례동 위치  눌러서 위치 확인하기-293.8km,"40,000원",m,순천
58,순천 몬타나,3.5,"순천아랫시장 사거리 위치, 순천 고속버스터미널과 역전에서 도보 5분-294.2km",예약마감,m,순천
59,순천 준,3.5,승주 IC에서 차량 3분거리-284.7km,예약마감,m,순천
60,순천 코코,3.5,순천역/버스터미널 차로 5분  클릭하여 바로 위치 확인-294.5km,"45,000원",m,순천
61,순천 엠버서더 호텔,4.0,순천만정원 근방-296.6km,"49,000원",m,순천
62,순천 팔마,4.0,순천역까지 도보 4분-294.3km,"26,000원",m,순천
63,순천 써니,3.0,팔마체육관 주변-295.9km,"40,000원",m,순천
64,순천 잉글랜드,3.5,순천시 재래시장 바로앞 위치 클릭해서 위치확인 GOGO!-292.7km,예약마감,m,순천
65,순천 HOTEL GITE(호텔 지뜨),3.5,순천만 국가정원까지 차량 3분-296km,예약마감,m,순천
66,순천 호텔 캐슬,5.0,버스터미널 3분 거리-294.1km,"45,000원",m,순천
67,순천 제이,3.5,눌러서 위치 확인-294.5km,"35,000원",m,순천
68,순천 젠,3.5,순천 드라마세트장 차로 6분 거리-294km,"40,000원",m,순천
69,순천 코자자,4.0,순천역 도보 3분  눌러서 위치 확인하기-294.4km,예약마감,m,순천
70,순천 호텔 라움(HOTEL RAUM),4.9,"순천역 3분 내외,이마트 홈플러스 바로앞-295km","79,000원",m,순천
71,순천 디바인호텔,4.6,순천역 차량 1분-294.2km,"65,000원",h,순천
72,순천 베네치아 호텔,4.6,순천시 순천만 정원 3km-296km,"85,000원",h,순천
73,순천 노블레스 호텔,3.6,순천시 조례동-293.8km,"35,000원",h,순천
74,순천 호텔 라움,4.8,순천역 도보 10분-295km,"79,000원",h,순천
75,순천 호텔지뜨,4.7,순천시 팔마2길-296km,"66,000원",h,순천
76,호텔 어나더 홈,5.0,순천역 차량 10분-293.8km,예약마감,h,순천
77,순천 호텔 본,4.6,순천역 도보 5분-294.3km,"50,000원",h,순천
78,에코그라드 호텔 순천,4.3,조례 사거리 도보 1분-293.8km,"100,000원",h,순천
79,더베이호텔앤풀빌라,4.8,순천 순천만국가정원 1.5km-298.8km,"69,000원",h,순천
80,순천 아이엠 호텔,4.8,순천역 도보 3분-294.4km,"53,000원",h,순천
81,순천 순천만들마루펜션(단체객실),3.9,300.8km,"49,000원",f,순천
82,순천 라온하우스애견펜션,4.8,자체픽업 가능-291.5km,"170,000원",f,순천
83,순천 순천만로맨스펜션,4.5,299.5km,"50,000원",f,순천
84,순천 순천만풀리조트,5.0,295.4km,"150,000원",f,순천
85,순천 순천만스파빌펜션,4.4,자체픽업 가능-299.4km,"85,000원",f,순천
86,순천 순천만어린왕자펜션,4.9,자체픽업 가능-300.4km,"65,000원",f,순천
87,순천 도요새펜션,3.5,300.6km,"60,000원",f,순천
88,순천 순천만에코빌리지펜션(다동),3.5,300.9km,예약마감,f,순천
89,순천 순천만에코빌리지2펜션,3.5,300.9km,예약마감,f,순천
90,순천 쌍희재펜션,4.5,280.1km,"130,000원",f,순천
91,순천 명가한옥펜션,3.5,296.3km,"350,000원",f,순천
92,순천 순천만여행펜션,4.1,300.3km,"50,000원",f,순천
93,순천 순천만하루애펜션,4.0,자체픽업 가능-299km,"60,000원",f,순천
94,순천 샤인호텔,4.5,293.7km,"60,000원",f,순천
95,순천 토마토빌리지펜션,4.0,295.4km,"50,000원",f,순천
96,순천 베네치아호텔,4.7,자체픽업 가능-296km,"74,800원",f,순천
97,순천 달벗한옥펜션,4.3,280km,"150,000원",f,순천
98,순천 순천만뜰펜션,3.5,299km,"160,000원",f,순천
99,순천 순천만숲펜션,4.8,299.8km,"45,000원",f,순천
100,순천 최가네한옥펜션,4.0,296.5km,"50,000원",f,순천
101,순천 리버파크호스텔,5.0,277.1km,"180,000원",f,순천
102,순천 순천만황토한옥샘터펜션,3.5,300.8km,"60,000원",f,순천
103,순천 순천만민속한옥펜션,5.0,자체픽업 가능-300.5km,"70,000원",f,순천
104,순천 순천만갈대밭사랑채펜션,5.0,298.4km,"65,000원",f,순천
105,순천 순천만바람의언덕펜션,3.5,300.2km,"70,000원",f,순천
106,순천 순천만갈대밭펜션,3.7,300.8km,"60,000원",f,순천
107,순천 순천만뉴빌리지펜션,4.8,299.6km,"60,000원",f,순천
108,순천 낙안민박배나무집펜션,4.0,299.8km,"80,000원",f,순천
109,순천 순천만생태펜션,4.7,자체픽업 가능-300.7km,"60,000원",f,순천
110,순천 순천만힐링캠프펜션,5.0,300.5km,"70,000원",f,순천
111,순천 순천만가나펜션,4.6,300.8km,"80,000원",f,순천
112,순천 순천만S호텔,4.6,296km,"52,500원",f,순천
113,순천 행복한하루펜션,4.8,자체픽업 가능-300.4km,"55,000원",f,순천
114,순천 여행스케치펜션,4.9,300.7km,"58,000원",f,순천
115,순천 순천만강변펜션,3.0,300.2km,"55,000원",f,순천
116,순천 순천만32번가펜션,4.8,299km,"50,000원",f,순천
117,순천 더베이호텔앤풀빌라,3.5,298.7km,"64,000원",f,순천
118,순천 행복한한옥펜션,5.0,296.4km,"350,000원",f,순천
119,"순천 로얄맨션펜션(독채,리뉴얼)",3.5,293.3km,예약마감,f,순천
120,순천 라비스타펜션,5.0,299.2km,"50,000원",f,순천
121,순천 숨키즈펜션,5.0,299.6km,"53,100원",f,순천
122,순천 할슈타트펜션﻿,4.0,자체픽업 가능-293.2km,"80,000원",f,순천
123,순천 순천만전망존펜션,3.5,304.5km,"120,000원",f,순천
124,순천 마운틴빌리지펜션,4.7,자체픽업 가능-285.2km,"72,000원",f,순천
125,순천 갈대이야기펜션,3.5,자체픽업 가능-299.1km,"60,000원",f,순천
126,순천 한옥정원하우스펜션,3.5,296.5km,"300,000원",f,순천
127,순천 더스카이풀빌라펜션,4.8,300.9km,"60,000원",f,순천
128,순천 JNJ빌리지펜션,4.5,300.6km,"90,000원",f,순천
129,순천 불비당한옥펜션,3.5,280.1km,"250,000원",f,순천
130,순천 순천만예랑펜션,3.8,301.7km,"90,000원",f,순천
131,순천 순천만갈대숲펜션,4.7,자체픽업 가능-300.3km,"50,000원",f,순천
132,순천 순천만대대펜션,3.0,299.6km,"50,000원",f,순천
133,순천 비송펜션,5.0,296.3km,"70,000원",f,순천
134,순천 낙안읍성민박해밀펜션,3.3,296.5km,"60,000원",f,순천
135,순천 사계절해오름펜션,3.8,296.5km,"60,000원",f,순천
136,순천 순천만나폴리펜션,5.0,305.4km,"60,000원",f,순천
137,순천 뜰애펜션,4.8,300.4km,"60,000원",f,순천
138,순천 달빛사랑한옥펜션,3.0,296.5km,"60,000원",f,순천
139,순천 순천만포시즌펜션,4.7,자체픽업 가능-300.3km,"45,000원",f,순천
140,순천 순천만정문펜션,4.2,300.9km,"80,000원",f,순천
141,순천 순천만놀러와펜션,4.6,300.7km,"80,000원",f,순천
142,순천 더소풍펜션,4.6,301.1km,"60,000원",f,순천
143,순천 솔향기펜션,5.0,자체픽업 가능-299.6km,"50,000원",f,순천
144,순천 힐링펜션,4.9,300.4km,"60,000원",f,순천
145,순천 배나무집 한옥스테이,5.0,이곡마을 입구-299.8km,"80,000원",g,순천
146,순천 정원하우스 한옥스테이,5.0,낙안읍성-296.6km,"300,000원",g,순천
147,순천역 게스트하우스,4.8,순천역 근처-294.5km,"23,000원",g,순천
148,순천 24게스트하우스 인호텔,4.8,순천역 인근 위치-294.4km,예약마감,g,순천
149,순천 게스트하우스 느림,4.7,순천역 근처-294.2km,"50,000원",g,순천
150, 순천 길스테이 게스트하우스,3.5,순천버스터미널 -293.9km,"45,000원",g,순천
151,순천 도란도란 게스트하우스,4.7,순천역에서 도보 5분거리-294.5km,예약마감,g,순천
152,순천 아트앤스테이 호스텔,3.5,순천역-294.5km,"65,000원",g,순천
153,순천 바구니 호스텔,4.9,순천역 5분-294.3km,"700,000원",g,순천
154,순천 캐슬 호스텔,3.5,294.1km,"45,000원",g,순천
155,순천 사계절해오름 한옥스테이,4.5,낙안읍성-296.3km,"60,000원",g,순천
156,순천 도요새 한옥스테이,3.5,순천만습지-300.6km,"60,000원",g,순천
157,순천 그로브 독채하우스,3.5,순천역 인근-293.4km,예약마감,g,순천
158,순천 현우당 한옥스테이,3.0,순천만 정문 입구-300.8km,"60,000원",g,순천
159,순천 현우각 한옥스테이,4.0,순천만 정문 입구-300.8km,"60,000원",g,순천
160,순천 예랑 한옥스테이,3.5,순천만생태공원 5분거리-301.7km,"90,000원",g,순천
161,순천 쉼게스트하우스,3.5,"순천역 도보 3분 , 터미널 도보 15분-294.3km","50,000원",g,순천
162,순천 해룡성고택,3.5,순천만 5분거리-297.2km,"70,000원",g,순천
163,순천 오가네 한옥스테이,3.5,낙안읍성 도보2분-296.4km,"100,000원",g,순천
164,순천 최가네한옥스테이,3.5,낙안읍성 도보2분-296.5km,"50,000원",g,순천
