,name,score,loc,lowest_price,category,loc2
0,여수 K-boutique 호텔,4.7,"전기차충전가능, 롯데마트여천점 도보 2분-315.2km","60,000원",m,여수
1,여수 웨스트인 호텔,4.7,여수 엑스포 / 오동도 차량 10분-315.3km,"70,000원",m,여수
2,여수 신라 e-stay,4.6,거북선공원1분 낭만포차10분 전기차충전소-316.8km,"50,000원",m,여수
3,여수 YAM 여수학동점,4.7,여수 낭만포차 10km-317.3km,"50,000원",m,여수
4,여수 YAJA 여수 학동점,4.9,낭만포차 차로 15분거리 * 전객실 넷플릭스 이용가능 *-317.5km,"40,000원",m,여수
5,여수 호텔 더클래식,4.5,여수시청앞위치! 도보3분 눌러서위치확인-317.6km,"40,000원",m,여수
6,여수 1번가 호텔(1st),4.5,낭만포차8분 케이블카10분-319km,"50,000원",m,여수
7,여수 호텔 엘크레인(L CRANE),4.7,"낭만포차 차량 8분, 터미널 차량 5분-319km","50,000원",m,여수
8,여수 호텔 수(SOO),4.5,낭만포차 도보 3분-321.2km,"70,000원",m,여수
9,여수 띠아모,4.5,낭만포차 차량 5분거리 위치-321.4km,"40,000원",m,여수
10,여수 쉘스톤,4.4,"낭만포차,케이블카, 오동도 차량5~10분-321.4km","45,000원",m,여수
11,여수 호텔 자바(ZAVA),4.5,케이블카에서 도보거리! 남산공원 인근-321.5km,"45,000원",m,여수
12,여수 호텔 JJ,4.6,돌산도 무슬목해변 인근-327.9km,"45,000원",m,여수
13,여수 라스베가스,4.6,낭만포차/여수밤바다 도보 10분-320.7km,"30,000원",m,여수
14,여수 MJ 관광호텔,4.8,"#오동도 5분, #케이블카 5분 눌러서-321km","55,000원",m,여수
15,여수 씨에프,4.5,낭만포차 차량 4분 거리-321.4km,"30,000원",m,여수
16,여수 썸 무인텔,4.2,"케이블카 도보거리, 낭만포차 차량 5분-321.5km","36,000원",m,여수
17,여수 마이다스,4.0,낭만포차 차로 5분-321.5km,"35,000원",m,여수
18,여수 호텔 벨라지오,4.0,호텔 뒷편 먹자골목-317.7km,"44,900원",m,여수
19,여수 자2 시청점,4.5,거북선공원 도보3분 눌러서 위치 확인하기-317.3km,예약마감,m,여수
20,여수 호텔 THE B,4.6,#시청 5분 #거북선공원 4분-317.8km,"40,000원",m,여수
21,여수 초콜릿,4.7,낭만포차 차량 5~10분 최단거리 위치-321.4km,"40,000원",m,여수
22,여수 아리랑힐,4.3,롯데마트 3분 거리!!  눌러서 위치 확인하기-315.3km,"50,000원",m,여수
23,여수 쉴 무인호텔,4.5,여수 디오션 워터파크까지 차로 2분거리 눌러서 위치 확인 GO-320.8km,"45,000원",m,여수
24,여수 MK 호텔,4.1,여수시 학동 위치/호텔 앞 먹자골목-317.6km,"40,000원",m,여수
25,여수 S,4.6,롯데마트까지 약 200m 도보 2분-315.5km,"45,000원",m,여수
26,여수 힐링 호텔,3.5,디오션 차량 7분-322.7km,"50,000원",m,여수
27,여수 자(JA)무인텔 학동점,4.3,수자원공사에서 도보 1분-317.7km,"40,000원",m,여수
28,여수 마리나 무인호텔,4.7,여수 케이블카 도보 거리! 낭만포차 차량 5분 거리!  눌러서 위치 확인하기-321.5km,"66,000원",m,여수
29,여수 맥스 무인텔,4.4,눌러서 위치 확인하기-317.8km,"45,000원",m,여수
30,여수 별 무인텔,4.5,낭만포차 도보3분/엑스포역 차량5분-320.8km,"35,000원",m,여수
31,여수 산 무인호텔,4.8,"""할인이벤트기간"" 낭만포차, 케이블카 차량6분 눌러서 위치 확인 GO-321.4km","50,000원",m,여수
32,여수 엑스포,4.3, 눌러서 위치 확인하기-320.8km,"40,000원",m,여수
