,name,score,loc,lowest_price,category,loc2
0,해남 포유 무인텔,4.0,해남군청 차로 약 10분 내외-337.8km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
1,완도 제우스,4.4,완도 해변 공원 바로앞!!!  클릭해서 위치 확인 GOGO!! -360km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
2,고흥 명품 무인호텔,4.8,눌러서 위치 확인하기-329.6km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
3,완도 파크힐 호텔,5.0,완도항까지 도보 3분거리!!-360.4km,예약마감,m,해남/완도/진도/강진/장흥/보성/고흥
4,진도 대동,4.6,진도 군청 2분 거리 눌러서 위치 확인 GO!-347km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
5,완도 타워,4.1,"모노레일, 여객터미널 1분 거리-360.5km","39,000원",m,해남/완도/진도/강진/장흥/보성/고흥
6,해남 에이스,4.7,대흥사 쉼터에서 도보 5분  눌러서 위치 확인하기-341.1km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
7,진도 JD 무인텔,4.3,진돗개테마파크 차량 10분-348km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
8,고흥 스위스 무인텔,4.6,고흥 공용버스터미널 차량 5분거리_위치 간략 정보 눌러서 위치 확인_클릭 클릭_-329.6km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
9,해남 월드 펜션,4.2, 눌러서 위치 확인하기-341.2km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
10,해남 플러스 무인텔,4.4,해남종합버스터미널 자동차9분  눌러서 위치 확인 GO-335km,"55,000원",m,해남/완도/진도/강진/장흥/보성/고흥
11,고흥 녹동 호텔 j,4.2, 눌러서 위치 확인하기-337.3km,예약마감,m,해남/완도/진도/강진/장흥/보성/고흥
12,보성 녹차향기,3.8,보성 군청까지 차량 5분거리  눌러서 위치확인 GOGO!-309.9km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
13,완도 XYM,4.0,완도항  눌러서 위치 확인하기-360.6km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
14,보성 관광모텔,4.1,전남 보성읍 위치 눌러서 위치 확인 GO !!-310.6km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
15,해남 땅끝비치,4.5,땅끝 선착장 도보3분!!-363.9km,"45,000원",m,해남/완도/진도/강진/장흥/보성/고흥
16,완도 호텔 프라하,4.5,완도 신축호텔 프라하/모노레일 바로 옆-360.4km,"66,000원",m,해남/완도/진도/강진/장흥/보성/고흥
17,장흥 스위스 무인텔,4.3,버스터미널 5분 거리-319.7km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
18,고흥 녹동 디오션(THE OCEAN),4.4,녹동항 2분 거리-337.2km,"35,000원",m,해남/완도/진도/강진/장흥/보성/고흥
19,보성 VIP,4.4,보성 공설운동장 바로 앞 위치 눌러서 위치 확인!-309.6km,"45,000원",m,해남/완도/진도/강진/장흥/보성/고흥
20,해남 남도 호텔,4.9,버스터미널 2분 거리 눌러서 위치 확인하기-333.6km,"62,000원",m,해남/완도/진도/강진/장흥/보성/고흥
21,진도 스타,3.3,미니스톱 바로 옆 :-) 눌러서 위치 확인하기-346.7km,"45,000원",m,해남/완도/진도/강진/장흥/보성/고흥
22,고흥 녹동 BM,4.2,"녹동항 도보 2분 이내, 건물 바로 옆 CU 편의점  눌러서 위치 확인 GOGO-337.3km","50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
23,완도 호텔 코너 레지던스,4.8,완도공용버스터미널 인근-359.9km,"70,000원",m,해남/완도/진도/강진/장흥/보성/고흥
24,해남 모아 호텔,4.4,버스터미널 도보 7분-333.3km,예약마감,m,해남/완도/진도/강진/장흥/보성/고흥
25,해남 피아노,4.4,해남버스터미널 차량 1분-333.6km,예약마감,m,해남/완도/진도/강진/장흥/보성/고흥
26,장흥 피아노,4.6,장흥공설운동장까지 차로 4분-319.8km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
27,해남 SP,3.5,해남버스터미널 차량 1분-333km,예약마감,m,해남/완도/진도/강진/장흥/보성/고흥
28,해남 티파니,3.5,해남교육지원청 도보 1분-333.4km,예약마감,m,해남/완도/진도/강진/장흥/보성/고흥
29,장흥 그랜드파크,4.0,장흥공설운동장까지 차로 4분-319.8km,"35,000원",m,해남/완도/진도/강진/장흥/보성/고흥
30,해남 동일 펜션&모텔,4.4,대둔사 계곡까지 5분거리 !!-340.7km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
31,보성 벌교 시드니,2.8,벌교 시내 위치 눌러서 위치 확인 gogo~-303.3km,"45,000원",m,해남/완도/진도/강진/장흥/보성/고흥
32,해남 힐링,4.6,해남 두륜산 도립공원까지 차로 1분-341.3km,예약마감,m,해남/완도/진도/강진/장흥/보성/고흥
33,완도 로망스,3.5,버스터미널 2분 거리-359.8km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
34,강진 부성파크,4.5,강진 버스터미널 1분 거리-324.6km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
35,완도 피아노,4.2,완도버스터미널 차량 2분-359.7km,"45,000원",m,해남/완도/진도/강진/장흥/보성/고흥
36,보성 벌교 궁전,4.0,장양 정류장 도보 3분-303.2km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
37,해남 썬,4.2,해남 종합버스터미널까지 차로 2분-333.7km,"45,000원",m,해남/완도/진도/강진/장흥/보성/고흥
38,완도 세비야,3.7,완도 해변공원 도보 5분거리-359.4km,"38,500원",m,해남/완도/진도/강진/장흥/보성/고흥
39,해남 두륜각,3.5,두륜산 도립공원 아래 위치-341.1km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
40,완도 시애틀,2.5,버스터미널 2분 거리-359.7km,"33,000원",m,해남/완도/진도/강진/장흥/보성/고흥
41,장흥 진송관광호텔,5.0,눌러서 위치확인-319.9km,"50,000원",m,해남/완도/진도/강진/장흥/보성/고흥
42,완도 씨앤휴,1.5,"해변공원, 버스 터미널 인근-360.2km","40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
43,강진 수,3.4,출렁다리 10분거리 위치보기 클릭-342.6km,"40,000원",m,해남/완도/진도/강진/장흥/보성/고흥
44,보성 백악관,4.3,버스터미널 도보 4분 거리-310.5km,"45,000원",m,해남/완도/진도/강진/장흥/보성/고흥
45,완도 해비치,3.6,여객터미널 5분 내외 / 예약 문의하기  눌러서 위치 확인 GO-359.8km,예약마감,m,해남/완도/진도/강진/장흥/보성/고흥
46,진도 프린스,3.3,진도읍 내 위치 눌러서 위치 확인 GO-347.1km,"45,000원",m,해남/완도/진도/강진/장흥/보성/고흥
47,고흥 빅토리아 호텔,3.5,발포해수욕장 인근-342.6km,"77,000원",m,해남/완도/진도/강진/장흥/보성/고흥
48,쏠비치 진도 호텔,4.9,진도군 의신면-354.7km,"135,000원",h,해남/완도/진도/강진/장흥/보성/고흥
