,name,score,loc,lowest_price,category
0,가평(청평) 이틀,4.2,40.6km,"38,000원",m
1,청평 리버빌,4.6,청평호수인근 (강전망)-47.5km,"69,000원",m
2,가평 리버랜드,4.2,청평호수인근(전객실 강전망)-47.5km,"90,000원",m
3,가평 설악스카이호텔,4.5,설악시외버스영업소 인근 위치-48.8km,"70,000원",m
4,가평 첼로,4.3,쁘띠프랑스 근처-51.3km,"45,000원",m
5,가평 산타마리아 리조트,4.0,"쁘띠프랑스 인근, 호명호수 인근-53.1km","70,000원",m
6,청평 M모텔,4.0,GS25 편의점으로 들어오세요.-45.1km,"45,000원",m
7,청평 젠 스테이,4.7,41.3km,"69,000원",m
8,가평 돌고래수상리조트,4.8,47.2km,"60,000원",m
9,가평 보송모텔,3.8,45.9km,"40,000원",m
10,가평 크라시,4.1,57.3km,"40,000원",m
11,가평 K-POP 호텔,4.7,가평역 인근-56.6km,"45,000원",m
12,가평 썬파인,4.9,더 스테이 힐링파크 인근위치-53.5km,"50,000원",m
13,청평 카리브,4.3,청평원 인근 위치-41.8km,"40,000원",m
14,가평 이코노미호텔,4.6,48.6km,"61,500원",m
15,청평 리오,4.6,주기적 소독 완료-41.3km,"40,000원",m
16,청평 파인호텔,4.1,46.7km,"33,000원",m
17,가평 더 스테이 호텔,3.0,가평 자라목마을 인근-59km,예약마감,m
18,가평 THE MOTEL(더모텔),4.3,45.9km,"44,000원",m
19,청평 J모텔,4.7,45.7km,"40,000원",m
20,가평 나우,3.5,57.3km,예약마감,m
21,가평 남이섬모텔,4.1,가평역 1번출구 인근위치-57.9km,"40,000원",m
22,가평 뉴월드,4.3,48.9km,"50,000원",m
23,가평 타루,4.6,45.8km,"40,000원",m
24,청평 파라다이스,4.2,청평자연휴양림 인근 위치-43.5km,"50,000원",m
25,청평 지중해,4.5,청평 자연휴양림 인근 위치-42.9km,"40,000원",m
26,가평(청평) 테마,3.5,대성리역 1번출구 인근위치-40.4km,"45,000원",m
27,가평 브라운,3.9,에쓰오일 주유소 입구로 들어오시면 됩니다-52.2km,"45,000원",m
28,가평 자라호텔,4.7,58.2km,"50,000원",m
29,가평 Hotel Haus,4.4,50.5km,"94,000원",m
30,가평 에덴파크,5.0,51.9km,예약마감,m
31,가평 마이다스 호텔&리조트,4.7,청평자연휴양림 도보 약 11분-44km,"160,000원",h
32,가평 파로티아 워터하우스,4.1,쁘띠프랑스 약 17분거리-55.6km,예약마감,h
33,연인산 온천 리조트,4.2,가평 연인산온천캠핑장-62.2km,예약마감,h
34,켄싱턴리조트 가평,4.2,가평 덕현리-45.2km,"99,900원",h
35,가평 호텔 자라,4.7,가평역 2km 이내-58.2km,예약마감,h
