,name,score,loc,lowest_price,category
0,구리 첼로,4.7,17.5km,"35,000원",m
1,구리 바리스타 호텔,4.9,17.5km,"40,000원",m
2,구리 호텔 인 카페,4.6,17.6km,"40,000원",m
3,구리 홍콩,4.6,KT구리지사 뒷편 도보 5분-17.6km,"45,000원",m
4,구리 J,4.7,경의중앙선 구리역-17.6km,"40,000원",m
5,구리 POP,4.2,세무서 사거리 인근-17.6km,"30,000원",m
6,구리 뉴캐슬,4.6,17.6km,"35,000원",m
7,구리 스튜디오 9,4.8,17.6km,"40,000원",m
8,구리 YAJA 구리수택점,4.5,세무서 사거리 인근-17.6km,"37,000원",m
9,구리 부띠끄호텔 여기,4.4,구리 돌다리 사거리 인근-17.7km,"40,000원",m
10,구리 렉시,4.2,구리역 3번출구 도보 15분-17.9km,"30,000원",m
11,구리 캘리포니아 호텔,4.6,구리역 3번출구 도보 15분-17.8km,"40,000원",m
12,구리 부띠끄호텔 XYM,4.5,구리시립공원 인근-17.7km,"50,000원",m
13,구리 YAM 구리수택점,4.8,구리역3번출구 도보10분-17.9km,"35,000원",m
14,구리 그 날 (that day),4.8,CGV 도보 9분 거리입니다!!-17.9km,"40,000원",m
15,구리 C 호텔,4.7,구리역 3번출구 도보 15분-18km,"40,000원",m
16,구리 러쉬(LUSH),4.5,세무서 사거리 인근-17.6km,"32,000원",m
17,구리 M,4.7,17.3km,"30,000원",m
18,구리 아프리카,4.5,구리역 3번출구 도보 5분-17.6km,"40,000원",m
19,구리(갈매) 퍼스트호텔,4.8,17.2km,"65,000원",m
20,구리(갈매) 인디프레젠트호텔,4.7,17.2km,"65,000원",m
21,구리 연애시대,4.5,튼튼병원 맞은편 한 외과 의원 골목-17.6km,"27,000원",m
22,구리 BOX,4.4,중앙예식장앞 사거리 도보3분-17.6km,"30,000원",m
23,구리 제니스,4.6,17.6km,"40,000원",m
24,구리 THE,4.4,17.9km,"32,000원",m
25,구리 미즈,4.8,17.6km,"30,000원",m
26,구리 몽,4.6,구리역 3번출구 인근-17.5km,"30,000원",m
27,구리 필름 37.2,3.6,세무서 사거리 인근-17.6km,"35,000원",m
28,구리 바람개비,4.0,17.7km,"30,000원",m
29,구리 박스도로시,4.6,18km,"27,000원",m
30,구리 담스,4.5,구리역 3번출구 도보 15분-17.9km,"28,000원",m
31,구리 로즈(로조) 모텔,3.7,"구리역 3번출구 도보 15분 , 구리경마장 인근-18km","30,000원",m
32,구리 엘린 호텔,4.7,체육관로 대로에 위치하고 있습니다.-17.5km,"40,000원",m
33,구리 K,4.5,17.6km,"30,000원",m
34,갈매 퍼스트 호텔,4.7,갈매역 도보 5분-17.2km,"65,000원",h
35,구리 렉시호텔,3.5,구리역 3번출구 890M-17.9km,"30,000원",h
36,구리 제니스 호텔,4.6,구리역 약 900m-17.6km,"42,000원",h
37,호텔 인 카페 구리점,4.8,구리시청 약 5분거리-17.6km,"45,000원",h
38,구리 인디프레젠트호텔,4.6,갈매역 도보 5분-17.2km,"65,000원",h
