,name,score,loc,lowest_price,category
0,의왕 호텔 보보스,4.5,20.2km,"40,000원",m
1,금정 ZOOM 줌,4.5,"금정역, 산본역 인근-21.8km","33,000원",m
2,산본 YAJA 산본역점,4.5,5번 이용시 1번 공짜-22.3km,"40,000원",m
3,의왕 YAM 의왕역점,4.4,의왕역 2번출구에서 5분이내 거리 -26.6km,"40,000원",m
4,금정 BAND(밴드),4.8,21.8km,"35,000원",m
5,산본 CF,4.5,산본역 3번출구 인근-22.4km,"35,000원",m
6,금정 파티N,4.5,신환 사거리 인근 위치-21.8km,"40,000원",m
7,금정 테마,4.5,금정역 4번출구 도보 5분-21.3km,"35,000원",m
8,의왕 컬리넌,4.5,20.1km,"40,000원",m
9,금정 1004,4.6,금정역 4번출구 도보 5분-21.4km,"40,000원",m
10,금정 리젠시,4.6,21.4km,"35,000원",m
11,의왕 로블,4.2,롯데마트 인근-20.1km,"50,000원",m
12,의왕 HOTEL ON,4.6,계원예술대학교 인근-20.2km,"40,000원",m
13,의왕 HOTEL 25,4.8,20.2km,"50,000원",m
14,산본 스테이 온 호텔,4.6,산본역 3번출구 도보 3분-22.3km,"40,000원",m
15,산본 MUL,4.7,산본역 3번출구 도보3분-22.3km,"30,000원",m
16,산본 호텔 인 카페,4.6,22.3km,"40,000원",m
17,산본 CC,4.6,산본 로데오거리 내 위치-22.2km,"35,000원",m
18,의왕 IMT,4.7,20.2km,"40,000원",m
19,의왕 시저,4.6,20.2km,"45,000원",m
20,산본 짬(ZZAM),4.7,산본역 3번출구 도보5분-22.2km,"40,000원",m
21,산본 타워 무인텔,4.4,22.2km,"40,000원",m
22,금정 미(美),4.8,21.9km,"35,000원",m
23,산본 프라하,4.5,22.4km,"35,000원",m
24,금정 빠리몽,4.7,금정역 4번출구 인근-21km,"30,000원",m
25,금정 초콜릿,4.3,21km,"30,000원",m
26,금정 리얼,4.1,20.6km,"25,000원",m
27,의왕 신우,4.5,의왕역 2번 출구 3분 이내-26.7km,"38,000원",m
28,산본 꿈의궁전,4.4,22.4km,"35,000원",m
29,군포 비바체,4.8,군포역 1번 출구 인근-23.1km,"35,000원",m
30,금정 아름,4.6,21.8km,"33,000원",m
31,의왕 럭셔리,4.5,의왕역 2번 출구 우측 50m / 도보 2분이내 -26.7km,"40,000원",m
32,금정 큐브,4.8,4호선 산본역 도보 10분-21.9km,"30,000원",m
33,군포 리츠,4.7,군포역 1번출구 도보 5분-23.2km,"40,000원",m
34,군포 뷰,4.8,23km,"35,000원",m
35,산본 그러니,4.7,22.3km,"40,000원",m
36,금정 팔라틴,3.5,21.3km,예약마감,m
37,금정 청 모텔,3.5,21.2km,"45,000원",m
38,금정 W,3.8,21.4km,예약마감,m
39,군포 애니콜,4.4,23.1km,"35,000원",m
40,호텔 컬리넌 의왕,4.4,평촌역 자동차 10분-20.1km,"37,000원",h
41,호텔 리얼,3.0,금정역 도보 10분-20.6km,"29,000원",h
