,name,score,loc,lowest_price,category
0,김포 호텔라르,4.7,16km,"69,000원",m
1,김포 레스트호텔,4.6,♥일산 킨텍스 차량 약10분♥-24.4km,"75,000원",m
2,김포 스타비아 호텔,4.8,★김포 지식산업센터 도보 2분거리★ -24.4km,"75,000원",m
3,김포 아리수 호텔,4.6,장기IC교에서 2분거리-24.5km,"65,000원",m
4,김포 펜타스타호텔,4.6,24.5km,"65,000원",m
5,김포 호텔 캘리포니아,4.7,♥김포 구래동 다온프라자 7층♥-29.5km,"60,000원",m
6,김포 JJ호텔,4.9,현장 결제시 KF-94마스크 2매 증정-29.5km,"60,000원",m
7,김포 리운,4.5,29.6km,"55,000원",m
8,김포 마리,4.7,29.6km,"60,000원",m
9,김포 그레이 호텔,4.8,김포 한강신도시 구래동 위치-29.6km,"60,000원",m
10,김포 엠타워 호텔,4.8,구래역 4번 출구 517m-29.7km,"60,000원",m
11,김포 오로라호텔,4.9,김포 한강신도시 구래동 위치-29.7km,"60,000원",m
12,김포 웨스트나인,4.9,"김포 한강신도시 구래동, 위치확인♥-29.8km","60,000원",m
13,김포 JK호텔,4.9,김포 한강신도시 구래동 위치-29.8km,"60,000원",m
14,김포 저스트슬립호텔 구래1호점,4.8,29.8km,"55,000원",m
15,김포 저스트슬립호텔 구래2호점,4.7,신축오픈! 초특가예약진행중! 최고의시설!-29.8km,"55,000원",m
16,김포 통진 코자자,4.7,34.4km,"40,000원",m
17,김포 바스,4.6,35.2km,"35,000원",m
18,김포 HOTEL M,4.2,37.3km,"33,000원",m
19,김포 오아시스,4.6,34.4km,"33,000원",m
20,김포 HOTEL ASSEM,4.7,24.4km,"80,000원",m
21,김포 아이메리츠,4.6,강화초지대교 인근-34.6km,"40,000원",m
22,김포 LUV,4.7,대명항 포구 인근-35.3km,"38,000원",m
23,김포 도킹 호텔,4.7,"김포대명항,강화초지대교입구(18m-36.2km","45,000원",m
24,김포 스카이,4.7,22km,"40,000원",m
25,김포 벨루치 드라이브인 무인텔,4.9,29.2km,"50,000원",m
26,김포 리버,4.5,21.5km,"45,000원",m
27,김포 뮤즈,4.6,김포시외버스터미널 도보 5분-21.6km,"39,000원",m
28,김포 코자자,4.2,36.2km,"50,000원",m
29,김포 드라이브인 비대면 호텔루이,4.8,"김포대명항,강화초지대교입구(18m-36.2km","50,000원",m
30,김포 무인텔 라붐,4.8,36.5km,"50,000원",m
31,김포 하비비 드라이브인무인텔,4.7,강화초지대교 인근-36.1km,"50,000원",m
32,김포 프리존,4.1,34.6km,"35,000원",m
33,김포 H,4.2,김포시외버스터미널 도보 5분-21.6km,"40,000원",m
34,김포 라인,4.5,34.6km,"28,000원",m
35,김포 퀸 호텔,4.5,31.3km,"33,000원",m
36,김포 리버사이드,4.2,29.2km,"40,000원",m
37,레스트호텔,4.7,일산 킨텍스 차량 약 10분-24.4km,"75,000원",h
38,김포 약암홍염천 관광호텔,4.1,대명항 1.45km-35.6km,예약마감,h
39,에비뉴 호텔 김포,3.9,김포시청 차량 약 30분-36.7km,예약마감,h
40,김포 펜타스타호텔,4.5,한강중앙공원 도보 약 20분-24.5km,"74,750원",h
41,김포 라르 호텔,4.6,김포국제공항 자동차 15분-16km,"69,000원",h
42,김포 아리수 호텔,4.5,김포시 일산 킨텍스 차량 10분-24.5km,"65,000원",h
43,김포 웨스트9 호텔,3.5,구래역 도보 5분-29.8km,"65,000원",h
44,호텔M-Tower,4.8,구래역 도보 7분-29.7km,"63,530원",h
45,김포 스타비아 호텔,4.6,킨텍스 차량 10분-24.4km,"75,000원",h
46,라인플러스호텔,4.0,킨텍스 차량 25분-34.7km,"45,000원",h
47,김포 그레이 호텔,5.0,김포시청 차량약 30분-28.4km,예약마감,h
48,김포 아셈호텔,4.6,김포시청 차량 약 15분-24.4km,"82,759원",h
49,김포 문수산펜션,4.8,자체픽업 가능-41.5km,"100,000원",f
50,김포 문수산관광농원펜션,4.3,39.5km,"90,000원",f
