,name,score,loc,lowest_price,category
0,남양주 저스트슬립호텔 다산신도시점,4.7,다산유일! 신축오픈호텔! 오픈이벤트 진행중!-19.7km,"55,000원",m
1,남양주 파크호텔 다산신도시점,4.6,19.7km,"50,000원",m
2,남양주 저스트스위트호텔 다산로데오점,4.8,19.7km,"55,000원",m
3,남양주 넘버25 남양주별내점,4.7,수락산입구 정거장 50m-22.1km,"32,000원",m
4,남양주 CH 호텔,4.7,22.4km,"50,000원",m
5,남양주 세피아,4.4,별내도서관 인근 위치-22.4km,"40,000원",m
6,남양주 루비노 호텔,4.7,남양주청학근린공원 인근 위치-22.9km,"45,000원",m
7,남양주 리버 (RIVER),4.6,#세스코(CESCO)제휴점-24.4km,"50,000원",m
8,남양주 나인 무인 호텔 (HOTEL 9),4.5,27.3km,"50,000원",m
9,남양주 JD관광호텔,4.7,27.3km,"60,000원",m
10,남양주 호텔 더블유,4.7,"평내호평역1번출구, 이마트남양주점건너편 -28.5km","45,000원",m
11,남양주 레이크(lake) 드라이브인 무인텔,4.5,28.6km,"50,000원",m
12,남양주 레이나 호텔,4.5,남양주 관광지 오남호수공원 정면-28.8km,"52,900원",m
13,남양주 아테네,4.5,장현생활체육시설 인근 위치-29.7km,"40,000원",m
14,남양주 마리 무인 호텔,4.5,월문리-차산리 넘어가는 마석고개 초입에 있습니다.-29.9km,"50,000원",m
15,남양주 제니스 호텔,4.6,37.3km,"70,000원",m
16,남양주 넘버25 남양주북한강점,4.3,서호 미술관 15분거리-37.5km,"40,000원",m
17,남양주 골드 호텔,4.7,22.1km,"40,000원",m
18,남양주 프라하,4.6,경춘선 평내호평역 인근-28.5km,"50,000원",m
19,남양주 발렌타인,4.4,22km,"30,000원",m
20,남양주 블루문,4.3,남양주청학근린공원 인근 위치-22.3km,"30,000원",m
21,남양주 호텔 하비비 무인,4.8,27.3km,"60,000원",m
22,남양주 호텔 그램,4.7,27.3km,"60,000원",m
23,남양주 캘리포니아,4.2,25.9km,"50,000원",m
24,남양주 강변비치,4.5,24.5km,"50,000원",m
25,남양주 유니온 무인텔,4.6,39.2km,예약마감,m
26,남양주 다바크 무인텔,4.8,평내호평역 인근 위치-30km,예약마감,m
27,남양주 호텔 투스,4.7,평내호평역 인근-28.5km,"50,000원",m
28,남양주 달,4.7,35.5km,"40,000원",m
29,남양주 나인스톤 호텔,4.7,38.7km,"50,000원",m
30,남양주 마이텔,4.3,남양주청학근린공원 인근위치-22.3km,예약마감,m
31,남양주 힐사이드,4.1,힐사이드 오시는길-24.8km,"45,000원",m
32,남양주 M,4.5,CH리베로빌딩 9층-28.5km,예약마감,m
33,남양주 썬 무인텔,4.6,39km,"38,000원",m
34,남양주 피노키오,4.6,30km,"40,000원",m
35,남양주 돌체카사 호텔,4.7,"운길산역 차량 14분 , 남양주유기농테마파크 차량 2분 ,	아라크노피아 차량 21분-35.4km",예약마감,m
36,남양주 썸,4.6,40km,"30,000원",m
37,호텔 더 메이,4.5,남양주시 별내동-18.7km,"65,000원",h
38,남양주 북한강 돌체카사호텔,4.7,남양주 유기농테마파크 차량 약 2분-35.4km,"60,000원",h
39,남양주 베니키아 JD관광호텔,4.5,에버그린파크 차량 1분-27.3km,"54,000원",h
40,남양주 아인티오펜션(럭셔리키즈풀빌라),4.6,자체픽업 가능-40km,"100,000원",f
41,남양주 포시즌풀빌라펜션 (미온수무료),4.8,35.5km,"229,000원",f
42,"남양주 더드림핑(글램핑,카라반,캠핑장)",4.3,자체픽업 가능-39km,"104,000원",f
43,남양주 코지힐펜션,4.2,자체픽업 가능-36.7km,"120,000원",f
44,남양주 뱅크트리펜션(체육시설무료),3.5,38.1km,"219,000원",f
45,"남양주 에스나인펜션 (단체,놀이시설)",4.6,38.5km,"69,000원",f
46,남양주 해바라기펜션,5.0,37km,"70,000원",f
47,남양주 더버드펜션,4.8,37.1km,"183,000원",f
48,"남양주 대성리A펜션(단체,워크샵)",4.9,40.3km,"100,000원",f
49,남양주 다락펜션(소소온기),5.0,36.2km,"160,000원",f
