,name,score,loc,lowest_price,category
0,동탄 JS 부티크 호텔,4.4,39.8km,"55,000원",m
1,화성 라움,4.7,40.5km,"40,000원",m
2,화성 오슬로,4.0,보통리저수지 인근-40.9km,"40,000원",m
3,동탄 투헤븐,4.5,북광장 공영주차장 앞-40.9km,"45,000원",m
4,화성 시그널,4.6,41.1km,"66,000원",m
5,동탄 호텔예인,4.5,동탄 홍보관 삼거리 인근-41.4km,"40,000원",m
6,동탄 루나,4.8,동탄 홍보관 삼거리 인근-41.4km,"45,000원",m
7,동탄 코지,4.7,동탄 남광장 위치-41.5km,"45,000원",m
8,동탄 호텔벨라,4.6,동탄복합문화센터 인근-41.5km,"50,000원",m
9,동탄 호텔 아모르,4.6,동탄복합문화센터 인근-41.5km,"45,000원",m
10,동탄 아이콘,4.8,동탄 복합 문화센터 인근-41.5km,"50,000원",m
11,오산 벨리노 S 호텔,4.8,오산죽미령평화공원 도보 약 15분-43.2km,"45,000원",m
12,오산 벨리노,4.7,필봉 초등학교 맞으편 위치-43.5km,"45,000원",m
13,오산 DW,4.8,45.2km,"45,000원",m
14,오산 세븐,4.5,오산종합운동장 인근 위치-46.4km,"40,000원",m
15,오산 넘버25 오산중원사거리점,4.5,오산역 1번 출구 도보 5분 거리-46.9km,"35,000원",m
16,오산 스튜디오9,4.8,47km,"45,000원",m
17,오산 YAM 오산역점,4.7,오산역 도보5분거리에 위치-47.4km,"35,000원",m
18,오산 럭셔리 관광호텔,4.4,오산역 1번 출구-47.4km,"40,000원",m
19,오산 저스트스테이호텔 오산역점,4.8,47.6km,"40,000원",m
20,오산 호텔 라움,4.7,47.6km,"40,000원",m
21,오산 호텔 D,4.6,47.7km,"55,000원",m
22,오산 호텔 파티오,4.7,47.9km,"45,000원",m
23,화성 수,4.3,48.4km,"35,000원",m
24,화성(향남) 호텔앤유,4.6,롯데시네마 향남 도보 약 4분-49.4km,"45,000원",m
25,화성 마인호텔,4.8,49.4km,"50,000원",m
26,화성 나인부티끄 무인텔,4.7,우리꽃식물원 인근-49.7km,"50,000원",m
27,화성 하비비 무인텔,4.8,49.7km,"50,000원",m
28,동탄 Q,4.3,41km,"40,000원",m
29,오산 고요37,4.8,47.4km,"39,900원",m
30,오산 J,4.6,47.4km,"50,000원",m
31,오산 브라운도트 오산역점,4.8,오산역 도보 3분 (리모델링)-47.1km,"50,000원",m
32,화성 글로아,4.7,40.9km,"40,000원",m
33,화성 오투,4.3,40.7km,"40,000원",m
34,화성 보보스,4.1,관리고객 정류장 인근-47.3km,"35,000원",m
35,병점 시네마,4.3,39.4km,"50,000원",m
36,화성(월문) 아테나,4.6,49.8km,"40,000원",m
37,화성 라끄드보통 호텔,4.5,40.6km,"40,000원",m
38,동탄 벨,4.6,한림대학교 통탄성심병원 인근-39.8km,"50,000원",m
39,동탄 JS 클래식 호텔,4.6,39.8km,"55,000원",m
40,동탄 더스테이(The stay),4.5,41km,"40,000원",m
41,동탄 첼시,4.6,동탄 CGV에서 도보 5분-41.1km,"40,000원",m
42,동탄 애니콜,4.6,동탄 홍보관 삼거리 인근-41.5km,"60,000원",m
43,화성 월문 월,4.7,49.7km,"45,000원",m
44,화성(향남) 느낌,4.6,48.4km,"40,000원",m
45,오산 오투,4.4,오산대역 1.2km 도보약 7분거리-43.6km,"40,000원",m
46,오산 마실호텔,4.7,46.7km,"40,000원",m
47,동탄 탑(TOP),4.5,오산시청 인근 위치-45.6km,"40,000원",m
48,오산 M,4.6,47.4km,"45,000원",m
49,동탄 보보스,4.4,41.1km,"50,000원",m
50,오산 누리,4.5,오산역 1번출구 도보5분이내-47.5km,"45,000원",m
51,오산 수필,4.7,아모레퍼시픽 오산공장 도보 약 8분-45.1km,"45,000원",m
52,오산 레인보우,4.6,물향기수목원 인근 위치-45.2km,"40,000원",m
53,동탄 J 부티크 HOTEL,4.7,41.1km,"60,000원",m
54,화성(향남) 드라마,4.6,49.4km,"45,000원",m
55,동탄 미노스,4.6,한림대학교 동탄성심병원 근처-39.2km,"66,000원",m
56,오산 에비뉴,4.4,오산역 도보 약 8분-47.6km,"50,000원",m
57,동탄 윈저,4.8,한림대학교 동탄성심병원 근처-39.2km,"66,000원",m
58,동탄 더 스토리,4.1,동탄 CGV 도보 5분이내 -41km,"37,000원",m
59,동탄 시크릿,3.9,동탄 북광장 위치-41km,"41,000원",m
60,화성 달,4.7,41.2km,"60,000원",m
61,동탄 판도라,4.8,동탄 북광장 위치-41km,"45,000원",m
62,화성 미드멜리,4.3,49.8km,"40,000원",m
63,화성 레옹,4.6,34.9km,"35,000원",m
64,화성 리츠 호텔,4.6,41.2km,"60,000원",m
65,화성 칼튼,4.7,39.7km,"40,000원",m
66,화성 아필 호텔,4.8,49.4km,"50,000원",m
67,오산 아너스 호텔,4.7,47.4km,"50,000원",m
68,화성 조암모텔,4.7,54km,"40,000원",m
69,오산 W,3.3,오산역 1번출구 도보 5분-47.3km,"35,000원",m
70,화성 다뉴브,3.8,49.6km,"35,000원",m
71,오산 비스타호텔,4.8,42.3km,"50,000원",m
72,화성 리치,4.7,38km,"45,000원",m
73,오산 닉스폭스,4.8,47.6km,"50,000원",m
74,오산 제노,4.6,47.5km,"50,000원",m
75,동탄 루시아,4.3,40.9km,"45,000원",m
76,오산 초콜릿,4.5,초평동 주민센터 인근 위치-47.3km,"35,000원",m
77,오산 CHILL7,4.8,오산역 1번출구-47.4km,"40,000원",m
78,오산 테마,4.2,47.2km,"35,000원",m
79,화성(향남) 엘가 관광호텔,4.3,양감입구 삼거리 인근-47.8km,"60,000원",m
80,화성(향남)투데이,4.0,47.8km,"45,000원",m
