,name,score,loc,lowest_price,category
0,부천 노블레스,4.6,부천역 5번출구 도보 5분-16.2km,"40,000원",m
1,부천 돈키호텔2,4.3,16.2km,"30,000원",m
2,부천 시애틀,4.7,부천역 도보 약2분-16.3km,"35,000원",m
3,부천 필름 37.2,4.6,부천역 5번출구 도보 1분-16.4km,"32,000원",m
4,부천 키노,4.5,16.7km,"35,000원",m
5,부천 두루와 호텔,4.7,부천역 도보 5분-16.7km,"35,000원",m
6,부천 부티크호텔 37.5,4.6,부천역 도보 5분-16.7km,"35,000원",m
7,부천(중동) HOTEL CT,4.5,부천시청역 도보 3분-17.1km,"50,000원",m
8,부천 젠,4.6,부천역 3번출구 도보10분-16.4km,"28,000원",m
9,부천 Gstay and Praha,4.4,부천역 도보 7분-16.1km,"30,000원",m
10,부천 A플러스,4.7,부천역 5번출구 도보5분-16.2km,"30,000원",m
11,부천(원종동) 호텔 르네(구 르네상스 모텔),4.1,12.5km,"35,000원",m
12,부천(상동) 호텔 K,4.3,17.9km,"50,000원",m
13,부천 호텔버스(BUS),4.6,부천역 3번출구 도보5분 -16.7km,"35,000원",m
14,부천 씨앤,4.8,부천역 5번출구 도보5분-16.1km,"35,000원",m
15,부천 카카오,4.7,부천역로데오거리 위치-16.4km,"30,000원",m
16,부천 NINE HOTEL 9,4.4,부천역 도보 5분-16.2km,"35,000원",m
17,부천 S,4.8,부천역 도보 약 5분-16.1km,"35,000원",m
18,부천 폼,4.4,부천역 도보 4분-16.2km,"35,000원",m
19,부천 YAM 부천역점,4.8,부천역 3번출구에서 도보 5분이내-16.7km,"35,000원",m
20,부천(상동) 팔레스,4.6,상동역 도보 5분-17.9km,"50,000원",m
21,부천(상동) 시크릿,4.6,상동역 5번출구 도보 3분-18km,"50,000원",m
22,부천(상동) 테마파크,4.6,중동 IC 근처-18.1km,"50,000원",m
23,부천 호텔 벤,4.6,16.2km,"35,000원",m
24,부천 THE PLAY,4.4,부천역 5번출구 도보 5분-16.2km,"30,000원",m
25,부천 라망,4.7,부천역 5번출구 도보5분-16.1km,"30,000원",m
26,부천 Hotel Cherish,4.8,"부천역 4,5번 출구 우측으로 흑화당 골목 2분-16.3km","40,000원",m
27,부천 (소사) 수,4.8,소사역 1번출구 200m-15.8km,"35,000원",m
28,부천(역곡) 쥬쥬,4.7,14.3km,"35,000원",m
29,부천(역곡) 필,4.8,역곡역 2번출구 도보 1분-14.3km,"25,000원",m
30,부천(역곡) YAJA 역곡역점,4.6,역곡역 1번출구 도보3분-14.4km,"35,000원",m
31,부천(원종동) 마리,4.8,원종사거리 약404m-12.6km,"40,000원",m
32,부천 유앤미,4.3,"부천역 4,5번출구 우측 흑화당골목 2분-16.3km","27,000원",m
33,부천(송내) A+,4.4,송내역  2번출구 도보 3분-18.2km,"40,000원",m
34,부천(원종동) 쉴,4.5,12.6km,"30,000원",m
35,부천(남부역) 리젠시,4.5,부천 자유시장 500m이내-16.9km,"35,000원",m
36,부천(상동) 제니스,4.8,상동역 5번출구 도보5분-18km,"70,000원",m
37,부천 썸,4.5,부천역 로데오거리내 위치-16.4km,"30,000원",m
38,부천(중동) 모리호텔,4.4,신중동역 도보 약 10분-16.3km,"40,000원",m
39,부천 돈키호텔1,4.6,부천역 3번출구 도보5분-16.8km,"25,000원",m
40,부천 밀포드,4.8,16.2km,"45,000원",m
41,부천(역곡) 썸,4.5,14.2km,"35,000원",m
42,부천(원종동) A호텔,4.7,12.6km,"30,000원",m
43,부천(송내) 알프스,4.4,송내역 2번출구 -18.5km,"35,000원",m
44,부천 캣츠,4.8,16.1km,"37,000원",m
45,부천 레드,4.7,부천역 3번출구-16.8km,"25,000원",m
46,부천 자바,4.2,부천역 5번출구 도보 3분-16.3km,"25,000원",m
47,부천 호텔오투,4.7,16.6km,"32,000원",m
48,부천(원종동) 알브,4.7,12.5km,"35,000원",m
49,부천 부띠끄돈키호텔(원종점),4.4,12.6km,"33,000원",m
50,부천 파비아,4.7,16.1km,"50,000원",m
51,부천(송내) 요기,4.8,송내역 2번출구 도보 2분-18.3km,"35,000원",m
52,부천(남부역) 카라,4.1,부천역 2번출구 도보10분-17.1km,"30,000원",m
53,부천 오투,4.2,부천역 도보 5분-16km,"22,000원",m
54,부천(중동) SR,4.9,17km,"60,000원",m
55,부천(송내) 마루,4.8,18.6km,"40,000원",m
56,부천(상동) 에버 호텔,4.7,17.5km,"55,000원",m
57,부천(상동) 플로체 호텔,4.8,18km,"60,000원",m
58,부천(상동) N,4.5,17.9km,"45,000원",m
59,부천(원종동) 리버모텔,4.5,원종 1동 -12.6km,"30,000원",m
60,부천 카이저,4.2,부천역5번출구 도보 1분거리-16.3km,"30,000원",m
61,부천(원종동) 토마토,4.7,12.6km,"30,000원",m
62,부천 킹,4.6,부천역 도보 약5분-16.6km,"21,000원",m
63,부천 오렌지,4.5,16.7km,"27,000원",m
64,부천(원종동) 프린스,4.5,오정초등학교 도보 5분-12.5km,"30,000원",m
65,부천(송내) 로데오,4.5,송내역 2번출구 도보5분-18.6km,"35,000원",m
66,부천(중동) 코보스,4.7,17.1km,"50,000원",m
67,부천(역곡) 리치,4.1,역곡 북부역 2번출구 2분거리-14.4km,"25,000원",m
68,부천(역곡) J,4.4,14.4km,"35,000원",m
69,부천(상동) R호텔,4.3,17.9km,"50,000원",m
70,부천(역곡) 조이텔,4.2,역곡역 2번 출구 도보1분-14.3km,예약마감,m
71,부천 호텔아이,4.4,부천역 3번출구 도보5분-16.6km,"30,000원",m
72,부천(상동) MY HOTEL,4.4,17.5km,"45,000원",m
73,부천 퍼플레인,3.5,부천역 도보 약 6분-16.1km,예약마감,m
74,부천(원종동) 크리스탈,3.5,12.6km,예약마감,m
75,부천 가자,4.3,16.2km,"27,000원",m
76,부천(역곡) 린,3.3,14km,"30,000원",m
77,부천 1박2일,4.5,부천역 도보 3분거리-16.3km,"25,000원",m
78,부천(역곡) 솜사탕,4.2,14.2km,"33,000원",m
79,부천(원종동) 초이스,4.5,12.6km,"35,000원",m
80,부천(역곡) 오렌지,3.5,14.2km,예약마감,m
81,부천 젠2,3.5,부천역 3번출구 도보 5분-16.8km,예약마감,m
82,고려호텔,4.7,상동역 4번출구 400m-18.1km,"40,000원",h
83,호텔 파비아,4.6,부천역 5번출구 도보5분-16.1km,"40,000원",h
84,부천 폴라리스 호텔,4.7,상동역 4번출구 439m-18.2km,"90,000원",h
85,부천 플로체 호텔,3.9,상동역 5번출구 400m-18km,"81,000원",h
86,부천 CT 호텔,4.9,부천시청역 2번 출구 도보 3분-17.1km,"70,590원",h
87,부천 팔레스 호텔,3.9,상동역 3번출구 도보 3분-17.9km,"50,000원",h
