,name,score,loc,lowest_price,category
0,성남 YAJA 위례점,4.5,위례 푸르지오 시티 앞-20.4km,"50,000원",m
1,성남 모란 Hotel 수필,4.4,모란역 12번출구 앞-21.7km,"35,000원",m
2,성남 모란 블랙빔,4.8,2019년 11월 신축 오픈! -21.8km,"40,000원",m
3,성남 YAJA 모란역점,4.6,모란역 2번출구 도보 3분-21.8km,"39,600원",m
4,성남 YAJA 수진역점,4.7,22.1km,"40,000원",m
5,성남 RG 호텔,4.7,22.1km,"40,000원",m
6,성남 앙띠브,4.8,남한산성역 4번 출구 50M이내-22.4km,"38,000원",m
7,분당 야탑 유앤미,4.4,분당선 야탑역 4번 출구 도보 1분 거리-23.1km,"60,000원",m
8,분당 YAJA 분당점,4.5,23.2km,"55,000원",m
9,분당(야탑역) 브리즈 호텔,4.7,23.4km,"55,000원",m
10,성남 모란 가자,4.4,모란역 도보 5분-21.9km,"35,000원",m
11,성남 모란 W호텔,4.5,모란역 4번출구 도보 5분-21.9km,"40,000원",m
12,성남 저스트스테이호텔 성남모란점,4.7,2019.11신축오픈/초특가 예약 진행중-21.9km,"45,000원",m
13,성남 셀린트,4.6,수진역 2번출구 도보 3분-22.1km,"45,000원",m
14,성남 소피아,4.6,수진역 도보 3분-22.2km,"30,000원",m
15,성남 조이,4.7,모란역 2번 출구 인근-21.9km,"50,000원",m
16,분당(미금) JS킹,4.4,27.5km,"70,000원",m
17,성남 호텔 초콜릿,4.8,22km,"50,000원",m
18,분당 노블레스,4.5,24.9km,"60,000원",m
19,분당(정자) 라스베가스,4.7,26km,"50,000원",m
20,성남 럭스,4.4,22km,"30,000원",m
21,성남 모란 루이스,4.4,모란역 2번출구 도보5분-21.8km,"38,000원",m
22,성남 Design XYM,4.2,신흥역 3번출구 도보2분(롯데시네마 옆)-22.3km,"40,000원",m
23,분당(서현) 호텔앤유,4.5,25.1km,"50,000원",m
24,성남 아마레,4.5,22km,"40,000원",m
25,분당 서현 어썸,4.5,25.1km,"55,000원",m
26,성남 YAM 신흥역점,4.5,22.4km,"30,000원",m
27,성남 스타 미니,4.5,블루버드 아파트 인근-22.1km,"30,000원",m
28,성남 MI,4.4,성남종합운동장 인근-22.1km,"34,000원",m
29,분당(정자) 노비오스,4.4,25.9km,"50,000원",m
30,분당(서현) 쁠랑,4.6,서현역 4번 출구 인근-25.1km,"55,000원",m
31,성남 까사 호텔,4.4,22km,"35,000원",m
32,성남 모란 힐라시스,4.8,모란역 1번 출구 인근-21.8km,"49,000원",m
33,성남 러브 이즈,4.5,8호선 수진역 2번출구-22.1km,"35,000원",m
34,성남 가을,4.7,22.4km,"35,000원",m
35,분당(오리) 호텔 루비,4.5,28.7km,"65,000원",m
36,성남 폭스,4.4,신흥역 3번출구 도보 3분거리 (롯데시네마 바로 옆)-22.2km,"33,000원",m
37,성남 저스트스테이호텔 남한산성점,4.8,2020.05 신축오픈! 코로나안전호텔!-22.5km,"40,000원",m
38,성남 스카이 포레스타,4.2,22.1km,"35,000원",m
39,분당(정자) 스테이25,4.8,26km,"70,000원",m
