,name,score,loc,lowest_price,category
0,수원 도노1796 호텔,4.6,30.9km,"50,000원",m
1,수원 구운동 세인트,4.7,31km,"35,000원",m
2,수원 구운동 다뉴브,4.2,구운사거리 인근-31.1km,"35,000원",m
3,수원 넘버25 수원화성행궁점,4.8,팔달문 하이가 NO.25로 새롭게오픈!-31.8km,"35,000원",m
4,수원역 썸,3.5,수원세무서 인근-32.7km,"33,000원",m
5,수원역 The별,4.3,수원역 7번 출구 도보 5분-32.7km,"27,900원",m
6,수원역 라리아,4.6,수원역 도보 2분-32.9km,"30,000원",m
7,수원(세류역) 피닉스,4.8,35.5km,"42,000원",m
8,수원역 BIZ Hotel (비즈),4.5,수원역 도보 5분거리 위치-32.6km,"29,000원",m
9,수원역 Boutique Hotel XYM,4.7,"수원역 7번,11번 출구 도보 5분 거리-32.7km","35,000원",m
10,수원역 디자인호텔 칸,4.4,수원역 7번 출구 도보 5분-32.8km,"35,000원",m
11,수원역 해시,4.7,수원역 도보 약 8분-32.6km,"35,000원",m
12,수원역 자볼레,4.8,수원역 7번출구 도보5분-32.7km,"40,000원",m
13,수원 넘버25 수원경기대점,4.8,"넷플릭스,배틀그라운드2pc -30km","35,000원",m
14,수원 팔달문 허브,4.9,31.8km,"30,000원",m
15,수원역 M,4.5,수원역 도보 5분거리 위치-32.8km,"27,000원",m
16,수원(영화동) 달빛여관,4.8,30.6km,"30,000원",m
17,수원 구운동 파티즈,4.7,31km,"45,000원",m
18,수원역 페이지,4.5,"전 객실 넷플릭스, 유튜브 시청-32.7km","27,000원",m
19,수원 구운동 피렌체,4.7,서수원시외버스터미널 인근-31km,"35,000원",m
20,수원역(로데오) SOME,4.5,수원역 7번출구 도보5분-32.7km,"28,000원",m
21,수원 구운동 月 (월),4.6,31km,"40,000원",m
22,수원역 호텔 맘(MOM),4.6,수원역 4번출구 인근-32.8km,"28,000원",m
23,수원(북수동) 호텔 달(Dal),4.9,31km,"35,000원",m
24,수원역 J호텔(구 메이저),4.2,수원역 도보 약 6분-32.6km,"35,000원",m
25,수원역 로데오 아이비,4.9,수원역 도보 5분거리-32.8km,"35,000원",m
26,수원역 명작호텔,4.7,수원역 8번출구 도보 5분-32.8km,"30,000원",m
27,수원(세류역) 쟈니비,4.5,35.6km,"40,000원",m
28,수원역 71번가 - 71st,4.5,수원역 1번출구 5분거리-32.8km,"30,000원",m
29,수원역 W (Its W),4.8,32.7km,"30,000원",m
30,수원(호매실) 아리테 호텔,4.8,서수원 홈플러스 500M-31.8km,"50,000원",m
31,수원 구운동 네오,4.6,구운오거리 도보 약 3분-31km,"33,000원",m
32,수원 장안 썬스타,4.7,30.9km,"35,000원",m
33,수원(세류역) 자바,4.7,35.6km,"35,000원",m
34,수원(세류역) 해바라기,4.7,세류역 1번출구 도보 3분거리-35.5km,"45,000원",m
35,수원 호텔여기어때 수원정자점,4.8,28.6km,"40,000원",m
36,수원 구운동 램파트,4.7,31km,"50,000원",m
37,수원 탑클라우드 호텔,4.7,"5성급 호텔 최고급침구, 호텔식 욕실조명-30.3km","50,000원",m
38,수원 코지,4.7,29.9km,"35,000원",m
39,수원역 호텔 마루,4.8,32.7km,"30,000원",m
40,수원 세류동 O2L,4.7,세류역 1번출구 5분거리-35.6km,"40,000원",m
41,수원(세류역) 오라고,4.8,서울1호선 세류역 1번출구-35.5km,"35,000원",m
42,수원 구운동 필름 37.2,4.2,31.1km,"40,000원",m
43,수원(세류역) A1,4.7,35.5km,"35,000원",m
44,수원역 아모레미오 더 클래식,4.4,수원역 7번출구 도보 5분-32.7km,"30,000원",m
45,수원 호매실 스타호텔,4.6,31.7km,"50,000원",m
46,수원 호매실 로얄프라임 호텔,4.7,호매실 파출소 인근-31.7km,"60,000원",m
47,수원 유토피아,4.6,효자문 사거리 도보 5분-28.5km,"45,000원",m
48,수원(영화동) 허브,4.5,30.5km,"30,000원",m
49,수원(영화동) 테마,4.5,30.4km,"36,000원",m
50,수원역 영일모텔,4.6,32.7km,"25,000원",m
51,수원역 라임 (Lime),4.6,수원역 도보 3분이내-32.7km,"30,000원",m
52,수원역 25H,4.4,수원역 7번 출구 도보5분-32.7km,"25,000원",m
53,수원 모텔나무,4.5,30km,"32,000원",m
54,수원(세류역) 아이비,4.3,35.5km,"30,000원",m
55,수원역 캣츠,4.7,1호선 수원역 인근-32.8km,"40,000원",m
56,수원 구운동 시네마,4.4,31.1km,"33,000원",m
57,수원(정자동) 데이오프,4.6,28.4km,"38,000원",m
58,수원 팔달문 르노,4.4,팔달문 인근-31.9km,"30,000원",m
59,수원 구운동 아마레,4.7,31km,"50,000원",m
60,수원(정자동) 레전드,4.5,효자문 사거리 도보 5분-28.6km,"30,000원",m
