,name,score,loc,lowest_price,category
0,월곶 pier 106,4.8,25.9km,"40,000원",m
1,월곶 Design Hotel XYM,4.6,월곶역 1번출구 도보10분-26km,"25,000원",m
2,월곶 더 클래식,4.8,마린월드 인근-26km,"40,000원",m
3,월곶 유니크 호텔 28,4.6,월곶역 도보 약 5분-26km,"35,000원",m
4,월곶 브라운도트 월곶역점,4.9,월곶역 1번출구 도보로 3분이내-26.1km,"55,000원",m
5,월곶 세븐,4.9,리모델링 GRAND OPEN 월곶세븐-26.1km,"25,000원",m
6,시흥 뉴로즈,4.7,30km,"35,000원",m
7,시흥 YAJA 시흥정왕점,4.6,"정왕역, 오이도역 차량이용 10분 이내-30.2km","40,000원",m
8,월곶 갤럭시,4.4,월곶역 1번출구 도보5분-26.1km,"26,000원",m
9,시흥 레스테이,4.6,30.1km,"40,000원",m
10,월곶 BOUTIQUE HOTEL 마리,4.8,26.1km,"35,000원",m
11,시흥(정왕동) 나비야,4.5,30.3km,"34,000원",m
12,월곶 나비야,4.5,수인선1호선 월곶역 도보5분-26km,"35,000원",m
13,시흥 호텔 리브레(Libre),4.8,"오이도,정왕역 10분 중앙도서관건너편-30km","60,000원",m
14,시흥 플럼,4.6,시흥종합버스터미널 도보 10분거리-30.1km,"40,000원",m
15,시흥 세븐헤르츠,4.7,시흥 종합 버스터미널 뒷편 20m거리한국산업 기술 대학교 반경 100m이내.-30.2km,"35,000원",m
16,시흥 자자(ZAZA),4.6,30.3km,"40,000원",m
17,시흥 부티크 호텔 K,4.7,시화 종합병원 인근 위치-30.1km,"35,000원",m
18,시흥 더 에스,4.7,시화병원 근처-30.3km,"40,000원",m
19,월곶 호텔 반월,4.5,26km,"25,000원",m
20,월곶 크루즈,4.7,월곶역 1번출구 도보3분거리-26km,"25,000원",m
21,시흥 레브,4.7,30.3km,"35,000원",m
22,시흥 월드 호텔,4.3,"정왕 2교 사거리 근방 50m
경기과학기술대학교 근방 500m-30.3km","40,000원",m
23,시흥 호텔엘리시움,4.8,30.2km,"50,000원",m
24,월곶 호텔 연,4.5,25.9km,"30,000원",m
25,월곶 HOTEL RG,4.7,26.1km,"30,000원",m
26,시흥 비앤비,4.7,30.2km,"45,000원",m
27,시흥 1박2일,4.1,19.1km,"33,000원",m
28,시흥(정왕동) 갤럭시,4.2,시흥종합버스터미널 인근-30.1km,"30,000원",m
29,시흥 포유,4.4,18.8km,"40,000원",m
30,월곶 IMT,4.4,수인선  월곶역 1번 출구 -26km,"25,000원",m
31,시흥 궁,4.3,경기과학기술대학교 인근 위치-30.3km,"40,000원",m
32,시흥 꾸띠,4.6,신천사거리 인근 위치-19.1km,"40,000원",m
33,시흥 부티크 호텔 T,4.6,"정왕역,오이도역 차량 이용 10분이내-30.3km","45,000원",m
34,시흥 티아라,4.6,30.3km,"50,000원",m
35,월곶 W호텔,4.6,월곶역 1번출구 도보 5분-26km,"20,000원",m
36,시흥 하트,4.5,30.3km,"33,000원",m
37,월곶 플러스,4.7,마린월드 인근-26.1km,"35,000원",m
38,시흥 봄날,4.7,19.2km,"40,000원",m
39,시흥 호텔 AM,4.9,19.2km,"50,000원",m
40,시흥 팜,4.7,30.3km,"35,000원",m
41,시흥 버니,4.4,30.1km,"30,000원",m
42,오이도 씨하이 호텔,4.7,33.2km,"70,000원",m
43,시흥(정왕동) X(엑스모텔),4.2,30.3km,"27,500원",m
44,월곶 Dream Palace (꿈의궁전),4.8,월곶역 1번출구 인근-26km,"30,000원",m
45,오이도 웨스트레이븐,4.6,32.4km,"60,000원",m
46,월곶 G,4.1,25.9km,"27,000원",m
47,시흥 라벤더,4.5,18.7km,"60,000원",m
48,오이도 관광호텔,4.5,32.5km,"60,000원",m
49,월곶 선샤인,4.2,25.8km,"35,000원",m
50,시흥 뉴서울,3.5,30.2km,"40,000원",m
51,시흥(신천동) W,3.5,19.1km,"50,000원",m
52,시흥 프라자,4.2,30.1km,"40,000원",m
53,시흥 플룻,4.6,29km,"45,000원",m
54,시흥 허니문,3.5,정왕역 1번출구-30.1km,예약마감,m
55,시흥 드라마,3.7,30.3km,"40,000원",m
56,오이도 호텔 빨간등대,4.6,32.6km,"60,000원",m
57,월곶 리스,4.0,25.9km,예약마감,m
58,시흥 서브웨이 호텔,4.7,19.2km,"40,000원",m
59,시흥 테마파크,3.5,30.1km,예약마감,m
60,월곶 원,3.5,25.9km,예약마감,m
61,시흥 서브웨이호텔,4.7,신천역 약 4분거리-19.2km,"50,000원",h
62,오이도 씨하이 호텔,4.8,오이도 약 5분거리-33.2km,예약마감,h
63,호텔 시흥 플럼,4.5,시흥종합버스터미널 차량 약 6분 -30.1km,"59,000원",h
64,시흥 월드 호텔,4.6,정왕역 2.55km-30.3km,"45,000원",h
65,브라운도트 월곶점,3.5,월곶역 도보 3분-26.1km,"70,000원",h
66,호텔 리브레,4.5,정왕역 차량 5분-30km,"70,000원",h
67,시흥(월곶) 더 클래식호텔,4.7,월곶역 도보 4분 거리-26km,"40,000원",h
68,부티크호텔 K 시흥,3.5,시흥시 정왕동-30.1km,예약마감,h
69,시흥 작은쉼터캠핑장&카라반,4.6,28.5km,"40,000원",f
