,name,score,loc,lowest_price,category
0,안산 루엠호텔,4.9,선부동 한도병원 앞-27.9km,"50,000원",m
1,안산 중앙동 탑,4.5,28.3km,"33,000원",m
2,안산 호텔 센스 (Design Boutique),4.7,롯데시네마 센트럴락점 인근-28.4km,"35,000원",m
3,안산 마리,4.5,중앙역 1번출구 도보 5분-28.4km,"32,000원",m
4,안산 테마파크,4.6,중앙역 1번출구 도보 5분-28.4km,"30,000원",m
5,안산 호텔 J,4.7,28.4km,"38,000원",m
6,안산 캐빈,4.8,28.4km,"40,000원",m
7,안산 이화,4.7,28.4km,"35,000원",m
8,안산 돔,4.8,중앙역 1번출구 도보5분-28.4km,"35,000원",m
9,안산(중앙동) HOTEL st.25,4.7,28.4km,"35,000원",m
10,안산 짝,4.6,중앙역 1번출구 도보 3분-28.4km,"35,000원",m
11,안산 캔,4.8,중앙역 1번출구 도보2분-28.5km,"35,000원",m
12,안산(한대앞) 헤르메스 호텔,4.7,29.2km,"45,000원",m
13,안산 고잔동 Hotel Orroy(호텔 오로이) 고잔신도시점,4.8,29.4km,"50,000원",m
14,안산(고잔동) MGM,4.7,29.4km,"45,000원",m
15,안산(상록수) 요기,4.8,상록수역 도보 2분거리-29.5km,"38,000원",m
16,안산 상록수 탑,4.7,상록수역 도보 3분거리-29.6km,"35,000원",m
17,안산 더 그레이,4.8,4호선 상록수역 1번출구 100M이내-29.6km,"38,000원",m
18,안산 3S BOUTIQUE HOTEL (무인텔),4.8,29.8km,"45,000원",m
19,안산 블루 9,4.8,본오동 우체국 인근-30.2km,"38,000원",m
20,안산(상록수) 그랜드,4.8,29.1km,"30,000원",m
21,안산 투나잇,4.8,상록수역 3번 출구-29.5km,"37,000원",m
22,안산 호텔 스테이 25,4.7,오목골공원 인근 위치-31km,"40,000원",m
23,안산 넘버25 안산점,4.5,중앙역 1번출구 도보5분 롯데시네마 옆-28.4km,"38,000원",m
24,안산 YAJA 안산 중앙점,4.4,중앙역 1번출구 도보 5분거리-28.4km,"33,000원",m
25,안산 Design Hotel XYM,4.6,중앙역 1번출구 도보 5분-28.3km,"40,000원",m
26,안산 호텔 케미甲,4.7,중앙역 1번출구 도보 3분-28.4km,"40,000원",m
27,안산 고잔동 브라운도트 안산고잔점,4.7,CGV 안산 근처-29.1km,"45,000원",m
28,안산 C&B,4.7,상록수역 1번출구 도보8분-29.5km,"45,000원",m
29,안산(고잔동) 카사미아,4.7,중앙역 2번 출구 도보 10분이내-29.4km,"50,000원",m
30,안산(상록수) 초콜릿,4.6,30.2km,"37,000원",m
31,안산 아이린,4.5,4호선 안산역 도보 10분-28.4km,"40,000원",m
32,안산 패션,4.7,농어촌연구원 인근 위치-32.2km,"33,000원",m
33,안산 로자벨 호텔,4.7,안산역 1번출구 도보10분/자차 3분거리-28.5km,"50,000원",m
34,안산 바인호텔,4.5,상록수역 3번출구 우측 200m 이내-29.5km,"65,000원",m
35,안산 자자,4.4,27.5km,"38,000원",m
36,안산(월피동) 나인,4.8,삼성디지털프라자 인근-27.1km,"35,000원",m
37,안산 Boutique Hotel 레니엘,4.7,안산 중앙역 지하철 4호선 1번출구 근방-28.5km,"35,000원",m
38,안산 호텔 버스,4.6,27.6km,"40,000원",m
