,name,score,loc,lowest_price,category
0,안양 호텔 문,4.6,큰숲 안양워터랜드 인근-15.6km,"35,000원",m
1,안양 AMA 드라이브인 HOTEL,4.5,16.1km,"49,000원",m
2,인덕원 VALT HOTEL,4.7,인덕원역 4번출구 롯데리아 뒷편-17.9km,"40,000원",m
3,안양 호텔 패션,4.8,안양역 1번출구 도보5분-18km,"40,000원",m
4,안양 YAJA 안양1번가점,4.5,안양역 1번출구 도보 10분-18.2km,"29,000원",m
5,안양 Premier Hotel XYM,4.5,안양역 1번출구 도보10분-18.2km,"35,000원",m
6,평촌 26HOTEL,4.8,평촌역 2번출구 도보5분-18.6km,"50,000원",m
7,평촌 27HOTEL,4.8,평촌역 도보 2분거리-18.6km,"50,000원",m
8,평촌 쁠랑,4.5,4호선 평촌역 도보 1분-18.6km,"50,000원",m
9,평촌 씨마,4.8,평촌역 1번출구-18.6km,"50,000원",m
10,평촌 코아&2060,4.4,"평촌역 1번 출구, 한림대성심병원 앞위치-18.6km","40,000원",m
11,평촌 YAJA 평촌역점,4.5,평촌역 1번 출구 3분 거리-18.6km,"40,000원",m
12,평촌 짬(ZZAM),4.8,평촌역 1번출구 로데오거리방향 도보 5분거리-18.6km,"50,000원",m
13,안양 라인,4.7,명학역 1번출구 도보 8분-18.6km,"30,000원",m
14,안양 펠리스,4.8,1호선 명학역 도보 10분-19.2km,"35,000원",m
15,안양 그랜드젬,4.7,16.8km,"35,000원",m
16,안양 호텔 인 카페,4.5,명학역 1번출구 인근-19.5km,"30,000원",m
17,인덕원 첼로,4.5,인덕원역 2번출구 인근-18km,"45,000원",m
18,인덕원 호텔 모아,4.3,인덕원역 인근 모텔!-18.1km,"40,000원",m
19,안양 샤르망,4.7,CGV 안양 인근-18km,"30,000원",m
20,안양 칼리토,4.5,안양 CGV 인근 위치-18km,"32,000원",m
21,인덕원 이안,4.7,인덕원역 4번출구 인근-17.9km,"60,000원",m
22,안양 삼원프라자(Boutique)호텔,4.5,맥도날드 인근-18.1km,"50,000원",m
23,안양 일로와,4.8,안양역 1번출구 도보 6분-18.1km,"40,000원",m
24,인덕원 TUUS,4.6,인덕원역 4번출구 도보1분-17.9km,"40,000원",m
25,안양 범계 호텔 여기어때 (범계점),4.3,18.9km,"45,000원",m
26,안양 SJ boutique HOTEL,4.6,17.8km,"30,000원",m
27,안양 그린로즈,4.4,CGV 안양 인근-18km,"30,000원",m
28,안양 JD,4.7,19km,"30,000원",m
29,안양 A7,4.7,명학역 1번출구 인근-19.4km,"40,000원",m
30,안양 SS(상상),4.8,안양 CGV 인근 위치-18km,"45,000원",m
31,안양 포지타노,4.4,19.4km,"28,000원",m
32,안양 핀,4.8,19.2km,"35,000원",m
33,안양 애인,4.7,19.2km,"38,000원",m
34,안양 CNC Hotel,4.7,17.7km,"37,000원",m
35,안양 JM,4.6,19km,"28,000원",m
36,안양 범계 호텔 별,4.8,범계역 2번 출구 5분거리-18.8km,"45,000원",m
37,인덕원 발리,4.2,인덕원역 3번출구 인근-18.1km,"45,000원",m
38,평촌 에비뉴 186,4.6,18.5km,"55,000원",m
39,안양 Ann,4.7,안양7동 주민센터 도보 3분-19km,"40,000원",m
40,안양 테라스,4.4,명학역 도보 100m-19.2km,"35,000원",m
41,안양 콤비,4.7,21.5km,"35,000원",m
42,인덕원 월 (月),4.7,18.1km,"50,000원",m
43,안양 이브,4.7,19.1km,"35,000원",m
44,안양 리베라,4.7,18km,"31,000원",m
45,안양 버팔로,4.5,17.5km,"30,000원",m
46,인덕원 스카이(SKY),4.8,4호선 인덕원역 3번출구-17.9km,"40,000원",m
47,안양 돈키호텔,4.7,안양역 1번출구 도보로 8분-18.1km,"30,000원",m
48,안양 라노비아,4.7,17.9km,"30,000원",m
49,안양 루,4.4,관악역 2번출구-16.1km,"23,000원",m
50,안양 에버덴 호텔,4.7,18.1km,"50,000원",m
51,안양 자미아,4.4,17.8km,"25,000원",m
52,안양 꾸띠,4.0,17.8km,"30,000원",m
53,안양 SKY 캐슬,4.7,16.1km,"30,000원",m
54,안양 The One(더원),4.6,안양역 1번출구 도보 5분-18km,"30,000원",m
55,안양 코암호텔,4.4,안양역 1번출구 도보 약 10분-18.7km,"40,000원",m
56,안양 필,4.0,안양역 1번출구 도보 5분-18km,"35,000원",m
57,안양 내안에너,4.7,명학역 도보 5분거리-19.3km,"28,000원",m
58,안양 위너스,4.6,1호선 명학역 도보 10분-19.2km,"35,000원",m
59,안양 스카이,3.5,명학역 1번출구 도보3분이내 위치-19.3km,예약마감,m
60,인덕원 블리스,4.6,4호선 인덕원역 2번출구 30m 골목-18km,"40,000원",m
61,안양 영동 모텔,4.8,19.4km,"29,800원",m
62,안양 식스(Six),4.8,19km,"29,000원",m
63,인덕원 브라운스톤,4.3,인덕원역 3번출구 인근-18km,예약마감,m
64,안양 CS premier,4.5,16.2km,"50,000원",m
65,안양 퀸,4.0,17.5km,"33,000원",m
66,안양 나인9,4.4,17.7km,예약마감,m
67,안양 M,4.0,1호선 안양역 도보 5분거리-18km,"22,000원",m
68,안양 허브(예술공원),4.4,16.1km,"35,000원",m
69,안양 센트로,4.7,21.4km,"40,000원",m
70,안양(만안구청) 초콜렛,4.8,안양 만안구청 도보 5분거리-19.2km,"35,000원",m
71,과천 블랑,4.1,15.2km,"45,000원",m
72,인덕원 센트럴 호텔,3.5,인덕원역 50m 이내 위치-18km,예약마감,m
73,안양 재밌는모텔,4.0,18km,"27,000원",m
74,안양 안호텔,4.2,명학역(성결대학교) 1번출구 도보 10분-19km,"50,000원",h
75,CS 프리미어 호텔,4.4,안양시 안양예술공원 입구-16.2km,"50,000원",h
76,호텔 이루다,4.6,안양시 명학역-19km,"80,000원",h
77,코암관광호텔,4.3,안양시 명학역-18.7km,"45,500원",h
78,안양 센트럴 관광 호텔,3.8,인덕원역 4번출구 50m-18km,"120,000원",h
79,안양 일로와호텔,3.8,안양역 1번 출구 도보 8분-18.1km,"42,400원",h
80,삼원프라자 호텔,4.8,안양시 안양1번지-18.1km,"56,820원",h
