,name,score,loc,lowest_price,category
0,양주 넘버25 양주송추점,4.8,송추IC에서 차량으로 3분거리-18.5km,"29,900원",m
1,양주 HOTEL 무인 다이안,4.6,크라운 해태 자연휴양림 인근 위치-22.2km,"40,000원",m
2,양주 라온 드라이브인무인텔,4.8,양주 기산저수지 인근-24.2km,"40,000원",m
3,양주 팰리스 무인텔,4.4,기산 저수지 인근 위치-24.3km,"30,000원",m
4,양주 MOTEL ZAZA,4.4,31.7km,예약마감,m
5,양주 라떼호텔 (전 객실 드라이브인),4.7,34.1km,"50,000원",m
6,동두천 저스트슬립호텔 지행역점,4.8,2019.09 OPEN  동두천최고의호텔-37.9km,"50,000원",m
7,동두천 세인트,4.5,38.6km,"40,000원",m
8,동두천 시마,4.7,39.5km,"40,000원",m
9,연천(전곡) 인강,4.8,50.7km,"35,000원",m
10,양주 시그널 드라이브인,4.6,23.8km,"50,000원",m
11,동두천 꿈에그린,4.6,39.2km,"35,000원",m
12,연천 한탄강,4.3,50.9km,"35,000원",m
13,양주 HOTEL RX,4.2,20.7km,"40,000원",m
14,양주 갤러리 호텔,4.3,23.8km,"30,000원",m
15,양주 장흥 해,4.6,장흥 ND야구장 인근위치-18km,"40,000원",m
16,동두천 월드,4.5,지행역 1번 출구 인근 위치-38km,"35,000원",m
17,양주 M,4.3,양주 기산저수지 인근-21km,"30,000원",m
18,양주 HOTEL Black,4.5,28.7km,"70,000원",m
19,연천 미라클,4.0,70.7km,"35,000원",m
20,양주 카라,4.3,34km,"40,000원",m
21,동두천 하이브,4.7,소요산역 1번 출구 인근-43.4km,"30,000원",m
22,양주 JS호텔 (드라이브인&무인텔),4.8,31.6km,"60,000원",m
23,양주 케이플러스 호텔,4.8,31.9km,"50,000원",m
24,동두천 테마,4.4,38km,"40,000원",m
25,동두천 힐링,4.2,동두천중앙역 1번출구 5분-39.1km,"30,000원",m
26,동두천 렉시,4.6,39.2km,"40,000원",m
27,동두천 호텔 더그레이,4.7,39.3km,"45,000원",m
28,양주 이쁘다양주,3.5,31.8km,예약마감,m
29,양주 발렌타인,4.7,31.7km,"40,000원",m
30,동두천 캄,5.0,36.5km,"40,000원",m
31,양주 PD,4.6,25km,"40,000원",m
32,양주 라마다,4.6,양주 문화회관 인근 위치-29.5km,"45,000원",m
33,양주 MU,4.3,아트벨리 인근 위치-20.5km,"33,000원",m
34,양주 아리오,4.7,18.1km,"30,000원",m
35,동두천 로쥬모텔,3.5,39.7km,"35,000원",m
36,양주 코리아,4.6,양주골 한우마을 인근-23.8km,"30,000원",m
37,연천 그린모텔,3.5,54km,"30,000원",m
38,동두천 그린파크,3.7,39.2km,"30,000원",m
39,동두천 카라,3.4,동두천중앙역 1번출구 5분-39.5km,"35,000원",m
40,동두천 아비숑,4.8,동두천 신터미널 바로 옆 위치-36.6km,"40,000원",m
41,양주 HELLO,5.0,20.8km,예약마감,m
42,동두천 샵,4.4,39.4km,"35,000원",m
43,연천 아비숑,3.5,52.7km,"40,000원",m
44,연천 궁전,5.0,52.7km,예약마감,m
45,양주 장흥 조아텔,4.7,22.2km,"27,000원",m
46,양주 힐하우스,3.0,23.9km,"30,000원",m
47,연천 씨엘,3.0,50.9km,"40,000원",m
48,양주 수 호텔,3.5,기산저수지 인근-24km,"30,000원",m
49,양주 Y,4.1,24.3km,"30,000원",m
50,연천 홀인원,3.0,한탄강역 도보 10분거리-50.9km,"40,000원",m
51,양주(장흥) 파인힐,4.7,20.7km,예약마감,m
52,연천 쉬리,3.5,74.7km,"40,000원",m
53,동두천 탑리조텔,3.5,동두천수련원 주변 위치-39km,"40,000원",m
54,양주 CC,3.3,기산 저수지 인근 위치-24.1km,"30,000원",m
55,양주 필,4.5,양주 윗가마골 인근 위치-20.4km,"35,000원",m
56,양주 캘리포니아,4.5,34.3km,"34,900원",m
57,연천 신라,3.5,61km,예약마감,m
58,양주 버킹검,5.0,23.8km,예약마감,m
59,연천 초성모텔,3.5,48.2km,"40,000원",m
60,동두천 K2,3.5,44km,예약마감,m
61,양주 보림,5.0,37.2km,"33,000원",m
62,동두천 제일모텔,4.3,40km,"30,000원",m
63,연천 여기서자자,3.3,52.9km,예약마감,m
64,연천 투 팬션모텔,3.5,신병교육대 28단 15분 5사단 3분-53.8km,"40,000원",m
65,동두천 호텔 더그레이,4.3,동두천중앙역 도보 5분-39.3km,"50,000원",h
66,동두천 시마호텔,4.7,동두천 중앙역 근처-39.5km,"45,000원",h
67,동두천 렉시호텔,4.7,동두천역 약 5분거리-39.2km,"50,000원",h
68,백학자유로리조트,4.4,연천군청 차량 30분-49.7km,"75,000원",h
69,양주송추넘버25호텔,4.4,송추IC 차량 3분거리-18.5km,"50,000원",h
70,연천 스텔라토풀빌라(프라이빗 스파),4.7,자체픽업 가능-51km,"149,000원",f
71,연천 비경펜션,4.7,51.7km,"84,000원",f
72,동두천 그림책동화마을품카라반,4.8,39km,예약마감,f
73,동두천 어울림펜션,4.7,40.3km,"40,000원",f
74,연천 열두개울펜션,3.5,49km,"100,000원",f
75,"연천 위드독애견펜션(독채,개별마당)",4.3,50.8km,"99,000원",f
76,연천 쫑이와메리펜션,4.8,50.8km,"125,000원",f
77,연천 욜로캠프펜션,4.5,47.8km,"80,000원",f
78,연천 가람휴펜션,3.5,47.8km,"350,000원",f
79,연천 선바위 펜션,2.9,자체픽업 가능-53.9km,"96,000원",f
80,양주 수경당한옥펜션,4.0,24km,"100,000원",f
81,양주 장흥힐링펜션,5.0,21.3km,"100,000원",f
82,연천 솔내음숲속작은집펜션,4.6,56.1km,"110,000원",f
83,연천 야생초마을아미골펜션,3.5,50.8km,"80,000원",f
84,동두천 수연정펜션,3.3,40.4km,"68,000원",f
85,연천 왕의자택펜션,3.5,자체픽업 가능-50.8km,"50,000원",f
86,연천 수영장키즈스파펜션,4.5,74.6km,"130,000원",f
87,양주 장흥해일농장펜션,4.7,16.7km,"99,000원",f
88,연천 토토멍풀빌라,3.5,50.9km,"180,000원",f
89,연천 하늘과구름펜션,3.5,50.9km,"150,000원",f
90,양주 송추오봉펜션,2.0,17.4km,"100,000원",f
91,양주 딱따구리리조트,4.7,30.2km,"50,000원",f
92,양주 개명연수원펜션,3.5,20.8km,"200,000원",f
93,연천 더블스테이또또멍애견펜션(5호점),4.0,50.9km,예약마감,f
94,연천 더블스테이또또멍애견펜션(3호점),3.0,50.8km,예약마감,f
95,양주 펜션연가,4.2,23.9km,"90,000원",f
96,양주 그레이캐슬펜션,4.6,20.1km,"100,000원",f
97,연천 더블스테이또또멍애견펜션(2호점),4.0,50.8km,예약마감,f
98,연천 허브빌리지펜션,4.6,58.8km,"140,000원",f
99,양주 선녀와나무꾼글램핑,4.8,30.9km,"79,000원",f
100,연천 조각가박시동미술관펜션,4.5,54.8km,"80,000원",f
101,양주 레마르크펜션,4.5,20.2km,"120,000원",f
102,연천 사나래글램핑파크펜션,4.8,59km,"60,000원",f
103,연천 위드독펜션,4.6,50.9km,"99,000원",f
104,양주 한옥촌신선마을펜션,3.5,14km,"160,000원",f
105,양주 그레이스밸리펜션,4.6,20.3km,"80,000원",f
106,연천 더블스테이또또멍애견펜션(1호점),3.5,자체픽업 가능-50.8km,예약마감,f
107,양주 여울목펜션,3.3,20.1km,"60,000원",f
108,동두천 소설펜션,4.3,40.1km,"100,000원",f
109,연천 조선왕가펜션&글램핑,3.5,57.5km,예약마감,f
110,양주 솔내음한옥펜션,3.5,15.5km,"130,000원",f
111,양주 아트시티2펜션,4.4,자체픽업 가능-19.9km,"80,000원",f
112,양주 한옥촌 신선마을,5.0,남경수목원 -13.9km,"160,000원",g
