,name,score,loc,lowest_price,category
0,양평 넘버25 서종점,4.8,37km,"60,000원",m
1,양평 썸 드라이브인,4.6,40.3km,"50,000원",m
2,양평 HOTEL SHOW,4.5,42.3km,"40,000원",m
3,양평 더테라스 호텔,4.9,42.8km,"70,000원",m
4,양평 DRIVE IN 9,4.9,42.8km,"60,000원",m
5,양평 소르 호텔,4.8,43.1km,"70,000원",m
6,양평 호텔 Y,4.0,46.4km,"40,000원",m
7,양평 앨리스의 문,4.7,36.8km,예약마감,m
8,양평 다이안 무인텔,4.4,강하예술공원 인근 위치-42.4km,"30,000원",m
9,양평 지오,4.4,양평군청 인근 위치-47.8km,"30,000원",m
10,양평 VIP하우스,4.7,양평군청 인근-48.9km,예약마감,m
11,양평 리버하우스,4.4,48.8km,"50,000원",m
12,양평 렉시,4.9,71.1km,"40,000원",m
13,양평 인앤아웃,4.8,43.6km,"60,000원",m
14,양평 N모텔,4.5,36.7km,"48,000원",m
15,양평 티파니,4.5,48.9km,"40,000원",m
16,양평 J 호텔,4.3,43.9km,"45,000원",m
17,양평 더 뷰,4.7,42.8km,"50,000원",m
18,양평 로데오,4.1,양평군청 인근 위치-47.3km,예약마감,m
19,양평 다이애나궁,4.1,양평군청 인근 위치-47.4km,"30,000원",m
20,양평 로즈파크,4.0,경의중앙선 용문역 인근-57.7km,"40,000원",m
21,양평 헤임 무인텔,4.0,국수역 1번 출구 인근 위치-41.4km,"40,000원",m
22,양평 뉴욕,4.4,48.2km,"50,000원",m
23,양평 NOT A HOTEL(나더호텔),4.2,58.9km,"50,000원",m
24,양평 9월,4.4,49.2km,"45,000원",m
25,양평 리베,4.1,44.1km,"40,000원",m
26,양평 그린모텔,4.5,39km,"40,000원",m
27,양평 가인 드라이브인 무인텔,5.0,강하 생활 체육공원 인근 위-42.9km,"50,000원",m
28,양평 아리아,3.6,강하예술공원 인근-43km,"29,000원",m
29,양평 갤럭시 무인텔,3.7,37.7km,"45,000원",m
30,양평 COZY,4.4,서종면 사무소 인근 위치-37km,"35,000원",m
31,양평 SUN,4.0,37.1km,"45,000원",m
32,양평 드라이브인 호텔 히든포레,4.5,테라아트랜드 인근 위치-39.3km,"50,000원",m
33,양평 올레 Drive-in,4.4,강하예술공원 인근-42.5km,"40,000원",m
34,양평 엘리스,3.5,강하생활체육공원 인근 위치-42.4km,예약마감,m
35,양평 현대무인텔,4.2,42.7km,"30,000원",m
36,양평 리베리온 호텔,4.5,37km,예약마감,m
37,양평 W호텔,4.2,43km,예약마감,m
38,양평 BNB(비앤비),4.0,56.5km,"40,000원",m
39,양평 허브,4.3,양평 불곡리예비군훈련장 인근-53.5km,"40,000원",m
40,양평 첼로파크,3.5,53km,"35,000원",m
41,양평 모텔 샾,4.4,76km,"40,000원",m
42,양평 원,4.9,양평역 1번출구 인근 위치-47.7km,"35,000원",m
43,양평 모나코,4.2,42.9km,예약마감,m
44,양평 짱모텔,4.0,49.1km,"40,000원",m
45,양평 더스타휴 빌리지,4.8,양평군 더스타휴CC-67.5km,"140,000원",h
46,양평 블룸비스타,4.8,양평군 강하면-42.8km,"107,350원",h
47,소노문양평(구양평대명리조트),3.9,양평군 개군면-53km,"84,000원",h
48,한화리조트 양평,4.3,국립 중미산 자연휴양림 5km-45.3km,"84,000원",h
49,양평 아바타펜션,4.0,자체픽업 가능-37km,"80,000원",f
50,"양평 뉴스페이스펜션(스파,호텔식침구)",4.1,자체픽업 가능-38.8km,"89,000원",f
51,"양평 펜션후(중미산 자연휴양림,스파)",3.6,45.4km,예약마감,f
52,양평 팰리스리조트(무료스튜디오촬영),4.8,58.1km,"169,000원",f
53,양평 베아트리체펜션,4.8,자체픽업 가능-59.1km,"60,000원",f
54,"양평 레몬그라스펜션 (20년신축,독채)",4.9,61km,"149,000원",f
55,"양평 가원별장펜션(애견,독채,스파)",4.2,자체픽업 가능-61.1km,"99,000원",f
56,"양평 미끄라트펜션 (독채,세미나실)",4.7,자체픽업 가능-61.2km,"79,000원",f
57,"양평 씨에스타펜션 (픽업,노래방기계보유)",4.6,자체픽업 가능-62.6km,"109,000원",f
58,"양평 라팡드포레펜션(비발디파크,MD추천)",4.9,자체픽업 가능-64.6km,"89,000원",f
59,양평 풀스테이조이풀빌라,3.5,자체픽업 가능-72.7km,"238,000원",f
60,양평 갈기산포레스트힐펜션,5.0,72.9km,"230,000원",f
61,양평 솔까치펜션(20.11리모델링),4.0,59.8km,"200,000원",f
62,양평 노트북펜션,4.9,60.1km,"91,000원",f
63,양평 이솝이야기펜션,4.7,자체픽업 가능-61.4km,"128,000원",f
64,"양평 스윗트리펜션(스파,MD추천)",4.3,자체픽업 가능-64.4km,"65,000원",f
65,"양평 쁘띠샬레펜션(최신노래방,비발디)",4.9,자체픽업 가능-61.4km,"109,000원",f
66,양평 도로시밸리펜션 (MD추천),4.6,61.1km,예약마감,f
67,양평 클럽타피올라펜션,4.7,자체픽업 가능-71km,"129,000원",f
