,name,score,loc,lowest_price,category
0,용인 탑,4.6,분당선 구성역 2번출구-32.6km,"50,000원",m
1,용인 벨리노 S,4.8,32.7km,"50,000원",m
2,용인 신갈 M7,4.6,신갈오거리 도보 약3분-35.2km,"40,000원",m
3,용인 브라운도트 용인점,4.7,루프탑에서 배달음식도 마음껏!-43km,"45,000원",m
4,용인 엘레강스,4.1,신갈이리소공원 근처-35km,"40,000원",m
5,용인 신갈 스카이,4.7,상갈파출소사거리 인근-35.2km,"50,000원",m
6,용인 소설스미스 호텔,4.4,36.9km,"55,000원",m
7,용인 아미 부띠끄,4.5,기흥 IC 2분거리-39.8km,"50,000원",m
8,용인 호텔 와우,4.7,42.9km,"40,000원",m
9,용인 오스카,4.7,중앙시장 사거리 50m 내-43km,"45,000원",m
10,용인 호텔 에비뉴 용인처인구점,4.5,"에버랜드 차량 15분, 터미널 차량 3분-44.1km","38,000원",m
11,용인 양지 스위트,4.8,46.5km,"37,000원",m
12,용인 양지 베너호텔,4.7,양지사거리에서 차로 1분-47.8km,"45,000원",m
13,용인 컬리넌,4.5,터미널사거리 도보 5분-43.2km,"44,990원",m
14,용인 호텔 주노 (용인시청점),4.7,에버랜드 차량 (6.4km 7분 거리)-40.3km,"50,000원",m
15,용인 YAJA 용인터미널점,4.8,43km,"45,000원",m
16,용인 헤르메스 호텔,4.8,"운동장, 송담대역 인근-42.9km","45,000원",m
17,용인 J,4.4,43.2km,예약마감,m
18,용인 양지 마리,4.8,CU편의점 인근-48km,"40,000원",m
19,용인 양지 호텔카사,4.7,48km,"45,000원",m
20,용인 몬터레이 17,4.8,SK 주유소 인근-37.4km,"60,000원",m
21,용인 호텔 문라이즈,4.8,29.7km,"50,000원",m
22,용인 HOTEL VOLE,4.5,풍덕천 사거리 인근-29.6km,"50,000원",m
23,용인 IMT,4.6,죽전역 도보 약 10분-29.6km,예약마감,m
24,용인 썬스테이,4.7,김량장주공2단지아파트 인근-42.8km,"56,000원",m
25,용인 리젠드 호텔,4.6,신분당선 수지구청역 도보10분-29.6km,"50,000원",m
26,용인 172st,4.6,29.7km,"50,000원",m
27,용인 자자,4.5,42.9km,"38,000원",m
28,용인 양지 샹그리아,4.8,양지 사거리 인근에 위치-47.2km,"50,000원",m
29,용인 신갈 상상호텔 1,4.5,35.2km,"45,000원",m
30,용인 스튜디오 9,4.5,43km,"45,000원",m
31,용인 신갈 스타,3.5,33km,"40,000원",m
32,용인 파인,4.5,LG세이커스유소년농구클럽 동탄지점 인근-39.8km,"60,000원",m
33,용인 넘버25 용인터미널점,4.7,42.9km,"40,000원",m
34,용인 자유 무인텔,4.7,55.3km,"50,000원",m
35,용인 신갈 나인틴(9 teen),4.7,태광 CC 인근-33km,"40,000원",m
36,용인 초콜릿,4.3,43.2km,"35,000원",m
37,용인 신갈 가즈아(GAZUA),4.7,분당선 신갈역 인근 위치-33km,"40,000원",m
38,용인 자주(J&J),4.6,"운동장, 송담대역 1번출구-42.8km","35,000원",m
39,용인 부띠크 호텔 BIEN,4.5,39.8km,"50,000원",m
40,용인 SR디자인 호텔,4.7,중앙시장사거리 도보 5분-43km,"50,000원",m
41,용인 신갈 메리엘,4.8,수원.신갈 IC 3분 거리-33km,"45,000원",m
42,용인 칼튼 호텔,4.5,풍덕천 사거리 인근-29.7km,"38,000원",m
43,용인 이스키아,4.6,36.9km,"77,000원",m
44,용인 신갈 호텔오다,4.5,신갈JC-33.1km,"35,000원",m
45,용인 신갈 라고,4.8,수원.신갈 IC 차량 3분거리-33.1km,"50,000원",m
46,용인 Hotel Astro,4.7,29.7km,"88,000원",m
47,용인 캐슬 호텔,4.8,42.8km,"40,000원",m
48,용인 발렌타인,4.6,44.7km,"35,000원",m
49,용인 에버랜드 Q,4.2,38.7km,"55,000원",m
50,용인 G,4.6,29.6km,"45,000원",m
51,용인 양지 발리,4.9,47.8km,"40,000원",m
52,용인 벨라지오호텔,4.5,29.6km,"45,000원",m
53,용인 메트로21,4.7,29.6km,"45,000원",m
54,용인 양지 스테이호텔,4.6,50km,"50,000원",m
55,용인 에버랜드역 G7 호텔,4.6,38.9km,"55,000원",m
56,용인 모현모텔,4.6,36.8km,예약마감,m
57,용인 신갈 M,4.1,35km,"40,000원",m
58,용인 양지 쉬리,4.4,46.9km,"40,000원",m
59,용인 골든파크,3.5,42.8km,"40,000원",m
60,용인 신갈 에이스,4.6,수원신갈 ic로 진입-35.4km,"50,000원",m
61,용인 양지 베네치아,4.4,48km,예약마감,m
62,용인 카멜레온,4.7,42.9km,"37,000원",m
63,용인 삼성 모텔,3.8,42.5km,"40,000원",m
