,name,score,loc,lowest_price,category
0,의정부 글로우,4.7,21.4km,"40,000원",m
1,의정부 HOTEL U,4.7,21.4km,"40,000원",m
2,의정부 엘리,4.6,21.4km,"35,000원",m
3,의정부 HOTEL KAYLA,4.7,21.4km,"33,000원",m
4,의정부 이끌림,4.8,21.4km,"45,000원",m
5,의정부 STAGE79,4.6,2021.01GRAND OPEN-21.4km,"40,000원",m
6,의정부 큐브,4.4,21.4km,"30,000원",m
7,의정부 무인텔 다오,4.3,의정부역 도보 약 5분-21.5km,"35,000원",m
8,의정부 프리미엄 XYM 호텔(신세계백화점 뒤),4.7,21.5km,"40,000원",m
9,의정부 M,4.7,의정부역 7번출구 도보 7분-21.5km,"30,000원",m
10,의정부 NY70,4.9,21.01 OPEN! 의정부 신축호텔오픈-21.7km,"50,000원",m
11,의정부 반월,4.5,의정부역 도보 3분거리 위치-22.1km,"40,000원",m
12,의정부 비바,4.8,22.1km,"33,000원",m
13,의정부 G HOTEL,4.4,의정부중앙역 1번출구-22.2km,"35,000원",m
14,의정부 스타루비,4.7,22.4km,"38,000원",m
15,의정부 호텔앤유,4.7,의정부중앙역 인근-22.3km,"40,000원",m
16,의정부 라트리 호텔,4.7,경기도청북부청사역 도보 약 3분-23.8km,"45,000원",m
17,의정부 7th Street THE CLASS,4.6,의정부역 1번출구 도보5분-21.4km,"30,000원",m
18,의정부 7th Street THE PLAY,4.7,의정부역 1번출구 도보 2분-21.4km,"38,000원",m
19,의정부 Jbis HOTEL,4.7,경기도 북부청사 맞은편 / 송추가마골 옆-23.8km,"45,000원",m
20,의정부 HOTEL BENE,4.7,의정부역 3번출구 도보 1분거리-21.8km,"40,000원",m
21,의정부 호텔 오레,4.7,1호선 의정부역 인근 위치-21.5km,"40,000원",m
22,의정부 프로방스,4.4,21.5km,"28,000원",m
23,의정부 그루,4.6,의정부역 5번 출구 인근 위-22km,"30,000원",m
24,의정부 이조이,4.7,의정부역 7번출구 우회전 도보 10분 거리-21km,"30,000원",m
25,의정부 HOTEL CIMA,4.6,21.4km,"35,000원",m
26,의정부 호텔 헤드원,4.6,의정부중앙역 2번출구 인근-22km,"35,000원",m
27,의정부 버스,4.4, 의정부역 1번출구 도보5분-21.5km,"30,000원",m
28,의정부 라구나,4.8,신세계 백화점 인근 위치-21.3km,"45,000원",m
29,의정부 붐,4.5,의정부역 2번출구 도보15분-21.4km,"40,000원",m
30,의정부 썸,4.7,21km,"33,000원",m
31,의정부 호텔 더 화인,4.5,22.1km,"35,000원",m
32,의정부 호텔 스타,4.8,18.8km,"45,000원",m
33,의정부 호텔 일루와,4.5,21.5km,"30,000원",m
34,의정부 일루젼,4.6,파발교차로 인근-22.3km,"30,000원",m
35,의정부 퓨전,4.5,망월사역 3번출구 인근 위치-18.6km,"35,000원",m
36,의정부 피아노,4.5,파발 교차로 도보 5분거리-22.3km,"30,000원",m
37,의정부 J,4.3,의정부역 1번출구 도보1분-21.4km,"30,000원",m
38,의정부 아이,4.6,의정부터미널 도보 5분 거리-22.3km,"30,000원",m
39,의정부 K레브,4.1,22.2km,"33,000원",m
40,의정부 리오젠,4.3,의정부신터미널 근처-22.4km,"35,000원",m
41,의정부 S,4.5,의정부 로데오거리 도보 5분-21.7km,"30,000원",m
42,의정부 하트,4.5,의정부시외버스터미널 인근-22.3km,"30,000원",m
43,의정부 필,4.6,의정부역 1번출구 도보1분-21.4km,"25,000원",m
44,의정부 잉카,4.6,의정부역 7번출구 도보5분-21.5km,"25,000원",m
45,의정부 초콜릿,3.6,의정부역 2번출구 도보5분-21.5km,"25,000원",m
46,의정부 시마,3.9,신세계 백화점 인근 위치-21.7km,"25,000원",m
47,의정부 올인,3.9,의정부 로데오거리 내 위치-22.2km,"35,000원",m
48,의정부 라온,4.7,21km,"27,000원",m
49,의정부 호텔 라인,4.6,경전철의정부중앙역 인근위치-22.3km,예약마감,m
50,의정부 프라하,4.3,의정부역점 7번출구 도보3분-21.5km,"28,000원",m
51,의정부 쉘,4.6,의정부신터미널 근처-22.5km,"30,000원",m
52,의정부 여우,4.5,의정부역 5번 출구 인근-21.9km,"30,000원",m
53,의정부 더 호텔(the hotel),4.1,1호선 의정부역 2번출구인근-21.4km,"35,000원",m
54,의정부 파라다이스,4.1,의정부중앙역 1번출구 -22.1km,"23,000원",m
55,의정부 수림,2.7,22.4km,"28,000원",m
56,의정부 W,3.8,21km,"30,000원",m
57,의정부 휴,4.5,의정부역1번출구2분 의정부역2번출구5분-21.4km,"30,000원",m
58,의정부 클라우드 호텔,4.8,의정부역 도보 약 5분-21.4km,"60,000원",m
59,의정부 넘버25 의정부역서부점,4.8,의정부역 도보1분-21.5km,"40,000원",m
60,의정부 잠자리,4.7,21.4km,예약마감,m
61,의정부 호텔 반월,4.4,의정부역 5번출구 500m-22km,"40,000원",h
62,의정부 호텔 베네,4.2,의정부역 3-1번출구 도보 2분-21.8km,"45,000원",h
63,의정부 7th Street-THE PLAY,4.3,의정부역 도보 2분-21.6km,"40,000원",h
64,의정부 클라우드 호텔,4.7,의정부역 1번출구 도보 2분-21.4km,"60,000원",h
65,호텔 라트리 의정부,5.0,의정부시 경기도청 북부청사-23.8km,"60,000원",h
66,스테이지79호텔,3.5,경전철의정부역 도보 3분-21.4km,"40,000원",h
67,의정부 7th Street,4.0,의정부역 1번출구 도보 1분거리-21.4km,"35,000원",h
68,의정부 제이비스 호텔,3.3,의정부시 경기도청북부청사역-23.8km,"60,000원",h
