,name,score,loc,lowest_price,category
0,고양 HOTEL THE WYNN,4.9,스타필드 차량 5분거리-11.3km,"80,000원",m
1,고양(행신) 넘버25 일산행신점,4.7,화정역 10분 거리-11.8km,"50,000원",m
2,고양(화정) 쉘,4.7,♥고양시 덕양구 화정동 위치♥-12.6km,"50,000원",m
3,화정 YAJA 화정역점,4.2,화정역 도보 3분-12.6km,"39,000원",m
4,고양(화정) 프라자,4.6,화정역 3번출구 도보 3분-12.8km,"37,000원",m
5,고양(화정) VOLE,4.6,화정역 3번출구 도보3분-12.9km,"40,000원",m
6,고양(주교) 럭스,4.7,원당역 도보 약12분-14.3km,"40,000원",m
7,고양(주교) 첼시,4.7,고양시청 도보 약 5분-14.5km,"45,000원",m
8,고양(주교) 스테이 월 호텔,4.8,고양시청 도보 3분거리-14.5km,"48,000원",m
9,고양(주교) 트라움,4.8,고양시청 도보 약 5분-14.5km,"43,000원",m
10,고양(주교) 넘버25 일산원당점,4.7,"고양시 주교동 위치, 눌러서 위치보기♥-14.5km","35,000원",m
11,일산(백석) 클레오파트라,4.6,3호선 백석역 인근-16.3km,"49,900원",m
12,일산(백석) 필그린,4.4,백석역 1번 출구 도보 1분-16.3km,"45,000원",m
13,일산(백석) 앙띠브,4.6,백석역 5번출구 도보1분-16.6km,"55,560원",m
14,일산(백석) 발렌타인,4.7,백석역 5번출구 도보 1분-16.6km,"55,570원",m
15,일산(장항) 퀸타운 HOTEL,4.8,18.4km,"60,000원",m
16,일산(장항) 리미트에잇 호스텔 라페스타점,4.7,정발산역 2번출구 도보 5분-19.2km,"50,000원",m
17,일산(주엽) YELLOW 8 HOTEL,4.7,20.1km,"45,000원",m
18,일산(주엽) 그랜드,4.7,주엽역 5번출구 도보2분-20.3km,"40,000원",m
19,일산(대화) 밀레니엄 호텔,4.7,대화역 2번출구 도보2분-21.3km,"45,000원",m
20,일산(대화) 룩소르 호텔,4.5,대화역 5번출구 도보1분-21.4km,"40,000원",m
21,일산(대화) 웨인스코트 호텔,4.6,22.3km,"43,000원",m
22,일산(대화) 마블,4.7,대화역 5번출구 도보 1분거리-21.4km,"40,000원",m
23,일산(대화) 라트리,4.6,21.4km,"45,000원",m
24,고양(화정) 카사미아,4.5,화정역 1번출구 도보 2분-12.7km,"35,000원",m
25,고양(화정) 빅토리아,4.5,3호선 화정역 1번출구 인근-12.5km,"35,000원",m
26,일산(백석) 로젠하임,4.6,백석역 1번 출구 도보 1분-16.3km,"47,000원",m
27,고양(주교) 이든,4.7,14.3km,"33,000원",m
28,고양(주교) 아망,4.6,원릉역 인근-14.6km,"35,000원",m
29,일산 Kintex By K-Tree,3.5,20.9km,예약마감,m
30,고양(주교) XYM,4.7,고양시청 도보 약 4분-14.5km,"40,000원",m
31,고양(주교) 발리,4.6,고양시문예회관 도보 약 2분-14.5km,"35,000원",m
32,일산(중산) BOX,4.7,18.8km,"35,000원",m
33,고양(화정) 카르마 호텔,4.8,12.9km,"50,000원",m
34,일산(마두) 라트리,4.6,3호선 마두역 인근-17.9km,"50,000원",m
35,고양(화정) 준,4.7,화정역 2번출구 도보 3분-12.7km,"35,000원",m
36,일산(대화) 보보호텔,4.6,대화역 5번출구 도보 1분-21.4km,"40,000원",m
37,일산(대화) 아마다,4.7,대화역 3번 출구 도보 1분-21.5km,"40,000원",m
38,일산(대화) 수필,4.8,21.5km,"40,000원",m
39,일산(탄현) 아바타,4.7,탄현역 2번출구 도보5분-21.4km,"45,000원",m
40,일산(대화) 비올레,4.1,대화역 3번 출구앞(킨텍스 도보 5분거리)-21.5km,"40,000원",m
41,일산(장항) 부티크k,4.5,일산 라페스타 인근-19.2km,"50,000원",m
42,일산(대화) 카이저,4.7,21.2km,"50,000원",m
43,고양(행신) 체스호텔,4.5,11.4km,"41,000원",m
44,일산(탄현) 드림캐슬,4.6,21.6km,"40,000원",m
45,일산(백석) 미라벨,4.4,백석역 5번출구 -16.6km,"50,000원",m
46,일산(대화) 아비숑,4.5,21.4km,"40,000원",m
47,일산(백석) BS호텔,4.7,16.6km,"50,000원",m
48,고양(행신) 람세스 호텔,4.8,12.5km,"50,000원",m
49,일산(대화) 리치,4.8,21.4km,"50,000원",m
50,일산(대화) 신트라,4.7,대화역 2번출구 도보 1분거리-21.4km,"45,000원",m
51,일산 STAY25,5.0,18.5km,예약마감,m
52,일산(탄현) 미카사 호텔,4.7,21.6km,"40,000원",m
53,일산(탄현) 호텔 K 무인텔,4.4,탄현역 2번출구 도보1분-21.5km,"50,000원",m
54,일산(탄현) 사이버21,4.7,21.6km,"45,000원",m
55,일산(탄현) 니꼬,4.4,경의선 탄현역 2번출구-21.6km,"40,000원",m
56,고양(주교) 라움,4.6,고양시청 인근-14.5km,"33,000원",m
57,일산(중산) 아방가르드,4.6,18.8km,"35,000원",m
58,고양(주교) 뉴힐튼,4.2,14.5km,"30,000원",m
59,고양(화정) 페이지,4.7,화정역 2번출구 도보10분-12.5km,"50,000원",m
60,고양(행신) 클릭,4.4,12km,"45,000원",m
61,고양(덕양) 린,4.4,17.9km,"50,000원",m
62,일산(탄현) 발렌타인,4.5,탄현역 2번출구 도보 1분-21.6km,"40,000원",m
63,일산(탄현) 캐리,4.6,경의선 탄현역 2번 출구-21.6km,"40,000원",m
64,고양(주교) 인성,4.4,고양시청-14.5km,예약마감,m
65,고양(토당) 에버빌,4.3,능곡역 1번출구 나오자마자 좌측으로  도보3분-12.9km,"30,000원",m
66,고양(주교) 샵,4.3,14.2km,"30,000원",m
67,고양(주교) 제우스,4.1,14.3km,"27,000원",m
68,고양(주교) 쉐르빌,4.5,14.5km,"30,000원",m
69,고양(토당) 로얄,4.5,13km,"30,000원",m
70,고양(성사) 작은성,3.5,14km,"30,000원",m
71,고양(토당) 휴,3.7,능곡우체국 인근 위치-13.1km,"35,000원",m
72,일산(마두) 블랑,4.6,마두역 5번 출구 도보1분-17.9km,"44,800원",m
73,고양(주교) 모아,3.5,14.5km,"35,000원",m
74,소노캄 고양(구 엠블호텔 고양),4.8,일산호수공원 도보 10분-20.3km,"130,000원",h
75,클레오파트라 호텔,3.2,백석역 1번출구 100m-16.3km,예약마감,h
76,고양 스테이 월 호텔,4.7,일산 킨텍스 차량 약 19분-14.5km,"48,000원",h
77,일산 트라움호텔,4.4,고양시청 도보 약 5분-14.5km,"55,000원",h
78,발렌타인 호텔,4.5,백석역 6번출구 도보 5분-16.6km,"57,000원",h
79,일산(탄현) 아바타호텔,3.8,탄현역 차량 약 5분-21.4km,"77,000원",h
80,앙띠브,4.5,백석역 5번출구 도보 3분-16.6km,"57,000원",h
81,일산 리치 호텔,4.5,대화역(킨텍스) 5번출구 도보 3분-21.4km,"90,000원",h
82,일산 킨텍스 바이 케이트리,3.5,대화역 차량 3분-20.9km,예약마감,h
83,리미트에잇 호텔 앤 호스텔,3.5,정발산역(고양아람누리)2번출구 도보 10분-19.2km,예약마감,h
84,퀸타운호텔,4.6,정발산역 1번출구 도보 4분-18.4km,"73,000원",h
85,일산 로젠하임,2.0,백석역 1번출구 150m-16.3km,예약마감,h
86,부티크 호텔K 일산,4.4,일산 일산호수공원 근처-19.2km,"63,410원",h
