,name,score,loc,lowest_price,category
0,대부도 뷰,4.3,바다향기 캠핑장 도보3분-47.9km,"40,000원",m
1,대부도 산솔모텔,3.6,불도방조제 삼거리-47.4km,"40,000원",m
2,제부도 꿈의궁전,4.5,제부도-51.2km,"40,000원",m
3,제부도 힐,3.7,제부도 해수욕장 인근-52.3km,예약마감,m
4,대부도 M,4.6,45.9km,"45,000원",m
5,대부도 휴,4.3,45.9km,"35,000원",m
6,대부도 겨울왕국,4.4,45.9km,"45,000원",m
7,대부도 호텔 마리나,4.3,44.7km,"80,000원",m
8,제부도 인터파크,3.0,51.5km,"40,000원",m
9,제부도(궁평항) 필무인텔,4.2,47.2km,"40,000원",m
10,대부도 꿈의궁전,3.5,46.9km,"40,000원",m
11,대부도 파타야,3.5,45.9km,"40,000원",m
12,대부도 하나모텔,4.0,46.6km,"40,000원",m
13,대부도 걸리버여행기펜션,4.4,자체픽업 가능-46.3km,"54,000원",f
14,대부도 바다와소나무펜션(글램핑바비큐장),5.0,50km,"59,000원",f
15,대부도 와우펜션,4.9,46.4km,"142,500원",f
16,대부도 포도향기펜션(개별독채테라스),4.2,46.3km,"54,000원",f
17,대부도 노을펜션,4.6,46.4km,"70,000원",f
18,화성(제부도) 늘단비펜션,5.0,48.8km,"288,000원",f
19,화성(제부도) 산토리니펜션8동(이메로동),3.9,자체픽업 가능-50.2km,"80,000원",f
20,대부도 썬온비펜션,4.1,49.2km,예약마감,f
21,대부도 브리즈번펜션,3.5,46km,"50,000원",f
22,화성(제부도) 좋은이웃펜션,4.9,52.4km,"60,000원",f
23,대부도 펜션더헤이븐,4.4,자체픽업 가능-49.1km,"96,000원",f
24,화성(제부도) 오브레펜션,4.1,51.5km,"110,000원",f
25,화성(제부도) 산토리니펜션(이아동),3.4,자체픽업 가능-51.2km,"80,000원",f
26,화성(제부도) 글로리아펜션,4.5,자체픽업 가능-51.2km,예약마감,f
27,화성(제부도) 제부비치타운펜션,4.0,51.8km,"45,000원",f
28,대부도 블루이펜션,4.7,자체픽업 가능-46.4km,"60,000원",f
29,대부도 이데아펜션,4.8,자체픽업 가능-47.6km,"100,000원",f
30,화성(제부도) J하우스펜션,4.6,52.4km,"70,000원",f
31,대부도 예그리나2마리스펜션,4.5,48.8km,"70,100원",f
32,화성(제부도) 해돋이펜션,3.5,자체픽업 가능-51.7km,"70,000원",f
33,화성(제부도) 미고펜션,4.5,52.2km,"75,000원",f
34,화성(제부도) 수에뇨펜션,4.8,51.6km,"80,000원",f
35,대부도 예그리나펜션,4.5,자체픽업 가능-49.1km,"55,000원",f
36,화성(제부도) 바다뜰이야기펜션,4.5,51.9km,"50,000원",f
37,대부도 소풍가는길펜션,4.4,46.8km,"120,000원",f
38,화성(제부도) 다솜펜션,4.0,52.4km,"60,000원",f
39,"대부도 누리마루펜션 (독채,풀빌라)",3.5,45.6km,"340,000원",f
40,화성 궁평애풍펜션,5.0,53.3km,"150,000원",f
41,대부도 라움펜션,3.5,47.5km,"100,000원",f
42,대부도 메송프로방스펜션,3.5,45.9km,"370,000원",f
43,대부도 바다횟집펜션,4.5,46.2km,"50,000원",f
44,대부도 시애틀펜션,2.0,52.4km,"100,000원",f
45,화성 바다노을이예쁜펜션,5.0,52.3km,"120,000원",f
46,대부도 솔치펜션,5.0,49km,"250,000원",f
47,화성 모드니한옥펜션,3.5,51.3km,"400,000원",f
48,제부도 케렌시아리조트,4.5,자체픽업 가능-50.2km,예약마감,f
49,대부도 알라딘펜션,4.6,자체픽업 가능-46.6km,"70,000원",f
50,대부도 까치섬펜션,3.7,자체픽업 가능-47.4km,"60,000원",f
51,화성(제부도) 카라반캠프,4.5,51.6km,"80,000원",f
52,화성(제부도) 애니멀카페펜션,3.3,52.5km,"75,000원",f
