,name,score,loc,lowest_price,category
0,파주 봉일천 에이스호텔,4.8,22.2km,"40,000원",m
1,파주 야놀다가자,4.6,야당역 2번출구 도보3분-23.4km,"45,000원",m
2,파주 시크릿,4.4,서울 문산고속도로 신단IC 5분-32.1km,"55,000원",m
3,파주 W1호텔,4.5,32.8km,"50,000원",m
4,파주 골든 힐,4.6,32.9km,"70,000원",m
5,파주 힐즈,4.7,★ 저희 호텔에서는 중국단체및 관광객을 받지 않습니다.-32.9km,"43,000원",m
6,파주 미즈,4.6,자유로 자동차극장 인근-32.9km,"40,000원",m
7,파주 다온 무인텔,3.9,33.3km,"40,000원",m
8,파주 신데렐라,4.8,성동 IC / 사거리 인근-33.3km,"40,000원",m
9,파주 웨스트힐 호텔,4.5,33.6km,"40,000원",m
10,파주 금촌 마리,4.8,26.5km,"60,000원",m
11,파주 YAM 파주금촌점,4.7,금촌역 1번출구 도보로 7분-26.8km,"40,000원",m
12,파주 호텔 더 헤이리,4.5,"파주 프로방스 마을 (1.3Km, 5분거리) 성동리 IC & 대성리 IC 양방향 최 근접 -34.9km","35,000원",m
13,파주 유로,4.5,28.7km,"35,000원",m
14,파주 락 무인텔,4.7,파주 프로방스마을 인근-34.9km,"30,000원",m
15,파주 노스탈자,4.5,자유로 자동차극장 인근-32.9km,"40,000원",m
16,파주 안드레박,3.5,32.6km,"40,000원",m
17,파주 벨리타N굿타임 무인텔,4.4,파주 프로방스마을 인근-34.9km,"40,000원",m
18,파주 케이힐스,4.7,야당역 2번 출구 450m-23.6km,"70,000원",m
19,파주 U&I 무인호텔,4.8,34.7km,"40,000원",m
20,파주 거기,4.7,29.9km,"40,000원",m
21,파주 데데아 무인텔,4.6,성동 IC / 사거리 인근-33.6km,"50,000원",m
22,파주 금촌 TAXI,4.5,금촌역 1번출구 도보 13분-26.6km,"40,000원",m
23,파주 금촌 윈저,4.6,27km,"50,000원",m
24,파주 IMT,4.6,탄현119안전센터 도보10 -32.9km,"45,000원",m
25,파주 칼튼호텔,4.8,32.9km,"45,000원",m
26,파주 마루 호텔,4.7,성동 IC / 사거리 인근-33.3km,"40,000원",m
27,파주 듀오텔,4.3,카트랜드 인근-33.3km,"30,000원",m
28,파주 봉일천 S,4.2,23.4km,"50,000원",m
29,파주 문산 로얄,3.5,35.7km,예약마감,m
30,파주 초원장,4.3,35.6km,"35,000원",m
31,파주 소풍,4.8,성동 IC / 사거리 인근-33.9km,"36,500원",m
32,파주 금촌 스위치,4.6,26.6km,"40,000원",m
33,파주 금촌 세띠앙,4.6,금촌역 1번출구 도보 3분-27.1km,"40,000원",m
34,파주 문산 오슬로,5.0,35.9km,예약마감,m
35,파주 금촌 에쿠스,4.1,금촌역 1번출구 인근 위치-26.6km,"40,000원",m
36,파주 금촌 LIP,3.6,26.8km,"40,000원",m
37,파주 Hotel Beautiful (뷰티풀),4.6,24.9km,"55,000원",m
38,파주 화수목,4.5,LCD공단 기숙사 뒷편 위치-32km,"55,000원",m
39,파주 럭스,4.7,성동 IC / 사거리 인근-33.3km,"40,000원",m
40,파주 시실리 무인텔,4.4,22.1km,"35,000원",m
41,파주 이브텔,3.6,성동 IC / 사거리 인근-33.3km,"35,000원",m
42,파주 호텔 CC,4.8,파주LCD산업단지 도보10분-32km,예약마감,m
43,파주 시노안 무인텔,4.7,33.5km,"50,000원",m
44,파주 리멤버,4.1,24km,"35,000원",m
45,파주 금촌 금조,3.7,26.6km,"33,000원",m
46,파주 반디,4.0,파주 롯데아울렛 인근-28.4km,"40,000원",m
47,파주 금촌 자자,2.8,금촌역-26.8km,"40,000원",m
48,파주 하이무인텔,4.8,33.5km,"50,000원",m
49,파주 필립스,3.9,금촌역 1번출구 차로 10분-26km,"40,000원",m
50,파주 피카소호텔,4.6,32.9km,"40,000원",m
51,파주 자바,4.2,연풍시장인근 위치-31.2km,"35,000원",m
52,파주 반지 무인텔,4.6,33.5km,"50,000원",m
53,파주 봉일천 지중해,4.4,파주 시청 10분 거리-21.9km,"39,000원",m
54,파주 문산 필,3.5,37.9km,"40,000원",m
55,파주 자유로,4.1,33.8km,"35,000원",m
56,파주 스카이,3.5,24km,"35,000원",m
57,파주 위즈호텔,4.0,32.9km,"75,000원",m
58,파주 로데오,4.1,성동 IC / 사거리 인근-33.3km,"30,000원",m
59,파주 웨스트힐 호텔,4.4,헤이리 예술마을 1.39km-33.6km,"40,000원",h
60,파주 피카소 호텔,4.5,헤이리 예술마을 1.73km-32.9km,"45,000원",h
61,파주 메이트 호텔,4.6,헤이리 마을 자동차 약 10분-32km,예약마감,h
62,파주 럭스 호텔,4.6,성동 IC 약 1.76km-33.3km,"43,000원",h
63,파주 골든힐 관광호텔,5.0,헤이리마을 차량 4분-32.9km,"72,500원",h
64,케이힐스 더테라스,4.7,야당역 2번 출구 450m-23.6km,"75,000원",h
65,파주 뷰티풀관광호텔,4.5,파주시 금릉동-24.9km,"77,000원",h
66,파주 미즈호텔,3.7,오두산 통일 전망대 도보 약 2분-32.9km,"45,000원",h
67,호텔 시에나,4.6,야당역 2번출구 도보 4분-23.4km,"85,000원",h
68,파주 J펜션,4.9,34.2km,"100,000원",f
69,파주 워라밸풀빌라,4.8,33.9km,"260,000원",f
70,파주 상린재펜션,3.5,34.6km,예약마감,f
71,파주 풀꽃향기펜션,4.8,자체픽업 가능-23.9km,"140,000원",f
72,파주 통일동산펜션,5.0,33.6km,"80,000원",f
73,파주 한옥마을살림채펜션,4.5,31.1km,"80,000원",f
74,파주 모리CAFE펜션,4.6,33.7km,"80,000원",f
75,파주 행복한家펜션,4.4,자체픽업 가능-34.2km,"120,000원",f
76,파주 마리별펜션,4.8,자체픽업 가능-34.2km,"60,000원",f
77,파주 슈가빌펜션,4.7,43.9km,"70,000원",f
78,파주 헤이리애펜션,4.8,34.2km,"100,000원",f
79,파주 오블라디풀빌라(방역안심숙소),4.6,35.1km,"325,500원",f
80,파주 뜰안채펜션,4.8,37.2km,"70,000원",f
81,파주 모이리344펜션,5.0,36km,"130,000원",f
82,파주 산들펜션,3.7,37.1km,"130,000원",f
83,파주 달빛가득펜션,4.9,37km,"80,000원",f
84,파주 마린펜션,4.7,자체픽업 가능-37.1km,"80,000원",f
85,파주 펜션힐,3.5,44.6km,예약마감,f
86,파주 채연별장형펜션,4.3,34.2km,"150,000원",f
87,파주 바우가든펜션,5.0,41.6km,"80,000원",f
88,파주 축제펜션,4.8,34.2km,"90,000원",f
89,파주 하루정원펜션,4.8,34.7km,"130,000원",f
90,파주 플레이랜드캠핑장펜션,3.5,21.8km,예약마감,f
91,파주 갤러리순펜션,4.4,33.1km,"100,000원",f
92,파주 착한펜션,5.0,35.9km,"100,000원",f
93,파주 웰컴펠릭스펜션,4.5,25km,"250,000원",f
94,파주 휴스테이펜션,4.9,32.7km,"80,000원",f
95,파주 동화힐링캠프,4.7,37.8km,"119,000원",f
96,파주 더화이트버치펜션,5.0,34.8km,"220,000원",f
97,파주 헤이리하이디하우스펜션,4.0,32.8km,"70,000원",f
98,파주 숲속구름호수펜션,4.7,37km,"130,000원",f
99,파주 가을노을키즈펜션,4.0,34.7km,"200,000원",f
100,파주 원프레임 펜션,5.0,자체픽업 가능-37.3km,"130,000원",f
101,파주 헤이리팜파티펜션,5.0,34.2km,"120,000원",f
102,파주 테라펜션,4.8,33.5km,"100,000원",f
103,파주 리베르떼펜션,3.5,27.7km,"590,000원",f
104,파주 글램핑클럽레스피아,3.4,28.5km,"59,000원",f
105,파주 감악산펜션,4.4,43.8km,"93,000원",f
106,파주 W&J펜션,4.1,37.8km,"100,000원",f
107,파주 오페라 한옥스테이,4.8,문산역-34.1km,"100,000원",g
108,파주 헤이리 북스테이 모티프원,5.0,헤이리마을 1번 게이트-33.1km,"140,000원",g
109,파주 헤이리 하이디하우스,5.0,헤이리마을 9번 게이트-32.9km,"60,000원",g
