,name,score,loc,lowest_price,category
0,송탄 어반호텔,4.7,"유튜브,넷플릭스,덕다운솜털95%-53.9km","40,000원",m
1,송탄 하운드 평택송탄,4.9,송탄시외버스터미널 도보6분-53.9km,"50,000원",m
2,송탄 알로 호텔,4.7,GS주유소 인근-54km,"45,000원",m
3,송탄 브라운도트 평택점,4.5,넷플릭스 네비:신장동323-24-54km,"40,500원",m
4,송탄 디자인 뜰앤,4.7,국민은행 송탄역지점 옆건물-54.1km,"40,000원",m
5,송탄 넘버25 송탄점,4.4,"GRAND OPEN, 신장로 34-1-54.2km","40,000원",m
6,송탄 라움,4.6,송탄 시외버스터미널 인근위치-54.2km,"35,000원",m
7,송탄 W호텔,4.7,송탄 시외버스터미널 인근 위-54.5km,"40,500원",m
8,송탄 호텔 코너 인,4.8,송탄역 인근-54.8km,"45,000원",m
9,송탄 리즈 무인텔,4.6,54.9km,"45,000원",m
10,송탄 벨라,4.7,55.5km,"50,000원",m
11,송탄 스카이호텔,4.4,55.5km,"45,000원",m
12,송탄 지오,4.5,55.8km,"45,000원",m
13,송탄 어썸 호텔,4.8,55.8km,"50,000원",m
14,송탄 밴드(BAND),4.4,56.8km,"45,000원",m
15,평택 브라운도트 고덕신도시점,4.8,삼성전자5분[네비]고덕중앙로200-19-57.6km,"55,000원",m
16,평택 Boutique Hotel XYM,4.7,평택시차량등록사업소-59.3km,"60,000원",m
17,안성 레이크 호텔,4.5,60.4km,"40,000원",m
18,평택 호텔 감,4.9,"평택역 도보 5,평택 메가박스 인근-63.9km","60,000원",m
19,평택 헤르메스 호텔,4.8,63.9km,"50,000원",m
20,평택 허브,4.7,통복시장 인근 도보1분거리 -64km,"45,000원",m
21,평택 프라하,4.7,통복전통시장 입구-64km,"40,000원",m
22,평택 몽2,4.8,평택역 1번 출구 방향-64km,"50,000원",m
23,평택 Stay Hotel 2호점 (신관),4.6,"통복시장,평택역,AK프라자-64.1km","45,000원",m
24,평택 갤러리 호텔,4.7,평택역 1번출구 방향-64.1km,"40,000원",m
25,평택 스테이 호텔 (본관),4.5,"평택터미널,AK플라자,통복시장-64.2km","40,000원",m
26,평택 세비아 호텔,4.6,평택역 도보 5분거리-64.3km,"35,000원",m
27,평택 오월숲,4.8,64.4km,"40,000원",m
28,평택 호텔5,4.7,평택역 도보 약10분-64.4km,"35,000원",m
29,평택 티파니,4.7,평택역 도보 약 10분-64.4km,"35,000원",m
30,평택 월 호텔(무인텔),4.6,비전동 (소사벌) 로데오거리 /뉴코아 cgv 부근-64.4km,"45,000원",m
31,평택 퀸스,4.7,CGV 평택소사 도보 약 10분-64.4km,"40,000원",m
32,평택 데일리 헤븐,4.5,평택역 1번 출구 방향-64.5km,"39,000원",m
33,평택 브라운도트 평택역점,4.8,"평택역 도보5분,평택버스터미널 도보 2분-64.5km","50,000원",m
34,평택 YAJA 평택역점,4.8,평택역 도보로 5분이내-64.5km,"45,000원",m
35,평택 벨르 호텔,4.8,평택역 도보 5분이내-64.5km,"45,000원",m
36,평택 베네호텔,4.7,64.6km,"55,000원",m
37,평택 넘버25 평택시청점,4.7,평택시청 도보 3분-64.6km,"50,000원",m
38,평택 호텔 바츠,4.6,64.7km,"50,000원",m
39,평택 가보호텔,4.4,안성 스타필드/소살벌CGV/안성IC-64.7km,"40,000원",m
40,안성(공도) 루엠,4.7,"중앙대 2km이내, 스타필드 6km 이내-65km","60,000원",m
41,평택 웨스턴베이 마리나 호텔,4.6,65.3km,"44,900원",m
42,평택 이끌림클래식 호텔,4.6,65.4km,"60,000원",m
43,안성 수,4.3,금광호수 인근 위치-71.2km,"40,000원",m
44,안성 야자수 드라이브인 무인텔,4.8,참샘 낚시터 인근-57.7km,"50,000원",m
45,송탄 NJ,4.7,송탄역 1번 출구 도보 5분-54.6km,"33,600원",m
46,안성 U-STAY(유스테이) 드라이브인 무인텔,4.6,GRAND OPEN_주소: 칠곡리168-12-59.4km,"45,000원",m
47,안성 더라인 드라이브인 무인텔,4.9,57.6km,"50,000원",m
48,평택 보보스,4.6,평택역 1번출구 방향/ 도보 4분거리-64.5km,"35,000원",m
49,평택 WM 모텔,4.8,56.4km,"50,000원",m
50,평택 별비,4.5,세븐일레븐 인근-64.4km,"35,000원",m
51,송탄 센트럴 퍼슨 호텔,4.7,55.9km,예약마감,m
52,송탄 케이원(K one)호텔,4.8,53.9km,"40,000원",m
53,송탄 M,4.6,송탄 시외버스터미널 인근위치-54.3km,"35,000원",m
54,평택 Show,4.5,평택역1번출구3분거리1시방향삼성생명뒷건물-64.3km,"30,000원",m
55,평택 칸 무인텔,4.5,신영1리 삼거리 인근 위치-68.3km,"38,000원",m
56,평택 도도,4.3,평택역 도보 5분거리-64km,"35,000원",m
57,평택 LX,4.6,1호선 평택역 도보 8분-64.3km,"33,000원",m
58,안성 쇼,4.9,동아방송예술대학교 인근 위치-68km,"35,000원",m
59,송탄 로망스,4.2,송탄출장소 부근(송탄역)-55.4km,예약마감,m
60,평택(평택항) 샤롯캐슬,4.9,포승전망대 근처-65.4km,"60,000원",m
61,평택(안중) R,4.6,62.5km,"40,000원",m
62,안성 힐하우스,4.2,65km,"40,000원",m
63,안성(공도) 갤러리,4.2,64.4km,"40,000원",m
64,안성(공도) 리베라,4.2,65.2km,"40,000원",m
65,안성(공도터미널) 성지,4.6,65.4km,"50,000원",m
66,송탄 퍼슨,4.6,평택 롯데시네마 인근 위치-55.9km,"45,000원",m
67,안성 프로방스,4.6,72km,"40,000원",m
68,안성 노도,4.0,67.9km,"40,000원",m
69,안성 모차,4.5,55.5km,"55,000원",m
70,평택 K모텔,4.7,71km,"40,000원",m
71,평택 Q,3.5,56.2km,예약마감,m
72,안성 캐슬,4.7,59.4km,"33,000원",m
73,송탄 비너스,4.3,평택 도서관 맞은편 위치-55.4km,"40,000원",m
74,평택(안중) O2,4.1,금곡 삼거리 인근 위치-62.7km,"40,000원",m
75,안성 예스텔,3.8,안성시내 구터미널 뒤 100M-67.8km,"50,000원",m
76,평택(안중) 휴,4.1,68.2km,"30,000원",m
77,송탄 꾸띠,4.6,송탄시외버스터미널 도보5분-54.4km,예약마감,m
78,안성 루엠,4.7,67.8km,예약마감,m
79,송탄 반지,3.5,송탄시외버스터미널 도보 1분거리-54.4km,예약마감,m
80,평택 짝,4.2,64.4km,"35,000원",m
81,안성 베르사체,4.8,동막골 근처-57.1km,"35,000원",m
82,안성 W,4.8,67.7km,"40,000원",m
83,안성(공도) 샤넬,4.0,64.6km,"38,000원",m
84,안성 버킹검,3.0,66.7km,"40,000원",m
85,평택 코코무인텔,4.6,63km,"40,000원",m
86,평택 쌍용모텔,3.5,63.9km,"40,000원",m
87,안성 힐하얏트,4.0,63.7km,"35,000원",m
88,평택 이화모텔,3.5,64.4km,예약마감,m
89,안성 젠모텔,3.5,59.3km,예약마감,m
90,평택 대원파크,4.6,64.2km,"35,000원",m
91,안성 투썸,4.5,59.3km,"35,000원",m
92,평택 준모텔,3.5,66.9km,"35,000원",m
93,평택(평택항) 블루힐모텔,4.3,71km,"30,000원",m
94,송탄 코스모스,3.5,54km,예약마감,m
95,안성 뉴리베라,2.0,공도부영아파트 건너편 도보 10분-65.2km,"40,000원",m
96,안성 뮤,3.5,74km,"40,000원",m
97,송탄 칼슨,3.5,54.5km,예약마감,m
98,안성 오아시스,3.5,74.1km,예약마감,m
99,라마다 평택 호텔,3.5,평택항 도보 15분-65.4km,예약마감,h
100,라마다 앙코르 평택,4.4,평택항 1.99km-65.4km,"45,000원",h
101,평택 웨스턴베이 마리나호텔,4.7,평택항관광안내소 차량 약 9분-65.3km,"44,900원",h
102,코업스테이 호텔 평택항,4.7,평택항 1.94km-65.5km,"45,000원",h
103,평택 가보호텔,4.4,평택시청 약4분-64.7km,"40,000원",h
104,평택 헤르메스 호텔,5.0,평택항만 차량 약 9분-63.9km,예약마감,h
105,평택스테이 호텔,4.6,평택역 도보 5분 거리-64.2km,"55,000원",h
106,송탄 메트로 호텔,5.0,송탄관광특구 차량 약 11분-55.8km,예약마감,h
107,평택 부티크호텔 XYM,4.6,송탄 평택종합물류단지-59.3km,"60,000원",h
108,이끌림 클래식 호텔,3.5,평택항 차량 5분-65.4km,"60,000원",h
109,평택 벨르호텔,4.4,평택역 1호선 도보 7분-64.5km,"58,820원",h
110,송탄 알로호텔,3.5,송탄역 도보 약 15분-54km,"53,000원",h
111,안성 물내음펜션,3.5,71.1km,"80,000원",f
112,안성 레이크펜션,3.8,71.8km,"80,000원",f
113,안성 프로방스펜션,4.7,자체픽업 가능-71.9km,"100,000원",f
114,안성 송지원펜션,4.7,자체픽업 가능-72km,"130,000원",f
115,안성 펜션뜰안채,4.8,자체픽업 가능-71.1km,"100,000원",f
116,안성 고삼마을펜션,3.5,60.6km,예약마감,f
117,평택 고요펜션,3.5,71.1km,"200,000원",f
118,안성 다온누리펜션,4.7,71.5km,"60,000원",f
119,안성 TS펜션,5.0,72.1km,"250,000원",f
120,안성 숲속빌리지펜션,4.0,70.5km,"80,000원",f
