,name,score,loc,lowest_price,category
0,포천 FOR YOU(포유) 무인호텔,4.8,28.1km,"40,000원",m
1,포천 로제토 무인호텔,4.7,28.3km,"45,000원",m
2,포천 띠아모 (드라이브 인 무인텔),4.5,포천국립수목원 인근 위치-30.1km,"35,000원",m
3,포천 힐하우스,4.7,포천 광릉수목원 차량 3분-30.2km,"37,000원",m
4,포천 드림 드라이브인 무인텔,4.7,광릉수목원 에서 차량 출발 3분 거리-30.3km,"40,000원",m
5,포천 위드 드라이브인 무인텔,4.5,포천 광릉수목원 인근-30.3km,"35,000원",m
6,포천 호텔 꼬뮨 광릉수목원점(드라이브인 무인텔),4.6,국립 수목원 인근 위치-30.4km,"40,000원",m
7,포천 쟈스민,4.6,"포천 광릉 수목원 차량 2분, 250m-30.5km","30,000원",m
8,포천 아뜨리에 드라이브인,4.8,31.9km,"40,000원",m
9,포천 호텔 락 무인텔,4.5,32.1km,"30,000원",m
10,포천 호텔 꼬뮨(베어스타운점) 드라이브인 무인텔,4.8,베어스타운 부근 500m-38.1km,"50,000원",m
11,포천(일동) 알로하,4.7,54.8km,"55,000원",m
12,포천(일동) 킹덤,4.1,일동 시내 인근거리-58.9km,"29,900원",m
13,포천 산토리니,4.8,산정호수 차량 10분-59km,"40,000원",m
14,포천 이리스,4.4,베어스타운에서 5분 거리-38.8km,"35,000원",m
15,포천 백운,4.4,이동면 도평리 버스 종점 옆-67.4km,"40,000원",m
16,포천(일동) 나이스,4.8,54.9km,"35,000원",m
17,포천 그대를읽다 드라이브인 호텔,4.4,28.1km,"50,000원",m
18,포천(송우리) 발트 호텔,4.4,송우리 터미널 앞-34.7km,"35,000원",m
19,포천(송우리) 하비비,4.5,34.5km,"45,000원",m
20,포천 팔레스,4.6,44km,"40,000원",m
21,포천 소풍,4.8,37.9km,예약마감,m
22,포천(송우리) 칸,4.3,송우리시외버스터미널 인근-34.7km,"35,000원",m
23,포천(송우리) 뮤즈,4.8,34.4km,"40,000원",m
24,포천 하비비 드라이브인무인텔,3.5,28.4km,예약마감,m
25,포천(송우리) 힐튼,4.6,34.6km,"35,000원",m
26,포천 다인,3.8,포천시외버스 터미널 바로 뒤-43.9km,"35,000원",m
27,포천 라스베가스,5.0,만세교리 삼거리-52.1km,"40,000원",m
28,포천 휘닉스,5.0,도평 삼거리-68.5km,"40,000원",m
29,포천(이동면) 로얄파크,4.4,도평 노인회관 근처-67.7km,"40,000원",m
30,포천 석화모텔,3.8,영북 우체국 5분 거리-65.5km,"40,000원",m
31,포천 J,4.0,43.6km,"39,000원",m
32,포천 로얄 모텔,4.8,어룡2통 사거리 인근 위치-41.5km,"50,000원",m
33,포천(일동) 썸,4.3,일동 버스터미널 도보 5분-54.9km,"40,000원",m
34,포천 뮤,4.7,포천 안변동산 인근 위치-60.3km,"35,000원",m
35,포천 광릉수목원,4.7,포천 수목원 인근 위치-30.5km,"35,000원",m
36,포천 레인보우,4.5,30km,"35,000원",m
37,포천 신라모텔,3.5,48.4km,"39,000원",m
38,포천(신북) 필,2.8,허브아일랜드 차량 10분거리-49.8km,"35,000원",m
39,포천 산호모텔,4.0,62.7km,"35,000원",m
40,포천 필,4.9,30km,"30,000원",m
41,포천(일동) 하이트,3.0,삼팔교 삼거리 도보 20분-58.8km,"33,000원",m
42,포천 그랜드,3.5,포천 베어스타운 인근 위치-38.7km,"40,000원",m
43,포천 포천파크,5.0,40.8km,"40,000원",m
44,포천 미시간,2.8,43.6km,"39,000원",m
45,포천(일동) 쉴,4.1,기산아파트 도보 10분-54km,"40,000원",m
46,포천 M,4.8,광릉 분재 예술공원 인근위치-30.3km,"30,000원",m
47,포천(일동) MOTELXO,1.0,54.9km,"40,000원",m
48,포천 피앙새,3.5,62.4km,"40,000원",m
49,포천 뷰,4.6,43.6km,"35,000원",m
50,포천 삼복모텔,3.5,53.5km,"30,000원",m
51,포천 숲속의궁전,3.5,광릉포레스트 CC 인근위치-33.9km,"40,000원",m
52,베어스타운,4.3,포천아트밸리 차량 약 35분-37.5km,"59,900원",h
53,한화리조트 산정호수 안시,4.3,산정호수 100m-64.8km,"113,200원",h
54,포천 갤러리 호텔,4.3,고모리 저수지 앞-32.6km,"70,000원",h
55,호텔 로제토,4.6,국립수목원 차량 10분-28.3km,"50,000원",h
56,포천 포레스트풀빌라(키즈풀빌라보유),4.8,자체픽업 가능-54.5km,"418,000원",f
57,포천 라고비스타펜션,5.0,54.7km,"90,000원",f
58,포천 럭스제이키즈풀빌라(개별온수풀),4.4,65km,"100,000원",f
59,포천 그린힐펜션,4.9,65km,예약마감,f
60,포천 호수와소나무스파펜션,3.8,65.4km,"39,000원",f
61,포천 프렌즈키즈앤스파펜션,4.2,67.6km,"59,900원",f
62,"포천 로하스펜션(대형스파,픽업)",4.4,자체픽업 가능-44.6km,"65,000원",f
63,포천 하늘과바람별 애견 스파펜션,4.4,자체픽업 가능-44.7km,"49,000원",f
64,포천 테라스가아름다운집펜션(스파),4.2,자체픽업 가능-54.5km,"65,000원",f
65,포천 호수가의아침펜션,4.1,54.5km,"49,000원",f
66,포천 더샵스파펜션 (아트밸리 인근),4.9,자체픽업 가능-54.5km,"69,000원",f
67,포천 엔폴드펜션,5.0,자체픽업 가능-63.8km,"110,000원",f
68,포천 드뷔시펜션,5.0,63.9km,"100,000원",f
69,포천 May.B풀빌라펜션 (사계절수영장),4.1,64.9km,"69,000원",f
70,포천 화적연펜션(무료서바이벌게임),4.6,자체픽업 가능-68.3km,예약마감,f
71,"포천 펜션빌라지오 (스파, MD추천)",3.9,자체픽업 가능-71.6km,"119,000원",f
72,"포천 해바라기펜션(수영장, 애견동반)",4.0,55.2km,"54,000원",f
73,포천 라비앤로즈펜션,4.8,자체픽업 가능-54.7km,"89,000원",f
74,포천 조이토마토펜션,4.7,자체픽업 가능-54.8km,"49,000원",f
75,포천 풀문풀빌라,4.8,자체픽업 가능-48.7km,"120,000원",f
76,포천 이뉴풀빌라,4.8,자체픽업 가능-45.4km,"110,000원",f
