,name,score,loc,lowest_price,category
0,하남 트레비엔,4.6,21.8km,"70,000원",m
1,하남 앨리스 넥스트 도어,4.6,스타필드 차로 약 8분-21.9km,"60,000원",m
2,하남 HOTEL ALOHA(알로하),4.6,24km,"60,000원",m
3,하남 YAJA 하남점,4.8,24.1km,"54,000원",m
4,하남 호텔 CL(씨엘),4.9,24.1km,"55,000원",m
5,광주 소풍,3.6,27.9km,예약마감,m
6,광주 곤지암 윌 무인텔,3.9,모다(구 나이키)아울렛 -39.5km,"34,500원",m
7,곤지암 YAJA 곤지암점,4.8,43.4km,"50,000원",m
8,이천 카누,4.9,도예촌 쌀밥거리 인근-50.3km,"70,000원",m
9,이천 YAM 이천설봉호수점,4.7,설봉호수점에서 도보 3분-53.4km,"40,000원",m
10,이천 힐링 무인텔,4.6,53.6km,"60,000원",m
11,이천 2월호텔 이천점,4.6,54km,"50,000원",m
12,이천 씨네 호텔,4.5,이천중앙로 문화의거리 위치-54.1km,"40,000원",m
13,이천 넘버25 이천터미널점,4.8,"이천터미널 도보 3분, 하나로마트 맞은편-54.3km","50,000원",m
14,이천 부띠끄  JS Hotel,4.7,도미노피자 인근-54.4km,"50,000원",m
15,이천 호텔 베네 이천터미널점,4.6,이천종합터미널 도보 3분 이내-54.4km,"49,000원",m
16,이천 브라운도트 이천터미널점,4.7,54.4km,"45,000원",m
17,이천 글로리아,4.7,이천종합터미널 도보 3분 이내-54.6km,"50,000원",m
18,이천 A7,4.5,54.6km,"50,000원",m
19,이천 아미호텔,4.5,하이닉스 정문 앞-59.2km,예약마감,m
20,여주 오렌지 무인텔,4.8,"이천시내 , 하이닉스에서 차량 10분이내-65.2km","50,000원",m
21,여주 꿈 무인텔,4.7,경충대로 여주 솔모로골프장 입구 건너편-67.9km,"40,000원",m
22,여주 호텔 마루,4.8,68.1km,"60,000원",m
23,이천 목화,4.2,54.7km,"35,000원",m
24,이천 J HOTEL,4.2,안흥 유원지 도보 약 5분-54.7km,"45,000원",m
25,여주 하늘이 열리는 드라이브인 무인텔,4.7,여주 솔모로CC 정문앞(은봉길7)-68km,"45,000원",m
26,광주 무인호텔 K,4.3,35.4km,"40,000원",m
27,하남 바로호텔,4.6,하남시청 인근-24.1km,"50,000원",m
28,"여주 무인호텔 숲(소설,강)",4.6,신해2리 교차로 인근-64.5km,"45,000원",m
29,하남 BAUM(바움),4.5,23.9km,"43,000원",m
30,이천 오월드 무인텔,4.7,62.9km,"42,500원",m
31,하남 루시 호텔,4.3,세븐일레븐 인근-23.9km,"45,000원",m
32,이천 부티크 XYM 호텔,4.6,이천터미널 도보8분이내 800미터-55.1km,"50,000원",m
33,여주 5월 AVE,4.7,동진웨딩홀 도보 1분-68.7km,"50,000원",m
34,하남 테마,4.4,하남시청 인근-24.2km,"45,000원",m
35,여주 자자 무인텔,4.7,65.4km,"50,000원",m
36,여주 에이스 (신륵사),4.8,69.3km,"50,000원",m
37,하남 아크모스,4.7,스타필드 차로 약 5분-21.8km,"60,000원",m
38,여주 소풍,4.2,69.4km,"40,000원",m
39,이천 화이트하우스 무인텔,3.9,51.3km,"40,000원",m
40,여주 토마토 무인텔,4.6,65.1km,"40,000원",m
41,여주 앤,4.4,강변유원지 차량 5분 이내-69.6km,"40,000원",m
42,여주 인 모텔,3.3,67.7km,"35,000원",m
43,여주 발리,4.2,여주종합터미널 인근위치-68.3km,"50,000원",m
44,여주 세븐,4.0,69.3km,"40,000원",m
45,여주 하이텔,3.8,여주대교 인근-68.1km,예약마감,m
46,이천 파라다이스,4.4,59.2km,"50,000원",m
47,광주 도도,4.4,광주종합버스터미널 차량 3분-33.8km,"35,000원",m
48,이천 샾,4.7,터미널사거리 도보 5분-54.4km,"40,000원",m
49,이천 꿈의궁전,4.1,이천종합터미널 도보 5분-54.8km,"40,000원",m
50,이천 샾앤,4.7,54.3km,"35,000원",m
51,광주 곤지암 꿈의궁전,4.5,42.1km,"45,000원",m
52,이천 카르페디엠,4.7,54.4km,"40,000원",m
53,이천 코지,4.3,57.2km,"50,000원",m
54,여주 에코,4.7,69.5km,"45,000원",m
55,광주 인사이드 호텔-구 힐링,4.3,27.4km,"35,000원",m
56,광주 곤지암 M,4.4,42.1km,"40,000원",m
57,이천 장호원 짬 무인텔,4.4,76.3km,"38,000원",m
58,이천 내모텔,4.8,54.4km,"40,000원",m
59,광주 퇴촌 S,4.8,34km,"45,000원",m
60,광주(남종면) 르네상스,4.4,32.7km,"35,000원",m
61,이천 호텔미션,4.4,59.1km,"55,000원",m
62,여주 애플 무인텔,4.9,65.2km,"40,000원",m
63,이천 캠프 무인텔,4.9,64.3km,"50,000원",m
64,하남 연,4.6,23.9km,"50,000원",m
65,여주 두바이 무인텔,4.7,67.2km,"50,000원",m
66,광주 퇴촌 자이안트,4.4,퇴촌 면사무소 근처-33.7km,"35,000원",m
67,이천 델루나 무인텔,4.7,54.1km,예약마감,m
68,이천 호텔 강,3.5,신해2리 교차로 인근-64.4km,예약마감,m
69,여주 호텔 소설,3.5,신해2리 교차로 인근-64.4km,예약마감,m
70,이천 초코렛,4.3,54.4km,"35,000원",m
71,이천 G,3.5,경충대로 내 위치-62.6km,예약마감,m
72,이천 체리무인텔,3.5,51.7km,예약마감,m
73,이천 이지,4.6,54.4km,"35,000원",m
74,광주 덕산,1.0,30.3km,"45,000원",m
75,이천 명동호텔,4.0,54.2km,"45,000원",m
76,광주 파워파크장,3.5,33.8km,예약마감,m
77,이천 미란다 호텔,3.9,이천종합터미널 도보 9분-54.9km,"54,000원",h
78,에덴 파라다이스호텔 이천,4.7,이천시청 9.50km-51.9km,"169,000원",h
79,여주 썬밸리 호텔,4.6,여주 강변유원지 근처-70km,"100,800원",h
80,이천 호텔베네,4.6,이천 종합터미널 차량 약 1분-54.4km,"49,000원",h
81,일성 남한강 콘도&리조트,4.1,여주 신륵사 근처-68.9km,"91,000원",h
82,호텔 인트라다 이천,4.6,부발역 10분거리-59.3km,"110,000원",h
83,하남 알로하 호텔,4.8,하남시청 도보 약 4분거리-24km,"65,000원",h
84,호텔 더 클래스,4.7,이천 종합터미널 도보 약 5분-54.7km,"80,000원",h
85,곤지암리조트,5.0,화담숲 도보5분-39.8km,"169,500원",h
86,여주 한가로이펜션,5.0,69.1km,"150,000원",f
87,여주 미드미펜션,5.0,52.6km,"200,000원",f
88,광주 밤하늘펜션,3.5,39km,"90,000원",f
89,여주 이포보강변펜션,4.8,58.1km,"120,000원",f
90,여주 그린펜션,5.0,53.9km,"300,000원",f
91,여주 유니크펜션,3.5,54km,"200,000원",f
92,여주 연잎사랑펜션,3.5,69.2km,"150,000원",f
93,광주 퇴촌트윈스펜션,3.6,39.3km,"100,000원",f
94,여주 예터&웨딩펜션,4.0,79.5km,"130,000원",f
95,여주 하몽별장펜션,5.0,45.6km,"260,000원",f
96,여주 푸른하늘은하수펜션,4.4,52.5km,"60,000원",f
97,여주 숲속풍경펜션,5.0,53.9km,"100,000원",f
98,여주 화이트하우스펜션,4.0,69.7km,"250,000원",f
99,여주 매실향기펜션,3.5,53.5km,"250,000원",f
100,여주 하나펜션,5.0,48.1km,"60,000원",f
101,광주 종여울펜션,5.0,37km,"200,000원",f
102,이천 한울캠프펜션,3.5,73.6km,"150,000원",f
103,광주 더파티하우스in진새골펜션,5.0,35.3km,"180,000원",f
104,광주 꽃담하우스펜션,3.5,40.1km,"100,000원",f
105,광주 황토마을펜션,3.5,40.9km,"390,000원",f
106,광주 곤지암쉼371펜션,4.4,40.1km,"100,000원",f
107,이천 청암관광농원펜션,3.3,60.2km,예약마감,f
108,광주 퇴촌정온펜션(애견동반),4.0,36.6km,"80,000원",f
109,이천 인디어라운드글램핑,4.2,55.7km,"145,000원",f
110,이천 팜스토리펜션,4.3,72km,"110,000원",f
111,광주 퇴촌시크릿가든펜션,4.6,39.4km,"150,000원",f
112,여주 브릭빌리지펜션,3.5,75.7km,"270,000원",f
113,여주 지우펜션,4.5,52.6km,"170,000원",f
114,광주 k401펜션,3.5,자체픽업 가능-41km,"400,000원",f
115,여주 하늘정원펜션,5.0,53.9km,"150,000원",f
116,여주 두견새머문자리펜션,5.0,자체픽업 가능-53.4km,"250,000원",f
117,광주 브라운빌펜션,3.0,40km,"100,000원",f
118,여주 숲속펜션,3.5,자체픽업 가능-53.8km,"250,000원",f
119,여주 강천섬 게스트하우스,5.0,강천보 인근-74.1km,"200,000원",g
