,name,score,loc,lowest_price,category
0,논현(신사) 하이랜드,4.3,신사역 1번 출구 도보 5분-8.7km,"49,000원",m
1,강남 호텔 더 디자이너스 리즈 프리미어,4.6,신논현역 3번출구 도보1분-9.5km,"75,000원",m
2,강남 YAJA 강남 논현점,4.4,9호선 언주역 4번 출구-10km,"50,000원",m
3,강남 캠퍼스,4.6,강남역 1번출구 도보 2분-10.3km,"56,000원",m
4,역삼 소울하다,4.8,10.4km,"50,000원",m
5,강남 BNN,4.5,강남역 2번출구 부근-10.4km,"45,000원",m
6,역삼 Hotel The Artist,4.6,역삼역 8번출구 도보 5분-10.6km,"50,000원",m
7,역삼 H Avenue 역삼점,4.5,역삼역 8번출구 도보 5분-10.6km,"42,000원",m
8,역삼 리치웰,4.6,역삼역 8번출구 도보5분-10.6km,"49,800원",m
9,역삼 녹스 호텔,4.5,역삼역 도보 약 5분-10.6km,"45,000원",m
10,역삼 맨하탄,4.7,2호선 역삼역 인근-10.6km,"40,000원",m
11,역삼 호텔스타 프리미어,4.6,역삼역 8번출구 도보 5분-10.7km,"45,000원",m
12,역삼 Premier Hotel XYM,4.7,역삼역 1번 출구 도보 5분-10.7km,"49,800원",m
13,역삼 A-NA HOTEL,4.7,역삼역 1번출구 도보 5분-10.8km,"50,000원",m
14,역삼 SUNG SIM,4.4,역삼역 1번 출구 한국은행 후문 전방 100m-10.8km,"35,000원",m
15,역삼 카파스,4.5,역삼역 1번 출구 도보 5분-10.8km,"51,800원",m
16,역삼 호텔 예스(Hotel Yes),4.5,10.8km,"57,000원",m
17,역삼 컬리넌,4.7,역삼역 1번출구 도보5분-10.9km,"49,800원",m
18,역삼 아마레,4.6,역삼역 1번출구 -11.2km,"45,000원",m
19,선릉 베드스테이션,4.6,11.3km,"45,000원",m
20,삼성 디 에이스,4.4,2호선 선릉역 10번출구 도보 6분-11.4km,"45,000원",m
21,선릉 HOTEL GRAY,4.7,선릉역 1 번출구 도보 3분-11.4km,"50,000원",m
22,강남 데미안호텔,4.7,강남세브란스병원 인근-11.5km,"49,800원",m
23,삼성 라엠 (LaM),4.6,"봉은사, 코엑스 인근-11.8km","45,000원",m
24,개포 컬리넌,4.5,"양재역인근, 네비주소:개포동 1229-8-12.9km","50,000원",m
25,개포 호텔데님 (DENIM),4.6,신분당선 양재역 8번출구 도보 10분-13km,"70,000원",m
26,삼성 JS 부띠끄호텔,4.6,11.2km,"45,000원",m
27,역삼 호텔 더 뮤즈,4.7,"역삼역 7,8번출구 도보3분-10.5km","50,000원",m
28,삼성 타라,4.6,2호선 선릉역 10번 출구-11.3km,"50,000원",m
29,선릉 호텔 발리,4.7,선릉역 10번출구 도보5분-11.3km,"40,000원",m
30,역삼(강남역) 마레,3.9,강남역 3번출구 도보 5분-10.4km,"40,000원",m
31,강남 렉시,4.6,역삼역 3번출구 도보 5분-10.5km,"50,000원",m
32,역삼 벤,4.7,역삼역 1번출구 도보3분-10.8km,"40,000원",m
