,name,score,loc,lowest_price,category
0,건대 호텔 K WORLD,4.6,건대입구역 도보 9분-10.8km,"55,000원",m
1,건대 H Avenue 건대점,4.6,건대입구역 1번출구 도보 10분-11km,"50,000원",m
2,건대 시마,3.9,11km,"40,000원",m
3,건대 Tiara(티아라),4.3,7호선 어린이대공원역 인근-11.1km,"35,000원",m
4,건대 YAJA 건대점,4.3,어린이 대공원역 10분거리-11.1km,"35,000원",m
5,"건대 컬리넌 1,2호점",4.5,어린이대공원역 5번출구방향-11.1km,"43,000원",m
6,건대 구구(GUGU) HOTEL,4.4,11.2km,"40,500원",m
7,건대 테마,4.5,어린이대공원역 4번출구 도보 10분거리-11.2km,"40,000원",m
8,건대 샐몬,4.5,군자역 도보 15분-11.7km,"25,000원",m
9,건대 HOTEL STAR,4.6,현장 방문시 마스크 증정-12.4km,"40,000원",m
10,구의 피넛,4.5,구의역 4번출구 도보 5분-12.8km,"45,000원",m
11,아차산역 코지,4.6,아차산역 1번출구 도로보 5분-12.8km,"40,000원",m
12,아차산역 W HOTEL,4.4,아차산역 3번출구 도보 5분-13.2km,"40,000원",m
13,건대(구의) 위시앤스테이,4.6,13.4km,"50,000원",m
14,건대(화양사거리) 호텔 더 디자이너스 프리미어,4.6,건대 먹자골목 도보 10분거리-11km,"55,000원",m
15,건대 쁠랑,4.5,"건대의 랜드마크 쁠랑, 리뉴얼 OPEN-11.1km","42,000원",m
16,건대(군자) 더 디자이너스,4.7,11.7km,"50,000원",m
17,구의 폼,4.4,12.8km,"40,000원",m
18,건대 프리마,4.4,화양사거리 인근 위치-11.2km,"35,000원",m
19,중곡 파인힐,4.2,용마산역 2번출구 도보 9분-12.6km,"35,000원",m
20,건대 큐,3.7,11km,"33,000원",m
21,건대 부티크나인(HB9),4.8,군자역 5번출구 도보 1분거리 위치-12km,"60,000원",m
22,건대 딥,4.2,11.1km,"35,000원",m
23,중곡 문,4.7,12km,"43,000원",m
24,구의 박스호텔,4.3,13.4km,"40,000원",m
25,구의 뮤즈,4.3,구의역 1번 출구 도보 1분-12.7km,"35,000원",m
26,건대 W,4.4,11km,"35,000원",m
27,건대 그랜드,4.1,10.9km,"40,000원",m
28,건대 초원,4.3,11km,"40,000원",m
29,건대 공감,4.2,어린이대공원역 5번출구 방향-10.9km,"27,000원",m
30,중곡 헤라,4.1,11.5km,"40,000원",m
31,군자 투,3.9,군자역 도보 3분거리-11.8km,"35,000원",m
32,광진 대하모텔,4.4,광나루역 2번출구 도보 3분-14.3km,"50,000원",m
33,군자 아미가,4.4,군자역 8번출구 도보 5분-11.7km,"35,000원",m
34,중곡 라마,4.9,12.3km,"35,000원",m
35,군자 몰디브,4.5,7호선 군자역 5번 출구 -12km,"45,000원",m
36,구의 유토피아,3.5,12.8km,예약마감,m
37,건대 캠퍼스,3.2,10.7km,"25,000원",m
38,아차산역 이화,3.8,12.7km,"30,000원",m
39,건대 영동,4.6,성동소방서 인근-10.7km,"45,000원",m
40,건대 세종,3.5,11km,"35,000원",m
41,군자 목화,4.5,12km,"35,000원",m
42,건대 은성,3.0,12km,"35,000원",m
43,호텔 더 디자이너스 프리미어 건대,4.4,어린이대공원역 4번출구 도보 10분-11km,"55,000원",h
44,비스타 워커힐 서울 (구 W 호텔),4.9,광나루역 1.30km-14.8km,"350,900원",h
45,호텔 컬리넌 건대 2,4.1,어린이대공원역 5번출구 도보 10분-11.1km,"50,000원",h
46,건대 구구 호텔,4.7,7호선 어린이대공원역 4번출구 도보 약 13분-11.1km,"52,941원",h
47,호텔 스타 건대,4.1,건국대학교 건국문 도보 10분-12.4km,"41,000원",h
48,그랜드 워커힐 더글라스 하우스,4.9,광나루역 1.30km-14.8km,"302,500원",h
49,H Avenue 건대점,4.4,건대입구역 도보 약 10분-11km,"55,000원",h
50,호텔 부티크9 군자,4.6,군자역 5번출구 바로 앞-12km,"65,000원",h
51,호텔 더 디자이너스 건대,4.6,군자역 1번출구 도보 4분-11.7km,"50,000원",h
52,동서울 관광호텔,3.8,강변역 4번출구 350m-13.4km,"57,000원",h
53,더 클래식 500 펜타즈 호텔,4.8,건대입구역 5번출구 240m-11.5km,"141,000원",h
54,그랜드 워커힐 서울,4.7,광나루역 1.30km-14.8km,"254,100원",h
