,name,score,loc,lowest_price,category
0,넘버25 신도림점,4.8,신도림역 3번 출구 도보 10분-7.9km,"50,000원",m
1,남구로 봄(Bom) 3호점,4.6,고려대학교 구로병원 근처위치-9.4km,"45,000원",m
2,구로 컬리넌,4.6,'전객실 공기청정기 교체 및 완비'-9.6km,"50,000원",m
3,구로 JS 호텔,4.7,디지털단지 오거리-10.1km,"45,000원",m
4,독산 미니멀시즌,4.8,LG U+ 독산 사옥 후문 옆-10.1km,"45,000원",m
5,가산 마인드호텔,4.7,10.1km,"50,000원",m
6,가산 H호텔,4.8,가산디지털단지역 4번출구 인근-10.2km,"50,000원",m
7,가산 더 스테이 호텔,4.8,가산디지털단지역 도보 10분-10.2km,"42,000원",m
8,가산 자기야,4.7,가산 오데로거리 인근-10.2km,"50,000원",m
9,독산 호텔 인 카페,4.7,스타벅스 독산사거리점 50M 입니다^^-10.6km,"45,000원",m
10,오류 쎄비앙,4.7,오류동 3번출구 도보2분-11.1km,"40,000원",m
11,오류 갤러리아,4.8,오류동역 4번출구 도보2분-11.2km,"40,000원",m
12,금천 호텔 트리플8,4.7,시흥사거리에서 도보 3분-12.5km,"50,000원",m
13,독산 SI호텔,4.7,"독산역, 가산디지털단지역 사이에 위치-11km","40,000원",m
14,신도림 노벰버 (NOVEMBER),4.4,7.9km,"45,000원",m
15,가산 리치호텔,4.5,10.2km,"50,000원",m
16,독산 이사벨호텔,4.8,"독산역 차량 5분거리, 독산사거리 위치-10.6km","60,000원",m
17,신도림 블리스(BLISS),4.8,7.9km,"50,000원",m
18,구로 호텔오아시스,4.6,구로디지털단지역 1번출구 도보1분-9.3km,"60,000원",m
19,오류 레몬트리,4.5,오류역 코앞 위치-11.6km,"40,000원",m
20,신도림 베르투(VER.2),4.7,신도림역 3번출구 도보 3분-7.8km,"55,000원",m
21,금천(시흥동) 영빈,4.8,시흥사거리 도보4분-12.5km,"38,000원",m
22,가산 마리호텔,4.7,10.2km,"45,000원",m
23,금천(시흥동) 멀티도로시,4.1,금천구청역 1번출구 도보8분-12.3km,"31,000원",m
24,독산 수,4.2,10.6km,"35,000원",m
25,독산 윈저,4.8,11.3km,"56,000원",m
26,금천(시흥동) 꼬모,4.3,시흥사거리 인근-12.2km,"40,000원",m
27,구로(고척) 샘,4.6,9.5km,"30,000원",m
28,오류 본모텔,4.2,오류동 삼거리 근처-11.6km,"35,000원",m
29,가산 팰리스파크,3.5,10.2km,"40,000원",m
30,독산 휴,3.8,10km,"35,000원",m
31,구로(개봉) 샬,4.7,개봉역 1번출구 나와서 오른쪽으로 80m-10.6km,"35,000원",m
32,가산 호텔 해담채,4.4,10.2km,"65,000원",m
33,오류 리베라,4.1,11.6km,"35,000원",m
34,개봉역 글로벌,4.3,10.7km,"45,000원",m
35,독산 하트,3.5,11.4km,"35,000원",m
36,오류 세븐,5.0,11.2km,예약마감,m
37,오류 삐아제,4.2,11.4km,"35,000원",m
38,구로(가리봉) 남양장,3.3,10km,"25,000원",m
39,구로(가리봉) 성호장,1.0,9.9km,"30,000원",m
40,구로 시티파크,4.5,9.4km,"30,000원",m
41,금천(시흥동) 가림,5.0,12.4km,"40,000원",m
42,스타즈 호텔 독산,4.7,독산역 1번 출구 도보 10분-11.7km,"50,000원",h
43,롯데시티호텔 구로,4.8,구로디지털단지역 3번출구 약500m-9.3km,"66,520원",h
44,호텔해담채가산,4.7,가산디지털단지역 3번 출구 도보 5분-10.2km,"48,000원",h
45,코업시티호텔(오류스테이션),4.1,오류동역 3번출구 도보 3분-11.2km,"48,800원",h
46,노보텔 앰배서더 독산,4.6,독산역 1번출구 900m-11km,"60,500원",h
47,라마다 서울 신도림,4.8,신도림역 도보 5분-7.9km,"69,800원",h
48,골드리버 호텔,4.8,가산디지털단지역 630m-10.8km,"58,900원",h
49,독산 발렌타인,5.0,독산역 1번출구 800m-11.3km,예약마감,h
50,포포인츠 바이 쉐라톤 서울 구로,4.8,구로디지털단지역 2번출구 450m-9.4km,"57,200원",h
51,코코모 호텔,4.6,구로역 1번출구 도보 1분-8.3km,"60,000원",h
52,구로 JS 호텔,4.5,가산디지털단지역 3번 출구 도보 10분-10.1km,"45,000원",h
53,쉐라톤 서울 디큐브시티 호텔,4.7,신도림역 5번출구 도보 3분-7.5km,"165,000원",h
54,서울 Bottlehouse펜션,5.0,11.2km,"150,000원",f
