,name,score,loc,lowest_price,category
0,명동(을지로) New stay inn,4.2,4.1km,"33,000원",m
1,명동(을지로) 베네,4.3,4.3km,"40,000원",m
2,명동 영인호텔,4.4,충무로역 3번출구 남산골 한옥마을 들어오셔서 도보로 10분 위치(후문쪽)-4.4km,"65,660원",m
3,동대문(쌍림동) 더 디자이너스 DDP점,4.6,동대문역사문화공원 5번출구 인근-5.3km,"40,000원",m
4,동대문역사문화공원역 신아 호텔,4.8,동대문역사문화공원역(5호선) 7번출구 도보1분-5.4km,"40,000원",m
5,동대문역사문화공원역 트리쉐이드 호텔,4.5,"동대문쇼핑센터 도보5분,4호선8번출구 도보3분-5.5km","40,000원",m
6,동대문역사문화공원역 에비뉴,4.6,동대문역사문화공원역(4호선) 8번출구 도보4분-5.5km,"40,000원",m
7,동대문역사문화공원역 라트리,4.6,동대문역사문화공원역13번출구-5.6km,"40,000원",m
8,신당 레인보우 호텔,4.6,신당역 9번출구 100M-6.4km,"50,000원",m
9,신당 리오,4.5,신당역 2번출구 도보 5분-7km,"40,000원",m
10,신당 크리스티호텔,4.4,신당역 2번 출구 도보 3분-7km,"50,000원",m
11,동대문역사문화공원역 부티크호텔 르릿,4.5,"동대문역사문화공원역 도보3분 거리에 위치,청구역 10분 거리-5.7km","40,000원",m
12,충무로(동국대) 멀린 호텔,4.4,오장동 함흥냉면거리 뒤에 있습니다^^-4.9km,"31,500원",m
13,신당 플러스,4.4,"2,6호선 신당역 9번 출구 100미터-6.4km","35,000원",m
14,신당 벤허,4.4,버티고개역 1번출구 도보5분-5.7km,"45,000원",m
15,동대문 더 디자이너스 동대문점(금색건물),4.5,광희동사거리 도보3분-5.5km,"50,000원",m
16,동대문역사문화공원역 DDK HOTEL,4.8,동대문역사문화공원역 도보2분-5.6km,"45,000원",m
17,동대문 필스테이 호스텔,4.5,5.6km,"18,000원",m
18,신당 A (에이),4.1,6호선 신당역 7번 출구-6.3km,"40,000원",m
19,장충 JC INN(인),4.0,5.4km,"30,000원",m
20,장충 양미모텔,4.6,동대입구 2번출구 100M-5.5km,"35,000원",m
21,약수 프린스모텔,4.4,약수역 1번출구 도보 5분-5.9km,"45,000원",m
22,약수(신당) 세화,4.4,5.8km,"30,000원",m
23,신당(청구역) 야코리아 호스텔,4.4,6.1km,"10,000원",m
24,약수 퀸모텔,4.2,3호선 약수역 10번 출구-5.8km,"40,000원",m
25,명동(충무로역) 디어스 호텔,4.7,"충무로역 4번출구, 도보 1분-4.2km","63,300원",m
26,충무로 아띠,4.3,충무로역 1번출구 도보10분-4.7km,"40,000원",m
27,동대문역사문화공원역 저스트스테이,4.4,5.4km,"38,000원",m
28,신당 드라마,4.3,"호박식당,은하계,금돼지식당 등 맛집 도보 2분-6.6km","35,000원",m
29,명동 Mmmio 2nd Casa,4.7,4.2km,예약마감,m
30,명동 도마 호텔(Hotel Doma),3.5,4.6km,예약마감,m
31,동대문 에이큐브호텔,3.5,을지로4가역 50M 인근-5.1km,예약마감,m
32,포포인츠 바이 쉐라톤 명동,4.8,을지로 3가역 12번 출구 도보 1분-4km,"90,750원",h
33,노보텔 앰배서더 동대문 호텔 & 레지던스,4.8,동대문역사문화공원역 도보 3분-5.4km,"137,500원",h
34,명동 뉴 스테이 인,4.1,"명동역,충무로역 도보 5분-4.1km","38,000원",h
35,Staz 스타즈 호텔 명동 1호점,4.4,을지로3가역 3번출구 123m-4.2km,"34,000원",h
36,호텔 피제이 명동,4.7,을지로4가역 10번출구 370m-4.6km,"63,300원",h
37,트레블로지 동대문 호텔,4.4,을지로4가역 7번출구 도보 5분-5.2km,"35,000원",h
38,라마다 서울 동대문,4.6,동대문역사문화공원역 7번출구 100m-5.2km,"35,000원",h
39,어반스테이 더 남산,4.7,충무로역 3분 7번출구 250m-4.4km,"55,000원",h
40,명동 멀린호텔,4.2,충무로역 8번출구 도보 5분-4.9km,"35,000원",h
41,스테이락 호텔 충무로,4.4,충무로역 8번출구 도보 1분-4.5km,"65,000원",h
42,호텔 스카이파크 킹스타운 동대문점,4.7,동대문역사문화공원역 14번출구 도보 5분-5.7km,"63,300원",h
43,반얀트리 클럽 앤 스파 서울,5.0,버티고개 1번출구 차량 10분-5.1km,"528,000원",h
44,디어스명동 (충무로) 호텔,4.6,중구 퇴계로 176 명동역 도보 5분-4.2km,"50,600원",h
45,동대문 호텔 밀리오레 서울,3.5,동대문역사문화공원역 14번출구 도보 4분-5.8km,예약마감,h
46,토요코인 서울 동대문 1호점,3.5,동대문역사문화공원역 4번출구 도보 1분-5.8km,예약마감,h
47,나인트리 호텔 동대문,4.8,동대문역사문화공원역 12번출구 도보 5분-5.3km,"40,000원",h
48,호텔 더 디자이너스 DDP,4.5,"동대문역사문화공원역 5,6번출구 도보 2분-5.3km","42,500원",h
49,나인트리 프리미어 명동2,4.8,을지로3가역 11번출구 도보 5분-4.2km,"48,000원",h
50,웨스턴 코업 호텔&레지던스,4.1,동대문역사문화공원역 12번출구 도보 6분-5.3km,"35,000원",h
51,을지로 코업 레지던스,4.6,동대문역사문화공원역 12번출구 도보 3분-5.5km,"38,000원",h
52,오리엔스 호텔&레지던스,4.6,충무로역 4번 출구 400m-4.2km,"55,000원",h
53,호텔 더 디자이너스 동대문,4.3,동대문역사문화공원역 5번출구 도보 3분-5.5km,"55,000원",h
54,베스트웨스턴 프리미어 국도 호텔,4.5,을지로 4가역 10번출구 도보 3분-4.7km,예약마감,h
55,이비스 버젯 앰배서더 서울 동대문,3.0,동대문역사문화공원역 4번출구 도보 5분-5.7km,예약마감,h
56,K-게스트하우스 동대문 프리미엄2,1.0,동대문 역사문화공원 8번출구 도보 5분-5.5km,"25,000원",h
57,Staz 스타즈 호텔 명동 2호점,3.5,충무로역 5번출구 370m-4.1km,예약마감,h
58,케이스타 메트로 호텔,3.5,동대문역사문화공원역 13번출구 도보1분-5.6km,예약마감,h
59,현대 레지던스,4.4,을지로4가역 8번출구 도보 5분-5km,예약마감,h
60,저스트 스테이 호텔,3.3,동대문역사문화공원역 12번출구 230m-5.4km,"40,000원",h
61,호텔 아띠 충무로,3.6,충무로역 1번출구 332m-4.7km,"35,000원",h
62,그랜드 앰배서더 서울 풀만,3.5,동대입구역 1번출구 250m-5.2km,예약마감,h
63,을지로 미오2 디자인레지던스,4.0,을지로 3가역 인근 위치-4.2km,"32,000원",g
64,K 게스트하우스 동대문 프리미엄,3.5,5.6km,"30,000원",g
65,동대문 부티크호텔 르릿,3.0,5.7km,"67,000원",g
66,24게스트하우스 동대문점,4.5,동대문역사문화공원역 10번 출구-5.8km,"15,000원",g
67,서울 빅 스테이,4.5,6.8km,"100,000원",g
68,서울 로드명동 게스트하우스,4.6,"3/4호선 충무로역 7,8번 출구 근처-4.4km","15,000원",g
69,명동 킴스테이 게스트하우스 2호점,3.0,5.2km,"20,000원",g
70,야코리아 호스텔 동대문,4.3,청구역 3번 출구-6.1km,"10,000원",g
71,명동 블루보트 게스트하우스,3.5,"명동역, 충무로역 근처-4.1km","19,000원",g
72,서울 사랑 게스트하우스,3.5,동대문역사문화공원역 5번 출구-5.3km,"49,000원",g
73,명동 문스 호스텔,3.5,충무로역 4번출구 도보5분-4.2km,"20,000원",g
74,달콤 명동 게스트하우스,3.5,충무로역 8번 출구 도보 7분-4.7km,"30,000원",g
75,서울 게스트하우스 명동2,3.5,"명동역까지 500m, 도보 5분 거리입니다. -4.1km","55,000원",g
76,서울 아띠 게스트하우스,3.5,4.7km,예약마감,g
77,K 게스트하우스 동대문1,3.5,동대문역사공원 7번출구-5.2km,예약마감,g
78,서울 96번지 트래블러스 롯지 게스트하우스,4.0,5.8km,예약마감,g
79,서울 호스텔 J스테이,3.0,을지로 4가역 인근-4.9km,"24,000원",g
80,서울 맘 게스트하우스,3.5,을지로3가 6번출구-4.5km,"20,000원",g
81,명동 에이치투오 게스트하우스,3.5,"을지로 3,4가역-4.6km",예약마감,g
82,동대문 카림 게스트하우스,3.5,동대문 역사문화공원역 8번출구-5.6km,"25,000원",g
83,명동 마마 게스트하우스,3.5,남산예술센터-3.9km,"37,700원",g
84,종로 킴스테이7 게스트하우스,3.5,4.8km,"35,000원",g
85,서울 스윗 스테이 엣 조이스,3.5,동대문 역사문화 공원역 5번출구-5.4km,"69,000원",g
86,동대문 어반아트스테이,3.5,"동대문, 동묘 -6.7km","23,000원",g
87,동대문 리재하우스,3.5,동대문역사문화공원역 3번출구-5.8km,"85,000원",g
88,동대문 USB 게스트하우스,3.5,동대입구역 1번 출구-5.3km,"30,000원",g
89,동대문 필스테이 이코노미 게스트하우스,3.5,동대문역사문화공원역 2번 출구 -5.3km,예약마감,g
90,명동 치즈 게스트하우스,3.5,충무로역-4.4km,예약마감,g
