,name,score,loc,lowest_price,category
0,상봉 줌(ZOOM),4.6,세븐일레븐 상봉점 맞은편-13.4km,"50,000원",m
1,상봉 테마,4.7,상봉역 2번출구 도보 5분-13.5km,"55,000원",m
2,상봉 호텔 버스,4.6,상봉역 2번출구 도보 8분-13.5km,"45,000원",m
3,상봉 메이,4.6,13.5km,"40,000원",m
4,상봉 호텔 그레이튼,4.8,13.8km,"35,000원",m
5,상봉 호텔스타,4.6,망우선 1번출구 도보 5분-13.9km,"50,000원",m
6,상봉 호텔 코안도르,4.5,13.9km,"37,800원",m
7,상봉 Y,4.6,13.4km,"35,000원",m
8,상봉 호텔 901,4.8,13.4km,"50,000원",m
9,상봉 호텔 피아노,4.7,상봉역 5번출구 도보 2분거리입니다-12.8km,"30,000원",m
10,면목 리츠,4.7,12.2km,"35,000원",m
11,상봉 아테네,4.3,망우역 1번출구 도보 5분-13.8km,"31,000원",m
12,중랑 썸,4.5,중랑역 1번 출구 도보10분-12km,"35,000원",m
13,상봉 유토피아,4.5,상봉역 2번출구 도보 8분-13.8km,"40,000원",m
14,중랑 T,4.6,중랑역 3번출구 도보 2분-12.4km,"40,000원",m
15,중랑(면목) 더 자바,4.4,중랑역 4번출구 630M 거리-11.9km,"35,000원",m
16,면목 CHOI HOTEL,4.5,면목역 2번출구 약14분-13.9km,"40,000원",m
17,상봉 칼튼,4.5,13.8km,"40,000원",m
18,상봉 테마21,4.4,상봉역 도보 2분 거리입니다.-12.9km,"30,000원",m
19,상봉 M,4.3,13.8km,"27,000원",m
20,상봉(중랑) 샐몬,4.5,12.4km,"40,000원",m
21,면목 아이존,3.9,13.6km,"35,000원",m
22,상봉 공감,3.9,상봉터미널에서 도보5분 이내-13.5km,"30,000원",m
23,면목 새롬,5.0,12km,"40,000원",m
24,면목 아미가,4.7,면목역 3번출구 도보 10분-12.3km,"35,000원",m
25,상봉 파레스,3.7,상봉 코스트코 3분거리-13.5km,"35,000원",m
26,중랑 발리,4.8,중랑역 1번 출구 500m-11.9km,"32,000원",m
27,사가정 그림,4.3,13km,"35,000원",m
28,상봉 만궁,3.8,13.5km,"33,000원",m
29,중랑 라코지스테이,4.8,12.5km,"97,000원",m
30,면목 597,4.9,GS셀프 대원주유소 맞은편-12.2km,"40,000원",m
31,라코지스테이 서울,4.8,중랑역 3번출구 도보 5분-12.5km,"97,000원",h
