,name,score,loc,lowest_price,category
0,신사 하이웨이,4.7,신사역 5번출구 도보 5분-8.1km,"50,000원",m
1,방배 STYLE,4.7,삼호 아파트 인근-8.2km,"55,000원",m
2,신사 짝,4.3,8.2km,"50,000원",m
3,서초 YAM 서래마을점,4.2, 강남터미널인근 ! 위치보기 -8.3km,"39,000원",m
4,강남 킹덤호텔,4.3,신논현역 1번출구 도보1분-9.3km,"60,000원",m
5,서초 두꺼비 호텔,4.7,서초역 1번출구 인근-9.6km,"60,000원",m
6,서초 H호텔,4.7,서울교대 사거리 인근-10.2km,"55,000원",m
7,서초 오슬로,4.4,3호선 남부터미널역 인근-10.3km,"45,000원",m
8,서초 LAVA 교대남부터미널,4.5,3호선 남부터미널역 인근-10.3km,"50,000원",m
9,서초 NINETH 남부터미널,4.6,남부터미널역 6번 출구-10.3km,"55,000원",m
10,서초 JASMIN,4.6,10.2km,"50,000원",m
11,신사 애인(무인)호텔,4.7,7.9km,"50,000원",m
12,서초 E HOTEL,4.6,10.2km,"60,000원",m
13,서초 덴버,4.4,교대역 1번 출구 인근-9.8km,"50,000원",m
14,서초 STAY HOTEL,4.7,9.6km,"60,000원",m
15,방배 HOTEL 201,4.6,8.2km,"50,000원",m
16,서초 IMT,4.7,10.2km,"60,000원",m
17,방배 오슬로,4.1,8.5km,"40,000원",m
18,서초 유원호텔,4.2,3호선 남부터미널역 인근-10.3km,"48,000원",m
19,신사 LA TREE(라 트리),4.5,3호선 신사역 5번 출구-8.2km,"50,000원",m
20,방배 금강,4.5,8.5km,"35,000원",m
21,방배 M,3.9,방배동 함지박 사거리 인근-8.7km,"40,000원",m
22,서초 리즈,4.3,교대역 바로 앞-9.7km,예약마감,m
23,서초 HOTEL ART,4.4,10.2km,"50,000원",m
24,서초 Navi Hotel&Residence,5.0,9.8km,"80,000원",m
25,서래마을 오스카,3.5,8.3km,예약마감,m
26,더 리센츠 프리미엄 강남 가로수길 호텔,4.5,신사역 신사역 8번출구 바로 앞-8.4km,"59,400원",h
27,신라스테이 서초,4.6,"강남역,양재역 도보 10분-11km","55,440원",h
28,나비 호텔레지던스,4.6,교대역 1번출구 도보 5분-9.8km,"79,200원",h
29,서초 아트호텔,3.8,남부터미널역 6번출구 도보 7분-10.2km,"66,300원",h
30,오라카이 청계산 호텔,4.5,청계산입구역 1번 출구 앞-15.8km,"80,500원",h
31,어반플레이스 강남,4.4,강남역 5번출구 도보5분-10.7km,"57,900원",h
32,호텔 페이토 강남,4.7,양재역 2번출구 도보 5분-11.3km,"75,500원",h
33,라까사 호텔 서울,4.7,압구정역 5번출구 도보 10분-7.9km,"85,000원",h
34,JW 메리어트 호텔 서울,4.8,고속터미널역 도보 5분-8.1km,"326,700원",h
35,강남아르누보씨티 호텔,4.5,강남역 5번출구 도보 5분-10.5km,"70,000원",h
36,서초 나인스,4.5,남부터미널역 6번출구 340m-10.3km,"65,000원",h
37,오클라우드 호텔,4.6,신논현역 7번출구 도보 2분-9.5km,"69,000원",h
38,유원호텔,4.2,남부터미널역 6번출구 도보5분-10.3km,"48,000원",h
39,서초 호텔 라리아,4.6,남부터미널역 6번출구 도보 6분-10.2km,예약마감,h
40,호텔 소설,4.6,남부터미널역 6번출구 도보5분-10.3km,"89,000원",h
41,더 리버사이드 호텔,3.7,신사역 5번출구 100m-8km,"55,000원",h
42,서초 두꺼비호텔,5.0,서울특별시 서초구 반포대로30길 37 서초역 1번출구 270m-9.6km,"70,590원",h
43,안테룸 서울,4.6,신사역 8번 출구에서 464m-8.5km,"89,100원",h
44,서초 LAVA,3.3,남부터미널 도보 6분-10.3km,"80,000원",h
45,호텔티롤,4.4,신사역 4번출구 도보 5분-8.2km,"69,000원",h
46,The-K 호텔 서울,4.3,양재시민의숲역 5번출구 700m-13km,"81,000원",h
47,호텔 아르누보 서초,4.4,교대역 4번출구 도보 7분-9.8km,"70,000원",h
48,강남 류 게스트하우스,5.0,압구정역 4번출구-8.4km,예약마감,g
49,강남 AN 게스트하우스(L stay),4.0,신논현역 1번 출구 -9.3km,"80,000원",g
50,호스텔KW 강남,3.5,신논현역 1번 출구-9.3km,예약마감,g
51,호스텔KW 신사,3.5,"신사역 4번출구, 논현역 5번 출구-8.5km",예약마감,g
52,서울 케이하우스,4.0,"논현역,신사역-8.5km",예약마감,g
